"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
3895870,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1335,104,"G1 phase",-0.427012287166844,-0.465396905502402
3896061,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1336,147,"G1 phase",-0.264937643063274,-0.285839566546503
4088074,"YDR162C","NBP2","","dma958","Cdc11_R1_Plate03",15,19,1419,32,"G1 phase",-0.596173550387316,-0.490814018144946
4170067,"YDR424C","DYN2","","dma1174","Cdc11_R1_Plate04",3,20,269,67,"G1 phase",-0.506014044295058,-0.460365814895367
4193717,"YER048C","CAJ1","","dma1353","Cdc11_R1_Plate04",2,18,168,39,"MA-single",-0.776659175312031,-0.789691314919214
4248973,"YER059W","PCL6","","dma1366","Cdc11_R1_Plate04",4,20,366,36,"G1 phase",-0.298872240108883,-0.183083035353975
4394557,"YGL194C","HOS2","","dma1723","Cdc11_R1_Plate05",15,13,1396,56,"G1 phase",-0.4145254342693,-0.449167429830657
4408946,"YFR040W","SAP155","","dma1580","Cdc11_R1_Plate05",7,16,637,46,"G1 phase",-0.103104810776405,-0.199618241610162
4506959,"YHL031C","GOS1","gos1-supp1","dma2054","Cdc11_R1_Plate06",7,3,587,45,"G1 phase",0.146503539925801,0.224056455775429
4624530,"YJR088C","EMC2","","dma2676","Cdc11_R1_Plate07",14,23,1340,2,"G1 phase",-0.211887900025194,-0.0623460947210048
4624683,"YJR088C","EMC2","","dma2676","Cdc11_R1_Plate07",14,23,1340,156,"G1 phase",-0.266452022283589,-0.0379961787463297
4660531,"YJL098W","SAP185","","dma2503","Cdc11_R1_Plate07",2,14,149,48,"G1 phase",-0.511990572446363,-0.571652079172027
4892348,"YKL127W","PGM1","","dma2853","Cdc11_R1_Plate08",11,17,1025,150,"G1 phase",-0.201476547801085,-0.320488348511749
5023132,"YLR360W","VPS38","","dma3386","Cdc11_R1_Plate09",6,3,490,37,"G1 phase",0.426556270706287,0.288039178215848
5777359,"YBR095C","RXT2","","dma259","Cdc11_R1_Plate14",10,10,903,35,"G1 phase",-0.572543261601191,-0.51426341486265
5820751,"YJL117W","PHO86","","dma5181","Cdc11_R1_Plate14",15,17,1410,43,"G1 phase",0.165791269394986,0.127843476389522
5822692,"YPR179C","HDA3","","dma5157","Cdc11_R1_Plate14",11,17,1026,36,"MA-single",-0.471401545026373,-0.389555200298569
5960736,"YBR072W","HSP26","","dma251","Cdc11_R2_Plate01",10,22,940,641,"G1 phase",-0.317432013964154,0.237391316120737
6044014,"YAR002C-A","ERP1","","dma69","Cdc11_R2_Plate01",11,18,1021,140,"MA-single",-0.480173522573636,-0.444889693996935
6246851,"YDL081C","RPP1A","rpp1a-supp1","dma681","Cdc11_R2_Plate02",2,17,162,8,"G1 phase",-0.593949374482518,-0.434658508529817
7625183,"YML107C","PML39","","dma3609","Cdc11_R2_Plate10",9,17,833,91,"G1 phase",-0.697646473994566,-0.715750091358337
7625200,"YML107C","PML39","","dma3609","Cdc11_R2_Plate10",9,17,833,108,"G1 phase",-0.315957410258447,-0.566322984870627
7676813,"YLR451W","LEU3","","dma3496","Cdc11_R2_Plate10",7,8,605,5,"MA-single",-0.32647640020393,-0.309927812448333
7975545,"YOR085W","OST3","","dma4524","Cdc11_R2_Plate12",2,23,185,66,"G1 phase",-0.0868181499746856,-0.164309257528579
8296566,"YBR018C","GAL7","","dma203","Cdc11_R3_Plate01",2,22,184,116,"G1 phase",-0.605445957245815,-0.301152376002788
8488036,"YBR258C","SHG1","","dma430","Cdc11_R3_Plate02",7,20,651,57,"G1 phase",-0.347759195385133,-0.31749700250476
8955651,"YGL194C","HOS2","","dma1723","Cdc11_R3_Plate05",15,13,1394,13,"G1 phase",-0.148926484555638,-0.163564098394035
9088251,"YHR142W","CHS7","","dma2174","Cdc11_R3_Plate06",12,4,1071,86,"G1 phase",-0.27567657477086,-0.293533867416337
9129720,"YHL039W","EFM1","","dma2070","Cdc11_R3_Plate06",9,11,812,31,"G1 phase",-0.174953863053556,-0.151350729485533
9278745,"YJR148W","BAT2","","dma2747","Cdc11_R3_Plate08",9,22,854,59,"G1 phase",-0.522262195708952,-0.166054502661192
9278912,"YJR148W","BAT2","","dma2747","Cdc11_R3_Plate08",9,22,856,113,"G1 phase",-0.271898789396915,-0.124991972790065
9290396,"YKL037W","AIM26","","dma2767","Cdc11_R3_Plate08",13,14,1207,175,"S/G2 phase",-0.403992365733327,-0.53033558417866
9333134,"YKR020W","VPS51","","dma2932","Cdc11_R3_Plate08",10,8,894,52,"G1 phase",-0.109085776703197,-0.42677308765628
9333211,"YKR020W","VPS51","","dma2932","Cdc11_R3_Plate08",10,8,896,34,"G1 phase",-0.574485237516371,-0.494554741630176
9489342,"YLR055C","SPT8","","dma3154","Cdc11_R3_Plate09",13,20,1223,52,"G1 phase",-0.212313367641775,-0.387192209805971
9579257,"YLR320W","MMS22","","dma3369","Cdc11_R3_Plate09",2,17,161,18,"G1 phase",-0.179648495525951,-0.430565413797923
9580230,"YLR319C","BUD6","","dma3370","Cdc11_R3_Plate09",2,19,171,143,"G1 phase",-0.705552936590724,-0.732427598957558
9581577,"YLR318W","EST2","","dma3371","Cdc11_R3_Plate09",2,21,178,7,"G1 phase",-0.155149841439082,-0.291913368249876
9639356,"YLR012C","","","dma3119","Cdc11_R3_Plate09",7,22,658,82,"G1 phase",-0.21884634206494,-0.207081288311011
9718696,"YMR205C","PFK2","pfk2-supp1","dma3795","Cdc11_R3_Plate10",10,5,882,29,"G1 phase",-0.79463720008708,-0.839516751925492
9718807,"YMR205C","PFK2","pfk2-supp1","dma3795","Cdc11_R3_Plate10",10,5,884,49,"G1 phase",-1.01333171104519,-1.11836818958408
9784690,"YML062C","MFT1","","dma3566","Cdc11_R3_Plate10",3,3,202,71,"G1 phase",0.777407109202699,0.716106752650245
9784808,"YML062C","MFT1","","dma3566","Cdc11_R3_Plate10",3,3,203,107,"G1 phase",-0.247900922691809,-0.259572035253844
9784873,"YML062C","MFT1","","dma3566","Cdc11_R3_Plate10",3,3,204,70,"G1 phase",0.0417982996163347,-0.148764487016086
9784891,"YML062C","MFT1","","dma3566","Cdc11_R3_Plate10",3,3,204,89,"G1 phase",-0.0235260348256977,-0.219757633009829
9822903,"YML097C","VPS9","","dma3596","Cdc11_R3_Plate10",7,15,635,41,"G1 phase",0.598475236600611,0.506641826846926
9849278,"YMR039C","SUB1","","dma3653","Cdc11_R3_Plate10",2,10,134,74,"G1 phase",1.06142595460284,0.703153264908812
9925589,"YNL016W","PUB1","","dma3927","Cdc11_R3_Plate11",15,6,1365,51,"G1 phase",-0.427958752693446,-0.352239961482826
10023014,"YOL049W","GSH2","","dma4340","Cdc11_R3_Plate12",3,15,251,5,"G1 phase",-0.705705667712035,-0.766119784188852
10061869,"YOR085W","OST3","","dma4524","Cdc11_R3_Plate12",2,23,188,60,"G1 phase",0.057780001133633,-0.193184035229489
10189945,"YPL144W","POC4","","dma4881","Cdc11_R3_Plate13",14,18,1319,141,"G1 phase",-0.407572700843011,-0.417467650635239
10433634,"YJL117W","PHO86","","dma5181","Cdc11_R3_Plate14",15,17,1409,138,"G1 phase",-0.446015960387658,-0.59345745873446
10686339,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,31,"G1 phase",-1.14852070094098,-1.06520753735092
10686342,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,34,"G1 phase",-0.891992880597161,-0.896721083568575
10686348,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,40,"MA-single",-0.923346280861406,-0.816294207882674
10686349,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,41,"G1 phase",-0.539979704903146,-0.509459570979031
10686377,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,70,"G1 phase",0.397771993909252,0.12754396448333
10686437,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,132,"G1 phase",-0.83356154374107,-0.913251336217684
10686450,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,145,"G1 phase",-0.25352363885255,-0.398894424632091
10686460,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,817,155,"G1 phase",-0.232146320490565,-0.284578350243397
10686476,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,818,10,"MA-single",-0.179415601864336,-0.144703626639989
10686513,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,818,48,"MA-single",-0.676794542419848,-0.836575388573533
10686533,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,818,69,"G1 phase",-0.0440259189050997,-0.204849321635031
10686551,"YDR498C","SEC20","sec20-1","tsa55-37C","Cdc11_TS1_37C_Plate01",9,13,818,87,"MA-single",-0.611237432776428,-0.513210499020781
