"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
61075154,"YCR071C","IMG2","","dma581","Om45_R1_Plate02",2,10,136,4,"S/G2 phase",3.37463878593484,3.13000118014231
61088603,"YCL016C","DCC1","","dma473","Om45_R1_Plate02",15,10,1383,4,"S/G2 phase",1.08372568209497,1.11983243219206
61088619,"YCL016C","DCC1","","dma473","Om45_R1_Plate02",15,10,1383,20,"T phase",3.27071788007345,2.8821411891307
61088649,"YCL016C","DCC1","","dma473","Om45_R1_Plate02",15,10,1384,26,"S/G2 phase",3.0597739517578,2.33652626429144
61090620,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1431,27,"T phase",0.537753161748567,0.524860805559626
61097113,"YCR028C-A","RIM1","","dma561","Om45_R1_Plate02",13,17,1219,16,"T phase",2.41608475873576,1.91793622083925
61124447,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,113,13,"T phase",1.34849872556058,1.55182523333455
61124507,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,115,34,"S/G2 phase",1.34151871175419,1.54672958723868
61124552,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,24,"S/G2 phase",1.20017343217479,1.27594932377189
61124561,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,33,"S/G2 phase",0.121761299087492,0.609841725983349
61124573,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,45,"T phase",0.435861920375054,0.937799878781746
61126023,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,55,"S/G2 phase",1.26997357023869,1.42313054356434
61126143,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,38,"S/G2 phase",0.692377427759896,0.770236074605798
61126195,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,93,"S/G2 phase",0.416666882407481,0.794766277904537
61126198,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,96,"MA phase",1.66085434339655,1.49559537118357
61126233,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,134,"S/G2 phase",2.74101147993544,2.56929540494324
61126300,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,4,"S/G2 phase",2.00113001645807,1.76127998855449
61126311,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,15,"S/G2 phase",1.38165379114094,1.96243950594393
61126334,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,38,"S/G2 phase",1.91911485423299,1.83072297953547
61126353,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,57,"S/G2 phase",1.98542498539369,1.8899746783247
61126391,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,12,"S/G2 phase",1.23681850465834,2.02998644256366
61126421,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,43,"S/G2 phase",3.03591706325543,2.58570812550785
61145971,"YDR375C","BCS1","","dma1115","Om45_R1_Plate03",10,21,937,24,"S/G2 phase",1.27520858059348,1.61315074158141
61161145,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,55,"S/G2 phase",1.42178887052768,1.76524985237337
61161206,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,117,"S/G2 phase",0.221226495828553,0.782501176255167
61161208,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,119,"S/G2 phase",0.568482182696469,0.822318317841531
61161288,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,200,"S/G2 phase",1.65038432268696,1.78883202849148
61161311,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,223,"S/G2 phase",2.04126509584482,2.04829521748953
61161441,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,109,"S/G2 phase",0.811037662468531,0.876474370534889
61162879,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1106,16,"T phase",1.06929817330497,1.52427319339756
61165275,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,130,26,"S/G2 phase",1.37724633775764,1.47093373204171
61165294,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,131,12,"T phase",2.54468118585943,2.38441357752258
61165308,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,132,8,"S/G2 phase",0.679521604321799,0.912680702795613
61165312,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,132,12,"S/G2 phase",1.23891746903724,1.32806957235537
61167113,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,169,5,"S/G2 phase",2.49755816464699,2.39584933972485
61167201,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,172,21,"S/G2 phase",1.24347776141264,1.39088339662581
61211736,"YDR455C","","","dma1179","Om45_R1_Plate04",5,6,406,17,"S/G2 phase",0.773767646746684,0.958423751604695
