"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
129635596,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,563,22,"MA-single",-0.387086447061664,-0.296968832876266
129665961,"YFL023W","BUD27","bud27-supp1","dma1478","Sec21_R1_Plate04",8,3,684,16,"G1 phase",0.781606213760588,0.34352745425633
129892041,"YLL043W","FPS1","","dma3052","Sec21_R1_Plate08",14,7,1274,23,"MA-single",-0.0679688369541265,-0.128377056067538
129904310,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,469,42,"G1 phase",-0.484397620127958,-0.54288733794128
129904410,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,471,11,"MA-single",-1.0559925422551,-0.960151840957043
129917893,"YKL113C","RAD27","","dma2839","Sec21_R1_Plate08",9,13,817,9,"MA-single",0.335197883061303,0.37497653064445
130632323,"YGL053W","PRM8","","dma1626","Sec21_R2_Plate05",15,12,1389,14,"G1 phase",-0.044207128089682,-0.244350745011901
130659062,"YGL136C","MRM2","","dma1690","Sec21_R2_Plate05",9,19,841,62,"G1 phase",0.97828370847211,0.452578550851999
130659074,"YGL136C","MRM2","","dma1690","Sec21_R2_Plate05",9,19,841,74,"G1 phase",0.0524550585410512,-0.0165206199839368
130659123,"YGL136C","MRM2","","dma1690","Sec21_R2_Plate05",9,19,842,21,"G1 phase",0.557049408934511,0.163363881659719
130659315,"YGL136C","MRM2","","dma1690","Sec21_R2_Plate05",9,19,844,59,"G1 phase",0.611144761085656,0.152021634610428
130735761,"YJR075W","HOC1","","dma2662","Sec21_R2_Plate07",12,19,1129,3,"G1 phase",0.0981854494545335,-0.0205784343234695
130776013,"YIL146C","ATG32","","dma2365","Sec21_R2_Plate07",11,2,967,16,"S/G2 phase",1.01861021498232,0.685871394059418
130893347,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,6,"G1 phase",0.128749634427113,0.0626767148431152
130893349,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,8,"G1 phase",-0.234598052764078,-0.379472260551859
130893352,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,11,"G1 phase",0.01576519459381,-0.00843734626707664
130893368,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,27,"G1 phase",-0.22175891187393,-0.271759910941902
130893373,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,32,"G1 phase",-0.138304496087967,-0.313641619383152
130893374,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,33,"G1 phase",-0.443876049273492,-0.390771837507004
130893375,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,34,"G1 phase",-0.610784880845417,-0.618845892499229
130893382,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,41,"G1 phase",-0.356569891220485,-0.372839061793208
130893386,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,45,"G1 phase",-0.198648458271663,-0.201262891576701
130893392,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,51,"G1 phase",-0.717349750233646,-0.536432254433895
130893396,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,55,"G1 phase",0.0183330227718396,-0.0403692565703504
130893398,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,57,"G1 phase",-0.157563207423189,-0.133465429845838
130893401,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,60,"G1 phase",-0.549157004572706,-0.364856084217389
130893409,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,68,"MA-single",-0.171686262402352,-0.109516497118382
130893410,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,69,"G1 phase",-0.585106599065121,-0.39813777333783
130893413,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,72,"G1 phase",-0.176821918758411,-0.152747984376801
130893414,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,73,"G1 phase",-0.52091089461438,-0.620195671316397
130893415,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,74,"G1 phase",-0.0150487435425454,-0.0150705450257271
130893420,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,80,"G1 phase",-0.645450561248817,-0.68135993428861
130893422,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,82,"G1 phase",0.140304861228246,0.214970330528655
130893432,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,92,"G1 phase",0.145440517584306,-0.0809011861944336
130893434,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,94,"G1 phase",-0.423333423849255,-0.366822904779547
130893437,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,97,"G1 phase",-0.673696671207142,-0.673376956712792
130893439,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,99,"G1 phase",-0.668561014851083,-0.668710578516298
130893442,"YKR093W","PTR2","","dma3024","Sec21_R2_Plate08",8,23,761,103,"G1 phase",-0.42461733793827,-0.506467164692778
