"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
170246422,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,14,"G1 phase",-0.0979386346604039,-0.327592058149936
170246423,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,15,"G1 phase",-0.322514863939814,-0.356151347454134
170246427,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,20,"G1 phase",0.424153112040448,0.031935481785544
170246429,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,22,"G1 phase",0.322421999631826,-0.0796391312861096
170246430,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,23,"G1 phase",-0.427125158775095,-0.626693859380948
170246431,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,24,"G1 phase",-0.320595408988708,-0.343567323020783
170246433,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,26,"G1 phase",0.0114702975526422,-0.341605448387521
170246437,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,30,"G1 phase",-0.459755892943899,-0.524312030305153
170246439,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,32,"G1 phase",-0.0182812541895019,-0.242082350920192
170246443,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,36,"G1 phase",0.0345037569659151,0.0203323946688235
170246444,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,37,"MA-single",-0.575882917485816,-0.409262096454581
170246447,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,41,"G1 phase",0.50381049251135,0.279355899820342
170246448,"YIL068C","SEC6","sec6-4","tsa38-37C","Spf1_TS1_37C_Plate01",7,3,585,42,"G1 phase",0.16886560354334,0.0517504155814874
