"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
249832745,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,21,"S/G2 phase",1.29651426677682,0.956443251735314
249832750,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,26,"MA-single",0.212641368333017,0.401206208518436
249832762,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,38,"S/G2 phase",0.638964708387579,0.48968108065008
249832776,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,53,"G1 phase",1.1592236996406,0.584943498725812
249832794,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,71,"G1 phase",0.996642764874034,0.657080905619945
249832822,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,100,"MA-single",0.638964708387579,0.371293651392751
249832831,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,109,"G1 phase",1.43380483391303,1.03536820457353
249832927,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,207,"G1 phase",0.960513668259241,0.620380802550174
249832934,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,214,"G1 phase",1.17367533828652,0.692518209444307
249832941,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,221,"G1 phase",0.559480695835034,0.506018545887592
249832993,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,273,"G1 phase",0.725674540263084,0.371293651392751
249833049,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,330,"G1 phase",0.447480496329174,0.303181417093367
249833066,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,347,"G1 phase",1.21341734456279,0.889830591539857
249833084,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,365,"G1 phase",1.01470731318143,0.578155952781725
249833109,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,390,"G1 phase",0.241544645624852,0.197106280478799
249833121,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,402,"G1 phase",0.848513468753381,0.457006150175058
249833124,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,405,"G1 phase",1.51690175612706,0.880280672246432
249833129,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,410,"G1 phase",1.2820626281309,0.94286815984714
249833133,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,414,"G1 phase",-0.0872301335697683,-0.227431040837986
249833138,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,419,"G1 phase",2.60800047389382,1.40284278498829
249833147,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,428,"S/G2 phase",0.848513468753381,0.71011847392723
249833182,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,463,"G1 phase",0.339093206484794,0.134518792878091
249833193,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,474,"T phase",2.44903244878873,1.50086757641335
249833211,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,492,"G1 phase",1.13393333201025,0.699305755388394
249833228,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,509,"G1 phase",0.873803836383736,0.499230999943505
249833231,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,512,"G1 phase",0.6353517987261,0.236568756897909
249833264,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,545,"G1 phase",0.819610191461546,0.41075612781186
249833268,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,549,"G1 phase",0.573932334480951,0.242093503596585
249833289,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,570,"G1 phase",0.534190328204678,0.285581152610444
249833330,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,611,"S/G2 phase",0.490835412266926,0.644768612977183
249833364,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,645,"G1 phase",0.938836210290365,0.629930721843599
249833398,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,20,"G1 phase",0.172899362056744,0.0719313052773822
249833417,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,39,"G1 phase",2.27561278503772,1.4191802502258
249833418,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,40,"G1 phase",1.02915895182735,0.761893242989102
249833426,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,48,"G1 phase",0.678706714663852,0.384868743280925
249833475,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,98,"G1 phase",0.41496430937586,0.134518792878091
249833556,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,179,"G1 phase",0.349931935469232,0.00934381767667489
249833561,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,184,"G1 phase",0.790706914169712,0.538693476362615
249833581,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,204,"G1 phase",1.06890095810362,0.726455939164741
249833638,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,261,"G1 phase",1.59277285901813,0.798593346058874
249833644,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,267,"S/G2 phase",2.23948368842293,1.66676782727929
249833690,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,313,"G1 phase",0.404125580391422,0.190318734534712
249833694,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,317,"G1 phase",0.859352197737819,0.508780919236931
249833727,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,350,"G1 phase",0.0283829755975706,0.120943700989917
249833761,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,384,"S/G2 phase",1.48438556917375,0.896618137483944
