"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
3880741,"YCR033W","SNT1","","dma557","Cdc11_R1_Plate02",13,9,1186,23,"S/G2 phase",-0.190767890676895,-0.091250198943253
3880789,"YCR033W","SNT1","","dma557","Cdc11_R1_Plate02",13,9,1187,27,"T phase",1.79395974262529,1.61992005241782
3883916,"YCR028C-A","RIM1","","dma561","Cdc11_R1_Plate02",13,17,1217,4,"T phase",2.41890858217719,2.11150144232553
3884050,"YCR028C-A","RIM1","","dma561","Cdc11_R1_Plate02",13,17,1218,79,"T phase",3.34740400094002,2.60804486110712
3884056,"YCR028C-A","RIM1","","dma561","Cdc11_R1_Plate02",13,17,1218,85,"MA phase",0.493242047997492,0.700582585176271
3884096,"YCR028C-A","RIM1","","dma561","Cdc11_R1_Plate02",13,17,1219,39,"T phase",0.965730840977391,0.864183595988703
3884157,"YCR028C-A","RIM1","","dma561","Cdc11_R1_Plate02",13,17,1220,19,"S/G2 phase",1.67446403044724,1.21648764603438
3884165,"YCR028C-A","RIM1","","dma561","Cdc11_R1_Plate02",13,17,1220,27,"T phase",0.835247017334686,0.961478279790326
3895056,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1329,47,"MA phase",3.0727012143238,2.35303549486307
3895083,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1329,76,"T phase",1.30773581031458,1.36909435757723
3895119,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1329,113,"MA phase",0.756956723149063,0.559602588347716
3895164,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1330,23,"S/G2 phase",3.93801499216489,3.09870195151872
3895165,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1330,24,"S/G2 phase",4.51351733012587,3.43086600201747
3895223,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1330,84,"S/G2 phase",0.294082527700733,0.206520180831621
3895297,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1331,19,"MA phase",0.544062063521493,0.870848281829115
3895325,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1331,47,"MA phase",1.61128238952551,1.35065701499683
3895571,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1332,136,"S/G2 phase",0.762450778881388,1.11067967740012
3895576,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1332,141,"S/G2 phase",1.16214333340799,1.30526904500337
3895582,"YDL175C","AIR2","","dma755","Cdc11_R1_Plate02",14,21,1332,148,"S/G2 phase",1.27477147592064,1.61155270961088
3895661,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1333,76,"S/G2 phase",1.67034348864799,1.4270333417811
3895672,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1333,89,"MA phase",1.5755710272654,2.34466815205613
3895718,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1334,23,"S/G2 phase",0.806403224739983,0.824681954365243
3895731,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1334,36,"MA phase",1.46706342655199,1.26172967400214
3895757,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1334,62,"S/G2 phase",0.544062063521493,0.895171952779522
3895764,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1334,70,"MA phase",2.32688314866076,2.29602081015531
3895887,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1335,123,"MA phase",2.31314800932995,2.36558650907347
3895890,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1335,126,"S/G2 phase",2.25546042414054,2.35892182323306
3895909,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1335,145,"S/G2 phase",0.960236785245066,1.10493929105582
3895979,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1336,62,"S/G2 phase",1.14154062441177,1.89584777567923
3896054,"YDL056W","MBP1","","dma659","Cdc11_R1_Plate02",14,22,1336,139,"MA phase",8.12585897412916,5.76948966921522
3926735,"YDL117W","CYK3","","dma705","Cdc11_R1_Plate02",6,17,545,65,"S/G2 phase",0.866837837795551,1.19216397508398
3926944,"YDL117W","CYK3","","dma705","Cdc11_R1_Plate02",6,17,547,71,"S/G2 phase",1.14154062441177,1.88748043287229
3926950,"YDL117W","CYK3","","dma705","Cdc11_R1_Plate02",6,17,547,77,"S/G2 phase",1.1250584572148,1.37668334291376
3952263,"YDL074C","BRE1","","dma651","Cdc11_R1_Plate02",14,6,1269,10,"S/G2 phase",2.19777283895114,1.72898739295944
3952266,"YDL074C","BRE1","","dma651","Cdc11_R1_Plate02",14,6,1269,13,"S/G2 phase",0.818764850137713,0.773553598027487
3952274,"YDL074C","BRE1","","dma651","Cdc11_R1_Plate02",14,6,1269,21,"S/G2 phase",0.638834524904089,0.325657521146707
3952326,"YDL074C","BRE1","","dma651","Cdc11_R1_Plate02",14,6,1272,2,"T phase",2.71146704992347,2.28176713897837
3961943,"YCL009C","ILV6","","dma479","Cdc11_R1_Plate02",15,22,1432,32,"MA phase",1.43959314789037,1.28605334495255
3972277,"YCL016C","DCC1","","dma473","Cdc11_R1_Plate02",15,10,1381,11,"MA phase",4.32397240736068,3.18762929251341
3972365,"YCL016C","DCC1","","dma473","Cdc11_R1_Plate02",15,10,1382,44,"MA phase",2.21013446434887,1.8220984053576
3972412,"YCL016C","DCC1","","dma473","Cdc11_R1_Plate02",15,10,1383,52,"MA phase",2.85843304076315,2.20213144028674
3972448,"YCL016C","DCC1","","dma473","Cdc11_R1_Plate02",15,10,1384,27,"T phase",2.21150797828195,2.33956018115654
3972467,"YCL016C","DCC1","","dma473","Cdc11_R1_Plate02",15,10,1384,47,"MA phase",2.98891686440585,2.58201853319019
3978121,"YCR044C","PER1","per1-supp1","dma575","Cdc11_R1_Plate02",15,21,1426,118,"S/G2 phase",2.53016321075676,2.29091283925573
3978217,"YCR044C","PER1","per1-supp1","dma575","Cdc11_R1_Plate02",15,21,1427,100,"S/G2 phase",0.912163797587228,1.80862309165107
3986125,"YCL061C","MRC1","","dma522","Cdc11_R1_Plate02",7,11,617,9,"MA phase",5.31839649491139,4.2772324564078
3986152,"YCL061C","MRC1","","dma522","Cdc11_R1_Plate02",7,11,617,36,"S/G2 phase",6.79217694510741,5.06828688305691
3986163,"YCL061C","MRC1","","dma522","Cdc11_R1_Plate02",7,11,617,47,"MA phase",0.159478162258785,0.595844858063818
3986203,"YCL061C","MRC1","","dma522","Cdc11_R1_Plate02",7,11,618,19,"MA phase",5.03957316649593,3.51901498554174
3986227,"YCL061C","MRC1","","dma522","Cdc11_R1_Plate02",7,11,618,43,"MA phase",4.70443576682414,3.4686649866744
3986250,"YCL061C","MRC1","","dma522","Cdc11_R1_Plate02",7,11,618,66,"MA phase",5.23461214499345,3.78735372346662
3986288,"YCL061C","MRC1","","dma522","Cdc11_R1_Plate02",7,11,619,14,"S/G2 phase",4.27727293363592,3.30010194698808
