"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
61075314,"YDL081C","RPP1A","rpp1a-supp1","dma681","Om45_R1_Plate02",2,17,162,6,"S/G2 phase",0.713022749246134,0.804261720508875
61075327,"YDL081C","RPP1A","rpp1a-supp1","dma681","Om45_R1_Plate02",2,17,164,8,"T phase",1.49630718894765,1.49008843179444
61080247,"YDL106C","PHO2","","dma688","Om45_R1_Plate02",4,7,316,9,"S/G2 phase",0.972049484751386,1.30256525944168
61088574,"YCL016C","DCC1","","dma473","Om45_R1_Plate02",15,10,1381,17,"T phase",2.056239233962,2.45343221444936
61090572,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1429,31,"T phase",1.38928416649338,1.51888432651566
61090578,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1430,8,"S/G2 phase",0.491221412855408,0.434866906543022
61090620,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1431,27,"T phase",0.537753161748567,0.524860805559626
61090645,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1431,53,"S/G2 phase",1.60333021140191,1.20794248762877
61090653,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1432,10,"S/G2 phase",4.3967862032879,3.45843585227107
61090657,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1432,15,"MA phase",1.44046909027586,1.42323889675938
61090682,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1432,40,"S/G2 phase",0.857271170814927,0.900768335901666
61090684,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1432,42,"T phase",2.36645089324972,2.12585872795713
61097076,"YCR028C-A","RIM1","","dma561","Om45_R1_Plate02",13,17,1217,9,"MA phase",0.40901532314416,0.61124848972328
61097089,"YCR028C-A","RIM1","","dma561","Om45_R1_Plate02",13,17,1218,11,"S/G2 phase",1.35981405886105,1.38432407080902
61120957,"YDL118W","","","dma704","Om45_R1_Plate02",6,15,537,4,"S/G2 phase",1.07441933231634,1.27016314986752
61120971,"YDL118W","","","dma704","Om45_R1_Plate02",6,15,539,2,"T phase",1.91043975409676,1.96987647954201
61120978,"YDL118W","","","dma704","Om45_R1_Plate02",6,15,539,9,"S/G2 phase",0.968947368158509,1.08726885031106
61124483,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,115,9,"S/G2 phase",1.07802319056296,1.18499796613042
61124507,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,115,34,"S/G2 phase",1.34151871175419,1.54672958723868
61124515,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,115,42,"S/G2 phase",1.59105420533264,1.56106849834567
61124538,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,10,"S/G2 phase",0.442841934181444,0.604746079887475
61124552,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,24,"S/G2 phase",1.20017343217479,1.27594932377189
61124561,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,33,"S/G2 phase",0.121761299087492,0.609841725983349
61124567,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,39,"MA phase",2.97484194244951,2.60816451934898
61124574,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,46,"S/G2 phase",4.08291913421397,3.25086769611577
61125969,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,138,33,"S/G2 phase",1.24728852536792,1.12989388625643
61126023,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,55,"S/G2 phase",1.26997357023869,1.42313054356434
61126026,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,58,"S/G2 phase",0.538817124019311,0.390195678571668
61126053,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,86,"S/G2 phase",1.88421478520103,1.50276482673707
61126099,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,134,"S/G2 phase",0.934932907531958,0.979690829825735
61126101,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,136,"S/G2 phase",0.456801961794225,0.473977580659639
61126138,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,33,"S/G2 phase",1.12513828375609,1.5548470699728
61126143,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,38,"S/G2 phase",0.692377427759896,0.770236074605798
61126190,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,87,"S/G2 phase",0.362571775407956,0.33811343533593
61126193,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,90,"S/G2 phase",0.915737869564385,1.12989388625643
61126195,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,93,"S/G2 phase",0.416666882407481,0.794766277904537
61126198,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,96,"MA phase",1.66085434339655,1.49559537118357
61126300,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,4,"S/G2 phase",2.00113001645807,1.76127998855449
61126304,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,8,"S/G2 phase",0.816272672823324,0.634371929282092
61126310,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,14,"S/G2 phase",1.69924441933169,1.91243107216582
61126311,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,15,"S/G2 phase",1.38165379114094,1.96243950594393
61126329,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,33,"S/G2 phase",0.819762679726519,0.951013007611745
61126334,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,38,"S/G2 phase",1.91911485423299,1.83072297953547
61126344,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,48,"S/G2 phase",1.23507350120674,1.0634727319137
61126346,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,50,"S/G2 phase",1.18272339765881,1.36482687195574
61126353,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,57,"S/G2 phase",1.98542498539369,1.8899746783247
61126355,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,59,"S/G2 phase",1.14607832517526,1.03894252861496
61126365,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,70,"S/G2 phase",2.73577646958065,2.36511405091555
61126367,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,72,"S/G2 phase",1.67481437100933,1.71636720087225
61126369,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,74,"S/G2 phase",1.25252353572272,1.58654672882504
61126386,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,7,"T phase",2.49845600016338,2.10547310682113
61126399,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,20,"S/G2 phase",1.24728852536792,1.22386708053615
61126421,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,43,"S/G2 phase",3.03591706325543,2.58570812550785
61126429,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,51,"S/G2 phase",1.81615965058873,2.10150324300226
61126443,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,66,"S/G2 phase",2.22798046516575,2.05753848250065
61126452,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,75,"MA-single",-0.0649540702334474,0.271692280993202
61126474,"YDR185C","UPS3","","dma967","Om45_R1_Plate03",2,14,151,2,"S/G2 phase",0.587677220664042,0.693623628071319
61157148,"YDR199W","","","dma961","Om45_R1_Plate03",2,2,103,8,"S/G2 phase",0.0676661920879676,0.18074092335173
61161025,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,529,17,"MA phase",1.44098390849525,1.53239067613168
61161106,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,16,"S/G2 phase",1.31534365998023,1.36275306249811
61161145,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,55,"S/G2 phase",1.42178887052768,1.76524985237337
61161148,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,58,"S/G2 phase",0.811037662468531,1.41388727855322
61161168,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,78,"S/G2 phase",0.399216847891505,0.38207819583754
61161191,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,101,"S/G2 phase",1.73414448836364,1.58145108272917
61161206,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,117,"S/G2 phase",0.221226495828553,0.782501176255167
61161212,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,123,"S/G2 phase",0.0170610919916382,0.435108466253903
61161227,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,138,"S/G2 phase",0.486467020471384,0.432086629615653
61161228,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,139,"S/G2 phase",0.701102445017884,0.62418063709034
61161239,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,150,"MA phase",1.45494393610803,1.58654672882504
61161252,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,164,"S/G2 phase",0.729022500243445,0.749853490222304
61161273,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,185,"S/G2 phase",0.950637938596336,0.937799878781743
61161308,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,220,"MA phase",1.61024924330022,1.55484706997281
61161311,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,223,"S/G2 phase",2.04126509584482,2.04829521748953
61161361,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,25,"S/G2 phase",0.135721326700273,0.153188883414738
61161376,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,42,"S/G2 phase",0.193306440602992,0.303391939845442
61161397,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,64,"S/G2 phase",-0.0300540012014961,0.375856767464674
61161439,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,107,"S/G2 phase",0.0694111955395652,0.208292963288725
61161465,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,532,134,"S/G2 phase",0.407941865149493,0.832509610033282
61162869,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1106,6,"MA phase",0.374786799569139,0.77533172070167
61162879,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1106,16,"T phase",1.06929817330497,1.52427319339756
61165224,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,129,8,"S/G2 phase",-0.0166830316555721,0.181123393218494
61165240,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,129,24,"S/G2 phase",0.512310883890553,0.898427433963799
61165250,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,129,35,"T phase",2.42611358409909,2.62263100078919
61165252,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,129,37,"T phase",2.30450578742182,1.89389119784162
61165264,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,130,15,"S/G2 phase",1.07626704098139,1.23183238512661
61165269,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,130,20,"S/G2 phase",-0.331343205558009,0.128695671817752
61165275,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,130,26,"S/G2 phase",1.37724633775764,1.47093373204171
61165281,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,130,32,"S/G2 phase",-0.124609951206649,0.25255547306166
61165294,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,131,12,"T phase",2.54468118585943,2.38441357752258
61165306,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,132,6,"S/G2 phase",0.474308447428906,0.990797455230446
61165326,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,132,26,"S/G2 phase",0.910576418008613,1.4413775350455
61165338,"YER153C","PET122","","dma1445","Om45_R1_Plate04",2,9,132,38,"T phase",2.02632795252257,2.31491508066047
61167133,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,169,25,"T phase",5.23829388226096,4.26960173882824
61167162,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,171,5,"T phase",1.91840103297149,1.76809781361665
61167170,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,171,13,"T phase",3.04631334715317,3.22557741951179
61167193,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,172,13,"G1 phase",0.370941820253226,0.411606484560872
61167201,"YER145C","FTR1","","dma1450","Om45_R1_Plate04",2,19,172,21,"S/G2 phase",1.24347776141264,1.39088339662581
61201393,"YFR010W","UBP6","","dma1515","Om45_R1_Plate04",14,5,1267,6,"MA-single",0.208291392197378,0.474420308831314
61201403,"YFR010W","UBP6","","dma1515","Om45_R1_Plate04",14,5,1267,17,"MA-single",0.331419286333114,0.241119710859393
61201406,"YFR010W","UBP6","","dma1515","Om45_R1_Plate04",14,5,1267,20,"S/G2 phase",2.18441808820302,2.19105527941656
61201409,"YFR010W","UBP6","","dma1515","Om45_R1_Plate04",14,5,1267,23,"T phase",2.853260969928,3.05122347984819
61210449,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,377,26,"S/G2 phase",1.15531210882162,1.31083306120992
61210450,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,377,27,"T phase",1.84087606258973,1.77196497957877
61210475,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,378,14,"MA phase",5.32645953485198,4.03138431556162
61210532,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,379,15,"S/G2 phase",0.796569108623672,0.896493850982737
61210539,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,379,22,"G1 phase",0.1003644726463,-0.0217370841087361
61210546,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,379,29,"T phase",2.56292235536102,2.33110193247334
61210589,"YER161C","SPT2","","dma1464","Om45_R1_Plate04",4,23,380,39,"S/G2 phase",2.34402832134193,2.80930462630355
61211736,"YDR455C","","","dma1179","Om45_R1_Plate04",5,6,406,17,"S/G2 phase",0.773767646746684,0.958423751604695
61211762,"YDR455C","","","dma1179","Om45_R1_Plate04",5,6,407,10,"S/G2 phase",0.237173243908229,0.666894683288845
61211769,"YDR455C","","","dma1179","Om45_R1_Plate04",5,6,407,17,"S/G2 phase",1.72230846082939,1.87577076304768
