"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
129554242,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,16,"G1 phase",-0.289648295427356,-0.355956343826897
129635560,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,562,20,"G1 phase",0.158394374792363,0.112473878050735
129635591,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,563,17,"G1 phase",0.73114923773909,0.467089597964002
129648380,"YDR455C","","","dma1179","Sec21_R1_Plate04",5,6,406,6,"G1 phase",-0.0952542073697599,-0.237689534007587
129663577,"YDR497C","ITR1","","dma1223","Sec21_R1_Plate04",11,22,1045,10,"G1 phase",0.459772528866712,0.322325988280408
129671437,"YER145C","FTR1","","dma1450","Sec21_R1_Plate04",2,19,169,8,"G1 phase",-0.279353984745494,-0.397845407989701
129671438,"YER145C","FTR1","","dma1450","Sec21_R1_Plate04",2,19,171,2,"G1 phase",-0.00252246765457535,-0.187993297760027
129671461,"YER145C","FTR1","","dma1450","Sec21_R1_Plate04",2,19,172,12,"G1 phase",1.17298870344085,0.739062003503128
129676230,"YFR010W","UBP6","","dma1515","Sec21_R1_Plate04",14,5,1266,10,"G1 phase",0.758423278831792,0.422524116482614
129676236,"YFR010W","UBP6","","dma1515","Sec21_R1_Plate04",14,5,1266,16,"G1 phase",0.274309049436343,0.0467069305934257
129682696,"YER111C","SWI4","","dma1394","Sec21_R1_Plate04",10,4,879,3,"G1 phase",1.05161922057833,0.713535438468116
129682701,"YER111C","SWI4","","dma1394","Sec21_R1_Plate04",10,4,879,8,"G1 phase",2.97171171350451,1.64788404402699
129860849,"YKL069W","","","dma2802","Sec21_R1_Plate08",3,11,235,28,"MA-single",-0.522857603287325,-0.487999645182489
129860870,"YKL069W","","","dma2802","Sec21_R1_Plate08",3,11,236,13,"G1 phase",-0.152846041167901,-0.126370409235495
129904320,"YJR118C","ILM1","","dma2723","Sec21_R1_Plate08",5,22,469,52,"G1 phase",-0.26424737169848,-0.318339622834165
