"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
164647816,"YCL061C","MRC1","","dma522","Spf1_R1_Plate02",7,11,618,16,"MA phase",1.68296253991574,1.48461755310192
164647850,"YCL061C","MRC1","","dma522","Spf1_R1_Plate02",7,11,619,16,"S/G2 phase",1.92406870039867,1.84522171356247
164647883,"YCL061C","MRC1","","dma522","Spf1_R1_Plate02",7,11,620,6,"T phase",4.42726030151005,2.21755698532512
164695707,"YCR044C","PER1","per1-supp1","dma575","Spf1_R1_Plate02",15,21,1426,9,"MA phase",2.07010454556922,1.55797950276657
164695752,"YCR044C","PER1","per1-supp1","dma575","Spf1_R1_Plate02",15,21,1428,8,"MA phase",2.85811004568416,2.08364096596818
164724972,"YBR289W","SNF5","","dma449","Spf1_R1_Plate02",11,10,1000,5,"G1 phase",-1.10740021981961,-1.11560876942689
164762499,"YDR110W","FOB1","","dma906","Spf1_R1_Plate03",7,11,618,18,"T phase",3.05311404240255,2.40978630447235
164762511,"YDR110W","FOB1","","dma906","Spf1_R1_Plate03",7,11,619,13,"G1 phase",1.73943928485762,1.66098239705392
164775504,"YDR284C","DPP1","","dma1041","Spf1_R1_Plate03",14,18,1317,6,"G1 phase",-0.191519958957178,-0.235424293401924
164775653,"YDR284C","DPP1","","dma1041","Spf1_R1_Plate03",14,18,1320,24,"G1 phase",0.0470942122059671,0.019164297853952
164788291,"YDR335W","MSN5","","dma1070","Spf1_R1_Plate03",4,3,299,11,"T phase",1.87301134806308,2.28519619840885
164792572,"YDR207C","UME6","","dma979","Spf1_R1_Plate03",4,14,342,14,"S/G2 phase",0.638442375523328,0.699830523692657
164800000,"YDR289C","RTT103","","dma1037","Spf1_R1_Plate03",14,10,1288,8,"S/G2 phase",2.55124619327137,1.96183829005454
164807925,"YDR369C","XRS2","","dma1097","Spf1_R1_Plate03",8,9,707,12,"MA phase",2.98308597043076,2.76709462195676
164807926,"YDR369C","XRS2","","dma1097","Spf1_R1_Plate03",8,9,707,13,"MA phase",4.34085247699496,3.63358012195292
164808478,"YDR368W","YPR1","","dma1098","Spf1_R1_Plate03",8,11,713,55,"S/G2 phase",1.84966865740582,1.53639229099042
164808493,"YDR368W","YPR1","","dma1098","Spf1_R1_Plate03",8,11,713,70,"S/G2 phase",1.46451426156096,1.31109579691424
164808601,"YDR368W","YPR1","","dma1098","Spf1_R1_Plate03",8,11,714,74,"G1 phase",0.651410536999586,0.439083486129461
164808625,"YDR368W","YPR1","","dma1098","Spf1_R1_Plate03",8,11,715,7,"T phase",2.42026776236116,1.91079424469963
164808704,"YDR368W","YPR1","","dma1098","Spf1_R1_Plate03",8,11,716,9,"T phase",1.52935506894225,1.35673146314029
164808793,"YDR368W","YPR1","","dma1098","Spf1_R1_Plate03",8,11,716,102,"G1 phase",0.618990133308941,0.56166025397711
164814186,"YDR154C","","","dma942","Spf1_R1_Plate03",13,11,1196,16,"G1 phase",0.851120223733957,0.694422144563793
164828236,"YDR276C","PMP3","","dma1024","Spf1_R1_Plate03",12,8,1085,6,"S/G2 phase",2.26724345694132,1.85975019934471
164828245,"YDR276C","PMP3","","dma1024","Spf1_R1_Plate03",12,8,1085,15,"G1 phase",1.17791789293566,0.724345877262187
164828255,"YDR276C","PMP3","","dma1024","Spf1_R1_Plate03",12,8,1085,25,"T phase",3.03495861633579,2.24094223487995
164828351,"YDR276C","PMP3","","dma1024","Spf1_R1_Plate03",12,8,1088,49,"G1 phase",0.288302015664364,0.0981187376914086
164828353,"YDR276C","PMP3","","dma1024","Spf1_R1_Plate03",12,8,1088,51,"G1 phase",1.3309421983555,0.767218138093925
164831419,"YDR270W","CCC2","","dma1029","Spf1_R1_Plate03",12,18,1127,42,"G1 phase",-0.0799937702613603,-0.148298069041291
164831481,"YDR270W","CCC2","","dma1029","Spf1_R1_Plate03",12,18,1128,29,"G1 phase",0.132684077949269,0.0028207288075997
164833228,"YDR388W","RVS167","","dma1128","Spf1_R1_Plate03",12,23,1145,10,"G1 phase",-1.08502628467135,-1.16388902867049
164833236,"YDR388W","RVS167","","dma1128","Spf1_R1_Plate03",12,23,1145,18,"S/G2 phase",-0.745260453993391,-0.551242052751747
164854380,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,629,5,"MA-single",1.11129509714584,0.835305175747273
164854410,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,629,36,"T phase",4.34934993273274,3.30435501716139
164854472,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,631,10,"G1 phase",-0.0617773493209975,-0.0605456936795425
164854515,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,632,8,"T phase",1.4096397539703,1.40790602669398
164854531,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,632,25,"T phase",2.42807282333965,2.24321298468803
164854543,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,632,37,"T phase",2.57958817261699,2.84467170345433
164886452,"YER111C","SWI4","","dma1394","Spf1_R1_Plate04",10,4,877,5,"MA-single",-0.666276732520288,-0.475030568315253
164886463,"YER111C","SWI4","","dma1394","Spf1_R1_Plate04",10,4,877,17,"MA phase",3.3496610302843,3.21128708410255
164886553,"YER111C","SWI4","","dma1394","Spf1_R1_Plate04",10,4,879,9,"MA phase",1.36121732275795,1.50631606958512
164996742,"YER145C","FTR1","","dma1450","Spf1_R1_Plate04",2,19,172,22,"S/G2 phase",6.5752197545906,4.48642775162284
165044597,"YGL211W","NCS6","","dma1733","Spf1_R1_Plate05",2,10,133,14,"S/G2 phase",0.941213324154185,0.846836408947237
165044609,"YGL211W","NCS6","","dma1733","Spf1_R1_Plate05",2,10,134,8,"S/G2 phase",0.490868983721513,0.320770397640599
165044651,"YGL211W","NCS6","","dma1733","Spf1_R1_Plate05",2,10,136,14,"T phase",0.584843276982531,0.610564712114884
165090637,"YGR135W","PRE9","","dma1892","Spf1_R1_Plate05",12,15,1113,22,"S/G2 phase",-0.985869910380204,-0.599485528887467
165090784,"YGR135W","PRE9","","dma1892","Spf1_R1_Plate05",12,15,1116,38,"MA phase",1.72718014051907,1.73056523079039
165118689,"YHL031C","GOS1","gos1-supp1","dma2054","Spf1_R1_Plate06",7,3,585,7,"T phase",1.69915798063368,1.3410426931292
165118700,"YHL031C","GOS1","gos1-supp1","dma2054","Spf1_R1_Plate06",7,3,586,12,"MA phase",0.70262078958792,0.716060066597562
165118718,"YHL031C","GOS1","gos1-supp1","dma2054","Spf1_R1_Plate06",7,3,587,18,"S/G2 phase",0.78900403856048,0.591362312706609
165118723,"YHL031C","GOS1","gos1-supp1","dma2054","Spf1_R1_Plate06",7,3,588,7,"G1 phase",0.1354959811159,0.131765389396667
165192572,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1385,37,"MA phase",4.65997513744676,3.5251010515528
165192579,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1385,44,"G1 phase",0.937983844759532,0.45239429252864
165192594,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1385,61,"S/G2 phase",2.81462863040977,1.96602531966085
165192611,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1386,16,"S/G2 phase",2.83966725330037,1.99719975813358
165192639,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1386,47,"G1 phase",1.12201772300542,0.533023262651701
165192729,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1387,56,"G1 phase",1.42498505998164,0.857033000220815
165192743,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1387,71,"MA-single",0.478525114717078,0.272738323019923
165192774,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1388,11,"S/G2 phase",1.85064164912179,1.48476746873618
165192796,"YHR037W","PUT2","","dma2106","Spf1_R1_Plate06",15,11,1388,34,"S/G2 phase",2.6230831652967,1.87112608325077
165215774,"YHR021C","RPS27B","","dma2095","Spf1_R1_Plate06",13,13,1203,10,"T phase",1.51011637780967,1.49903773502319
165218104,"YHR111W","UBA4","","dma2155","Spf1_R1_Plate06",8,14,725,23,"T phase",1.19212586709909,1.17227615547036
165218138,"YHR111W","UBA4","","dma2155","Spf1_R1_Plate06",8,14,726,29,"T phase",2.35516990036732,1.72138656730795
165322769,"YJL211C","","","dma2598","Spf1_R1_Plate07",2,11,137,47,"T phase",0.577605382664428,1.21891116800065
165322777,"YJL211C","","","dma2598","Spf1_R1_Plate07",2,11,137,55,"S/G2 phase",1.09828747101256,1.24951373176154
165322813,"YJL211C","","","dma2598","Spf1_R1_Plate07",2,11,140,33,"MA phase",1.05190487118844,1.34281423103252
165322821,"YJL211C","","","dma2598","Spf1_R1_Plate07",2,11,140,42,"T phase",1.72220824929178,2.15280251545357
165408525,"YJL204C","RCY1","","dma2604","Spf1_R1_Plate07",2,23,187,7,"T phase",1.37658306995725,1.64440809492598
165413586,"YIL084C","SDS3","","dma2337","Spf1_R1_Plate07",5,18,453,57,"S/G2 phase",0.54319248602073,0.989671841291841
165413635,"YIL084C","SDS3","","dma2337","Spf1_R1_Plate07",5,18,454,30,"G1 phase",-0.149554085545889,-0.255469971729083
165413701,"YIL084C","SDS3","","dma2337","Spf1_R1_Plate07",5,18,455,27,"MA phase",0.429480305806771,0.71616142767895
165429521,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,527,18,"S/G2 phase",-0.022150305787651,0.0688398274799997
165429545,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,527,42,"MA phase",0.206968200320383,0.31684804912082
165429569,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,527,68,"G1 phase",0.39861405356028,0.324827363397331
165429583,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,527,84,"MA phase",1.42322344769761,1.02020295329286
165429595,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,528,3,"MA-single",-0.402230070593034,-0.321497092999964
165429612,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,528,23,"MA phase",-0.0746120198030419,0.0464791909609417
165429624,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,528,35,"T phase",0.0838437694679347,0.0555409703524826
165429628,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,528,39,"S/G2 phase",0.91252472146615,0.749339253937538
165429640,"YKL213C","DOA1","","dma2910","Spf1_R1_Plate08",6,12,528,51,"MA phase",0.634156443017137,0.630948497927927
165431046,"YKR082W","NUP133","","dma3009","Spf1_R1_Plate08",6,17,546,13,"S/G2 phase",0.336516514521654,0.270951528243532
165431058,"YKR082W","NUP133","","dma3009","Spf1_R1_Plate08",6,17,546,25,"MA-single",1.26905024732585,0.801545000056719
165431067,"YKR082W","NUP133","","dma3009","Spf1_R1_Plate08",6,17,546,34,"S/G2 phase",0.948926727109483,0.916193519525797
165431074,"YKR082W","NUP133","","dma3009","Spf1_R1_Plate08",6,17,546,42,"MA phase",2.01529136301416,1.72414548138449
165431116,"YKR082W","NUP133","","dma3009","Spf1_R1_Plate08",6,17,548,28,"MA phase",3.84931005910324,1.99077210300383
165454331,"YLL002W","RTT109","","dma3033","Spf1_R1_Plate08",10,17,930,11,"S/G2 phase",0.518526542738317,0.501331032296717
165459844,"YKL198C","PTK1","","dma2899","Spf1_R1_Plate08",4,14,342,25,"S/G2 phase",-0.230926514624411,-0.135931644709037
165482536,"YKL162C","","","dma2875","Spf1_R1_Plate08",15,13,1393,14,"T phase",1.52600558127878,1.05329545823808
165482570,"YKL162C","","","dma2875","Spf1_R1_Plate08",15,13,1394,31,"T phase",1.95319382397554,1.34710741803204
165482647,"YKL162C","","","dma2875","Spf1_R1_Plate08",15,13,1396,41,"T phase",0.759422168319193,0.62346402484686
165484660,"YKL048C","ELM1","","dma2781","Spf1_R1_Plate08",15,18,1413,13,"G1 phase",1.96390029622358,0.957265338747522
165484713,"YKL048C","ELM1","","dma2781","Spf1_R1_Plate08",15,18,1414,18,"MA-single",-0.369040006624113,-0.203693960909942
165495212,"YKR061W","KTR2","","dma2999","Spf1_R1_Plate08",4,21,369,37,"T phase",1.46069610056575,1.07407878844666
165495275,"YKR061W","KTR2","","dma2999","Spf1_R1_Plate08",4,21,372,3,"MA phase",3.10199829619012,2.20469813730855
165495276,"YKR061W","KTR2","","dma2999","Spf1_R1_Plate08",4,21,372,4,"MA phase",3.35360039401903,2.24892456915122
165506361,"YKL149C","DBR1","","dma2861","Spf1_R1_Plate08",13,9,1187,9,"S/G2 phase",0.441439942552436,0.71092720614132
165506367,"YKL149C","DBR1","","dma2861","Spf1_R1_Plate08",13,9,1187,15,"G1 phase",0.851497829652328,0.349352930146448
165506386,"YKL149C","DBR1","","dma2861","Spf1_R1_Plate08",13,9,1187,34,"MA phase",2.86752655395806,1.90497901074399
165510807,"YKR001C","VPS1","","dma2924","Spf1_R1_Plate08",8,16,735,6,"T phase",1.40930503377516,2.62113793084811
165510823,"YKR001C","VPS1","","dma2924","Spf1_R1_Plate08",8,16,736,2,"MA phase",1.20267011938801,0.862905308291586
165515366,"YKL006W","RPL14A","","dma2739","Spf1_R1_Plate08",9,6,790,14,"T phase",0.976763554954384,0.801545000056721
165536604,"YKR027W","BCH2","","dma2950","Spf1_R1_Plate08",12,20,1134,7,"MA phase",0.911454074241346,0.698123190209245
165539090,"YKL069W","","","dma2802","Spf1_R1_Plate08",3,11,234,37,"S/G2 phase",0.19519108084754,0.457104600454046
165539138,"YKL069W","","","dma2802","Spf1_R1_Plate08",3,11,235,48,"MA-single",-0.421501720639504,-0.45485679517171
165539158,"YKL069W","","","dma2802","Spf1_R1_Plate08",3,11,236,8,"S/G2 phase",2.11486155492093,1.43348813421147
165554108,"YJR117W","STE24","","dma2701","Spf1_R1_Plate08",3,2,197,92,"S/G2 phase",0.513173306614297,0.330146906248339
165554261,"YJR117W","STE24","","dma2701","Spf1_R1_Plate08",3,2,198,138,"S/G2 phase",0.311891628351165,0.277353536209568
165560018,"YJR118C","ILM1","","dma2723","Spf1_R1_Plate08",5,22,471,25,"MA phase",2.07738890205279,1.75832045144473
165560028,"YJR118C","ILM1","","dma2723","Spf1_R1_Plate08",5,22,471,35,"G1 phase",-0.327284764856761,-0.0276851332059968
165560036,"YJR118C","ILM1","","dma2723","Spf1_R1_Plate08",5,22,472,7,"S/G2 phase",-0.165617033911373,-0.0831382746702698
165560048,"YJR118C","ILM1","","dma2723","Spf1_R1_Plate08",5,22,472,20,"T phase",1.94569929340191,1.59935271740884
165565403,"YLR021W","IRC25","","dma3110","Spf1_R1_Plate09",7,4,587,17,"G1 phase",-0.742947452699688,-0.735191396916306
165565468,"YLR021W","IRC25","","dma3110","Spf1_R1_Plate09",7,4,589,7,"G1 phase",0.759140568459501,0.40919239301277
165590574,"YLR150W","STM1","","dma3239","Spf1_R1_Plate09",11,21,1035,86,"MA-single",-1.58389022797637,-1.59846573369251
165590668,"YLR150W","STM1","","dma3239","Spf1_R1_Plate09",11,21,1038,50,"MA-single",-1.31348606959616,-1.30589511762664
165629236,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,17,"MA phase",4.12857458387785,3.27617119952039
165629246,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,27,"MA-single",1.9752514168815,1.36584411135145
165629271,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,53,"G1 phase",3.91904675434763,2.23138402684301
165629273,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,55,"G1 phase",1.84642011629198,1.19352685964791
165629289,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,73,"G1 phase",1.51230817190596,0.921612990692669
165629292,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,76,"S/G2 phase",3.13756457934304,2.48801634524758
165629299,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,83,"S/G2 phase",3.85958615407555,2.80746294411331
165629304,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1421,88,"G1 phase",2.34050938998147,1.5803188964055
165629368,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1422,34,"MA phase",3.29187899433489,2.53781465387343
165629369,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1422,35,"S/G2 phase",3.16871060805699,2.38077895272055
165629389,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1422,56,"G1 phase",1.25889275646063,0.694122233803308
165629398,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1422,65,"S/G2 phase",3.50848546675464,2.78907177571803
165629404,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1422,72,"S/G2 phase",1.9129593594536,1.46544072860314
165629424,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1422,93,"S/G2 phase",3.00731755017561,2.62128568144522
165629514,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1424,51,"G1 phase",2.49482380497332,1.59333486824081
165629545,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1424,87,"S/G2 phase",2.758149320464,2.22911844812765
165629569,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1424,112,"G1 phase",1.43019591438736,1.15065855650434
165629589,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1424,132,"S/G2 phase",3.82419293962787,3.28465601392497
165629601,"YLR184W","","","dma3264","Spf1_R1_Plate09",15,23,1424,144,"S/G2 phase",1.55761148639898,1.03960077633964
165634372,"YLR262C","YPT6","","dma3304","Spf1_R1_Plate09",8,8,699,4,"T phase",1.78129660170826,2.08056756137935
165634410,"YLR262C","YPT6","","dma3304","Spf1_R1_Plate09",8,8,701,2,"MA phase",2.23857693237218,1.62021085104066
165634440,"YLR262C","YPT6","","dma3304","Spf1_R1_Plate09",8,8,702,18,"T phase",1.12864572729319,1.35438294843845
165645119,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,425,59,"S/G2 phase",0.722331625433922,0.921612990692669
165645156,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,425,96,"T phase",2.99032880724073,2.6802795742687
165645165,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,425,105,"G1 phase",-0.00960004934392975,-0.176792878248221
165645166,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,425,106,"S/G2 phase",1.01680316963855,1.4057360659866
165645195,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,425,135,"S/G2 phase",1.09749969857924,1.13453296682442
165645328,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,426,40,"S/G2 phase",1.82943137335709,1.6913766765702
165645374,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,426,88,"S/G2 phase",0.896466240516467,1.08855504583624
165645394,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,426,108,"MA-single",-0.0775550210834595,-0.0244216038622613
165645469,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,426,187,"S/G2 phase",1.73882474437105,1.77329289521968
165645574,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,427,69,"G1 phase",-0.496610680143893,-0.552123752092823
165645723,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,428,9,"S/G2 phase",0.774713582816476,0.810555210527976
165645724,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,428,10,"G1 phase",-0.255936821899725,-0.332273770478794
165645854,"YLR110C","CCW12","","dma3198","Spf1_R1_Plate09",5,11,428,141,"S/G2 phase",-0.168161650069499,0.186232793554131
165656144,"YLR039C","RIC1","","dma3121","Spf1_R1_Plate09",9,2,768,7,"S/G2 phase",2.14513884623033,1.46388591968084
165656184,"YLR039C","RIC1","","dma3121","Spf1_R1_Plate09",9,2,768,48,"S/G2 phase",1.51230817190596,1.38196970103136
165656219,"YLR039C","RIC1","","dma3121","Spf1_R1_Plate09",9,2,769,35,"G1 phase",0.330174809353719,0.393066803332858
165676253,"YLR286C","CTS1","","dma3331","Spf1_R1_Plate09",12,14,1103,92,"T phase",1.62273500098269,1.78941848489959
165676285,"YLR286C","CTS1","","dma3331","Spf1_R1_Plate09",12,14,1104,25,"T phase",2.62507083414076,2.47500037341228
