"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions","Area","Perimeter"
282769238,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,393,17,"G1 phase",-0.84665547061572,-0.909014736058298
282769308,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,393,88,"S/G2 phase",0.546313116135059,0.706231150145531
282769427,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,394,26,"G1 phase",-0.532837260267269,-0.721234671320366
282769498,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,394,97,"MA-single",-1.3173827861384,-1.39982909688529
282769636,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,395,76,"G1 phase",-1.25654048005043,-1.37073443116616
282769645,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,395,85,"G1 phase",-0.888284416886433,-0.832693946273345
282769804,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,396,72,"S/G2 phase",-0.318288075641287,-0.326207821061415
282769805,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,396,73,"G1 phase",-0.827442110798468,-0.808518668477743
282769807,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,396,75,"G1 phase",-0.33429920882233,-0.317704307650753
282769823,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,396,91,"G1 phase",-1.24052934686939,-1.27986630852165
282769836,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,396,105,"G1 phase",-1.17328258750901,-1.25681546225142
282769861,"YDR021W","FAL1","fal1-1","TSA728-37C","Vph1_TS1_37C_Plate01",5,3,396,131,"G1 phase",-0.840251017343303,-0.861788611992471
282770138,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,401,64,"S/G2 phase",0.165248146426225,0.259058787897229
282770164,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,401,91,"G1 phase",-1.25974270668664,-1.28591012797055
282770183,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,401,110,"G1 phase",-0.936317816429564,-1.05202837069216
282770207,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,401,134,"MA-single",-0.92030668324852,-0.741825823628829
282770366,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,401,298,"G1 phase",0.0915969337934251,-0.0717349114745694
282770438,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,401,370,"MA-single",-1.42305626513328,-1.52337601073607
282770442,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,401,374,"G1 phase",-1.16687813423659,-1.24472782335362
282770605,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,402,155,"MA-single",-0.030087678382505,-0.299572849304052
282770727,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,402,279,"S/G2 phase",0.110810293610677,0.414160061428897
282770740,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,402,292,"MA-single",-0.404748194818921,-0.268018489623163
282770982,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,403,193,"G1 phase",-0.548848393448312,-0.446170609425057
282771193,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,404,5,"G1 phase",-0.923508909884729,-1.08470716189843
282771238,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,404,53,"MA-single",-0.0557054914721745,-0.110457522129734
282771264,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,404,80,"G1 phase",-0.897891096795059,-1.06411600958997
282771434,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,404,256,"G1 phase",-0.552050620084521,-0.712731157909704
282771508,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,404,334,"G1 phase",0.22609045251419,-0.125004854989297
282771520,"YMR190C","SGS1","","DMA3784-37C","Vph1_TS1_37C_Plate01",5,5,404,346,"S/G2 phase",1.21557848310267,0.986214599964363
282773425,"YJL046W","AIM22","","DMA2464-37C","Vph1_TS1_37C_Plate01",5,9,417,17,"G1 phase",-1.45507853149537,-1.67243346481884
282773537,"YJL046W","AIM22","","DMA2464-37C","Vph1_TS1_37C_Plate01",5,9,417,129,"S/G2 phase",-0.395141514910295,-0.238923823904038
282773593,"YJL046W","AIM22","","DMA2464-37C","Vph1_TS1_37C_Plate01",5,9,418,42,"G1 phase",-1.00356457578995,-1.19258231136427
282773648,"YJL046W","AIM22","","DMA2464-37C","Vph1_TS1_37C_Plate01",5,9,418,99,"MA-single",-1.14126032114692,-1.02897752442194
282773765,"YJL046W","AIM22","","DMA2464-37C","Vph1_TS1_37C_Plate01",5,9,419,90,"S/G2 phase",-0.471994954179304,-0.46071794228462
282773789,"YJL046W","AIM22","","DMA2464-37C","Vph1_TS1_37C_Plate01",5,9,420,7,"G1 phase",-1.33979837259186,-1.37677825061506
282773845,"YJL046W","AIM22","","DMA2464-37C","Vph1_TS1_37C_Plate01",5,9,420,67,"G1 phase",-0.840251017343303,-0.878795638813796
282774157,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,425,272,"G1 phase",-0.289468035915409,-0.203785338736012
282774158,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,425,273,"G1 phase",-0.302276942460243,-0.306741100278328
282774329,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,425,448,"G1 phase",-1.20210262723488,-1.31254509972791
282774561,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,70,"MA-single",-0.552050620084521,-0.392900665910329
282774569,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,78,"S/G2 phase",0.219685999241773,0.282109634167454
282774592,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,102,"G1 phase",-1.19890040059868,-1.27740661455989
282774675,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,187,"S/G2 phase",-0.151772290558435,-0.13350836839996
282774837,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,354,"MA-single",-1.05800242860549,-1.11626152157932
282774843,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,360,"G1 phase",-1.38783177213499,-1.43855170754045
282774856,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,374,"G1 phase",-0.958733402883024,-1.10171418871975
282774950,"YEL019C","MMS21","mms21-1","TSA533-37C","Vph1_TS1_37C_Plate01",5,11,426,472,"MA-single",-0.821037657526051,-0.964744373534788
