ORF,Name,Allele,Strain ID,Plate,Row,Column
YMR271C,URA10,,DMA3865,1,1,1
YMR271C,URA10,,DMA3865,1,1,2
YMR271C,URA10,,DMA3865,1,1,3
YMR271C,URA10,,DMA3865,1,1,4
YMR271C,URA10,,DMA3865,1,1,5
YMR271C,URA10,,DMA3865,1,1,6
YMR271C,URA10,,DMA3865,1,1,7
YMR271C,URA10,,DMA3865,1,1,8
YMR271C,URA10,,DMA3865,1,1,9
YMR271C,URA10,,DMA3865,1,1,10
YMR271C,URA10,,DMA3865,1,1,11
YMR271C,URA10,,DMA3865,1,1,12
YMR271C,URA10,,DMA3865,1,1,13
YMR271C,URA10,,DMA3865,1,1,14
YMR271C,URA10,,DMA3865,1,1,15
YMR271C,URA10,,DMA3865,1,1,16
YMR271C,URA10,,DMA3865,1,1,17
YMR271C,URA10,,DMA3865,1,1,18
YMR271C,URA10,,DMA3865,1,1,19
YMR271C,URA10,,DMA3865,1,1,20
YMR271C,URA10,,DMA3865,1,1,21
YMR271C,URA10,,DMA3865,1,1,22
YMR271C,URA10,,DMA3865,1,1,23
YMR271C,URA10,,DMA3865,1,1,24
YMR271C,URA10,,DMA3865,1,2,1
YML105C,SEC65,sec65-1,TSA710,1,2,2
YOR329C,SCD5,scd5-pp1d2,TSA570,1,2,3
YJR076C,CDC11,cdc11-2,TSA82,1,2,4
YGR119C,NUP57,nup57-e17,TSA954,1,2,5
YPR055W,SEC8,sec8-9,TSA122,1,2,6
YGR140W,CBF2,cbf2-1,TSA133,1,2,7
YLR452C,SST2,,DMA3495,1,2,8
YDL029W,ARP2,arp2-14,TSA886,1,2,9
YDR150W,NUM1,,DMA946,1,2,10
YMR296C,LCB1,lcb1-4,TSA602,1,2,11
YIR011C,STS1,sts1-5001,TSA1105,1,2,12
YOR361C,PRT1,prt1-1,TSA27,1,2,13
YFL009W,CDC4,cdc4-2,TSA415,1,2,14
YGL247W,BRR6,brr6-5001,TSA1123,1,2,15
BLANK,BLANK,,,1,2,16
YLR117C,CLF1,clf1-1,TSA1047,1,2,17
YJL034W,KAR2,kar2-159,TSA210,1,2,18
YJL125C,GCD14,gcd14-4,TSA620,1,2,19
YER038C,KRE29,kre29-ts2,TSA996,1,2,20
YPL010W,RET3,ret3-1,TSA689,1,2,21
YHR069C,RRP4,rrp4-1,TSA724,1,2,22
YBR202W,MCM7,cdc47-ts,TSA125,1,2,23
YMR271C,URA10,,DMA3865,1,2,24
YMR271C,URA10,,DMA3865,1,3,1
YNL041C,COG6,,DMA3970,1,3,2
YDR044W,HEM13,hem13-5001,TSA1076,1,3,3
YBR160W,CDC28,cdc28-13,TSA175,1,3,4
YMR079W,SEC14,sec14-3,TSA53,1,3,5
YBL097W,BRN1,brn1-9,TSA510,1,3,6
YMR307W,GAS1,,DMA3905,1,3,7
YGL207W,SPT16,spt16-ts,TSA339,1,3,8
YML046W,PRP39,prp39-1,TSA494,1,3,9
YDR364C,CDC40,cdc40-ts,TSA18,1,3,10
YNL232W,CSL4,csl4-5001,TSA1156,1,3,11
YDL126C,CDC48,cdc48-9,TSA179,1,3,12
YLR022C,SDO1,sdo1-vma1-ts,TSA1026,1,3,13
YNR026C,SEC12,sec12-4,TSA60,1,3,14
YLL002W,RTT109,,DMA3033,1,3,15
YNL061W,NOP2,nop2-6,TSA628,1,3,16
YER157W,COG3,cog3-1,TSA41,1,3,17
YPL047W,SGF11,,DMA4811,1,3,18
YLR071C,RGR1,rgr1-100,TSA908,1,3,19
YOL018C,TLG2,,DMA4304,1,3,20
YOR224C,RPB8,rpb8-5001,TSA1195,1,3,21
YKL035W,UGP1,ugp1-5001,TSA1155,1,3,22
YBR060C,ORC2,orc2-4,TSA309,1,3,23
YMR271C,URA10,,DMA3865,1,3,24
YMR271C,URA10,,DMA3865,1,4,1
YEL026W,SNU13,snu13-l67w,TSA810,1,4,2
YNL132W,KRE33,kre33-5001,TSA1262,1,4,3
YOR020C,HSP10,hsp10-ts,TSA681,1,4,4
YOR103C,OST2,ost2-5001,TSA1158,1,4,5
YML102W,CAC2,,DMA3590,1,4,6
YHR007C,ERG11,erg11-td,TSA14,1,4,7
YBR049C,REB1,reb1-5001,TSA1107,1,4,8
YML028W,TSA1,,DMA3534,1,4,9
YGL219C,MDM34,mdm34-supp1,DMA1748,1,4,10
YOR294W,RRS1,rrs1-124,TSA687,1,4,11
YNL118C,DCP2,dcp2-7,TSA743,1,4,12
