"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
129554231,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,5,"G1 phase"
129554232,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,6,"G1 phase"
129567966,"YCL032W","STE50","","dma498","Sec21_R1_Plate02",3,11,236,11,"MA-single"
129585908,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1253,12,"G1 phase"
129585920,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1254,5,"G1 phase"
129586112,"YDL074C","BRE1","","dma651","Sec21_R1_Plate02",14,6,1270,3,"MA-single"
129586114,"YDL074C","BRE1","","dma651","Sec21_R1_Plate02",14,6,1270,5,"G1 phase"
129588420,"YDL056W","MBP1","","dma659","Sec21_R1_Plate02",14,22,1334,11,"MA-single"
129596650,"YDL125C","HNT1","","dma698","Sec21_R1_Plate02",6,3,489,19,"S/G2 phase"
129596672,"YDL125C","HNT1","","dma698","Sec21_R1_Plate02",6,3,491,5,"G1 phase"
129596685,"YDL125C","HNT1","","dma698","Sec21_R1_Plate02",6,3,492,9,"G1 phase"
129608278,"YDR162C","NBP2","","dma958","Sec21_R1_Plate03",15,19,1418,6,"S/G2 phase"
129608651,"YDR159W","SAC3","","dma960","Sec21_R1_Plate03",15,23,1433,10,"S/G2 phase"
129619265,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,705,16,"G1 phase"
129619285,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,708,10,"G1 phase"
129620907,"YDR186C","","","dma966","Sec21_R1_Plate03",2,12,141,9,"MA-single"
129620933,"YDR186C","","","dma966","Sec21_R1_Plate03",2,12,144,19,"G1 phase"
129635524,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,561,7,"G1 phase"
129635590,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,563,16,"MA-single"
129635629,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,564,20,"G1 phase"
