"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
164647883,"YCL061C","MRC1","","dma522","Spf1_R1_Plate02",7,11,620,6,"T phase"
164695751,"YCR044C","PER1","per1-supp1","dma575","Spf1_R1_Plate02",15,21,1428,7,"T phase"
164800852,"YDR125C","ECM18","","dma918","Spf1_R1_Plate03",9,11,811,10,"MA phase"
164831830,"YDR266C","HEL2","","dma1030","Spf1_R1_Plate03",12,20,1133,32,"G1 phase"
164831904,"YDR266C","HEL2","","dma1030","Spf1_R1_Plate03",12,20,1133,107,"S/G2 phase"
164831910,"YDR266C","HEL2","","dma1030","Spf1_R1_Plate03",12,20,1133,113,"G1 phase"
164832174,"YDR266C","HEL2","","dma1030","Spf1_R1_Plate03",12,20,1135,54,"G1 phase"
164832371,"YDR266C","HEL2","","dma1030","Spf1_R1_Plate03",12,20,1136,54,"G1 phase"
164854380,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,629,5,"MA-single"
164854410,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,629,36,"T phase"
164854451,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,630,27,"T phase"
164854496,"YDR469W","SDC1","","dma1195","Spf1_R1_Plate04",7,14,631,34,"T phase"
164886452,"YER111C","SWI4","","dma1394","Spf1_R1_Plate04",10,4,877,5,"MA-single"
164886457,"YER111C","SWI4","","dma1394","Spf1_R1_Plate04",10,4,877,11,"MA phase"
164899974,"YER167W","BCK2","","dma1459","Spf1_R1_Plate04",4,13,337,29,"G1 phase"
164899977,"YER167W","BCK2","","dma1459","Spf1_R1_Plate04",4,13,337,33,"G1 phase"
164900167,"YER167W","BCK2","","dma1459","Spf1_R1_Plate04",4,13,339,13,"G1 phase"
164900285,"YER167W","BCK2","","dma1459","Spf1_R1_Plate04",4,13,340,26,"S/G2 phase"
164900291,"YER167W","BCK2","","dma1459","Spf1_R1_Plate04",4,13,340,33,"T phase"
164906824,"YER155C","BEM2","","dma1444","Spf1_R1_Plate04",2,7,122,5,"G1 phase"
164906836,"YER155C","BEM2","","dma1444","Spf1_R1_Plate04",2,7,122,18,"G1 phase"
