"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
249833199,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,480,"S/G2 phase"
249833254,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,601,535,"S/G2 phase"
249833388,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,9,"MA-single"
249833451,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,74,"MA phase"
249834013,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,602,637,"S/G2 phase"
249834056,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,42,"S/G2 phase"
249834100,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,87,"S/G2 phase"
249834116,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,103,"S/G2 phase"
249834287,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,276,"MA phase"
249834290,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,279,"S/G2 phase"
249834334,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,323,"S/G2 phase"
249834402,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,391,"S/G2 phase"
249834444,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,434,"S/G2 phase"
249834456,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,446,"S/G2 phase"
249834507,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,498,"T phase"
249834634,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,626,"T phase"
249834637,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,629,"MA-single"
249834658,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,650,"MA phase"
249834675,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,667,"T phase"
249834695,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,603,687,"S/G2 phase"
249834872,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,130,"S/G2 phase"
249835203,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,464,"S/G2 phase"
249835372,"YCL063W","VAC17","","dma520","Vph1_R1_Plate02",7,7,604,635,"MA phase"
249859243,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,637,420,"MA phase"
249861402,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,2,"S/G2 phase"
249861405,"YBR260C","RGD1","","dma428","Vph1_R1_Plate02",7,16,639,5,"S/G2 phase"
249927186,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,20,"S/G2 phase"
249927197,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,31,"T phase"
249927200,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,35,"T phase"
249927233,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,69,"S/G2 phase"
249927234,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,70,"S/G2 phase"
249927273,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,109,"S/G2 phase"
249927288,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,124,"S/G2 phase"
249927305,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,141,"T phase"
249927324,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,161,"S/G2 phase"
249927332,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,169,"MA phase"
249927368,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,206,"S/G2 phase"
249927496,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,335,"S/G2 phase"
249927532,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,372,"S/G2 phase"
249927557,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,397,"T phase"
249927582,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,424,"S/G2 phase"
249927597,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,517,439,"S/G2 phase"
249927831,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,518,224,"S/G2 phase"
249927915,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,518,309,"MA-single"
249927951,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,518,346,"S/G2 phase"
249927961,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,518,356,"S/G2 phase"
249928034,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,518,430,"T phase"
249928130,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,519,55,"T phase"
249928195,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,519,121,"S/G2 phase"
249928261,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,519,187,"S/G2 phase"
249928274,"YCR100C","","","dma605","Vph1_R1_Plate02",6,10,519,200,"T phase"
