cell_id,ORF,Name,Allele,Strain.ID,Plate,Row,Column,ImageNumber,ObjectNumber,Predictions
3880832,YCR033W,SNT1,,dma557,Cdc11_R1_Plate02,13,9,1188,42,MA-single
3883969,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1217,57,G1 phase
3884011,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1218,38,G1 phase
3884051,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1218,80,G1 phase
3884136,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1219,82,G1 phase
3884142,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1219,88,MA-single
3884185,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1220,47,MA-single
3884205,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1220,67,G1 phase
3884217,YCR028C-A,RIM1,,dma561,Cdc11_R1_Plate02,13,17,1220,79,MA-single
3895031,YDL175C,AIR2,,dma755,Cdc11_R1_Plate02,14,21,1329,21,G1 phase
3895259,YDL175C,AIR2,,dma755,Cdc11_R1_Plate02,14,21,1330,121,MA-single
3895398,YDL175C,AIR2,,dma755,Cdc11_R1_Plate02,14,21,1331,121,MA-single
3895538,YDL175C,AIR2,,dma755,Cdc11_R1_Plate02,14,21,1332,102,MA-single
3895620,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1333,34,MA-single
3895669,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1333,86,G1 phase
3895685,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1333,102,G1 phase
3895701,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1334,6,MA-single
3895706,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1334,11,MA-single
3895742,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1334,47,G1 phase
3895743,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1334,48,G1 phase
3895744,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1334,49,G1 phase
3895756,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1334,61,G1 phase
3895765,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1334,71,G1 phase
3895904,YDL056W,MBP1,,dma659,Cdc11_R1_Plate02,14,22,1335,140,MA-single
3926861,YDL117W,CYK3,,dma705,Cdc11_R1_Plate02,6,17,546,69,MA-single
3926957,YDL117W,CYK3,,dma705,Cdc11_R1_Plate02,6,17,548,12,MA-single
3926962,YDL117W,CYK3,,dma705,Cdc11_R1_Plate02,6,17,548,17,MA-single
3926969,YDL117W,CYK3,,dma705,Cdc11_R1_Plate02,6,17,548,24,MA-single
3961911,YCL009C,ILV6,,dma479,Cdc11_R1_Plate02,15,22,1431,49,G1 phase
3972303,YCL016C,DCC1,,dma473,Cdc11_R1_Plate02,15,10,1381,39,MA-single
3972311,YCL016C,DCC1,,dma473,Cdc11_R1_Plate02,15,10,1381,49,MA-single
3972318,YCL016C,DCC1,,dma473,Cdc11_R1_Plate02,15,10,1381,56,MA-single
3972329,YCL016C,DCC1,,dma473,Cdc11_R1_Plate02,15,10,1382,8,MA-single
3972422,YCL016C,DCC1,,dma473,Cdc11_R1_Plate02,15,10,1383,63,G1 phase
3972430,YCL016C,DCC1,,dma473,Cdc11_R1_Plate02,15,10,1384,8,G1 phase
3972443,YCL016C,DCC1,,dma473,Cdc11_R1_Plate02,15,10,1384,22,MA-single
3978333,YCR044C,PER1,per1-supp1,dma575,Cdc11_R1_Plate02,15,21,1428,116,G1 phase
3978344,YCR044C,PER1,per1-supp1,dma575,Cdc11_R1_Plate02,15,21,1428,128,MA-single
3986349,YCL061C,MRC1,,dma522,Cdc11_R1_Plate02,7,11,620,11,G1 phase
3986379,YCL061C,MRC1,,dma522,Cdc11_R1_Plate02,7,11,620,41,MA-single
3986866,YCL060C,,,dma523,Cdc11_R1_Plate02,7,13,626,37,G1 phase
3986881,YCL060C,,,dma523,Cdc11_R1_Plate02,7,13,626,52,G1 phase
