"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
61075151,"YCR071C","IMG2","","dma581","Om45_R1_Plate02",2,10,135,9,"G1 phase"
61080267,"YDL104C","QRI7","","dma689","Om45_R1_Plate02",4,9,322,2,"MA-single"
61090655,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1432,12,"G1 phase"
61090659,"YCL009C","ILV6","","dma479","Om45_R1_Plate02",15,22,1432,17,"G1 phase"
61097095,"YCR028C-A","RIM1","","dma561","Om45_R1_Plate02",13,17,1218,17,"G1 phase"
61124467,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,113,33,"G1 phase"
61124519,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,115,46,"G1 phase"
61124536,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,8,"MA-single"
61124576,"YDR315C","IPK1","","dma1059","Om45_R1_Plate03",2,5,116,48,"G1 phase"
61125941,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,138,4,"G1 phase"
61125992,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,23,"G1 phase"
61126043,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,139,75,"S/G2 phase"
61126183,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,79,"G1 phase"
61126218,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,118,"G1 phase"
61126237,"YDR312W","SSF2","","dma1062","Om45_R1_Plate03",2,11,140,138,"MA-single"
61126274,"YDR186C","","","dma966","Om45_R1_Plate03",2,12,144,12,"G1 phase"
61126290,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,146,5,"G1 phase"
61126324,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,147,28,"G1 phase"
61126411,"YDR310C","SUM1","","dma1063","Om45_R1_Plate03",2,13,148,33,"MA-single"
61145972,"YDR375C","BCS1","","dma1115","Om45_R1_Plate03",10,21,937,25,"G1 phase"
61147634,"YDR207C","UME6","","dma979","Om45_R1_Plate03",4,14,340,9,"G1 phase"
61157121,"YDR199W","","","dma961","Om45_R1_Plate03",2,2,102,4,"MA-single"
61161114,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,24,"G1 phase"
61161155,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,65,"G1 phase"
61161328,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,240,"G1 phase"
61161336,"YDR345C","HXT3","","dma1088","Om45_R1_Plate03",6,15,531,248,"G1 phase"
61162868,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1106,5,"MA-single"
61162878,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1106,15,"G1 phase"
61162888,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1107,11,"G1 phase"
61162909,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1107,33,"MA-single"
61162956,"YDR393W","SHE9","","dma1124","Om45_R1_Plate03",12,15,1108,34,"G1 phase"
