"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Predictions"
129554212,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,545,5,"G1 phase"
129554231,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,5,"G1 phase"
129554236,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,10,"MA-single"
129554238,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,12,"MA-single"
129554241,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,547,15,"MA-single"
129554253,"YDL117W","CYK3","","dma705","Sec21_R1_Plate02",6,17,548,12,"S/G2 phase"
129567971,"YCL032W","STE50","","dma498","Sec21_R1_Plate02",3,11,236,16,"S/G2 phase"
129585905,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1253,9,"T phase"
129585910,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1253,14,"S/G2 phase"
129585911,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1253,15,"MA phase"
129585914,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1253,18,"G1 phase"
129585920,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1254,5,"G1 phase"
129585934,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1255,9,"G1 phase"
129585935,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1255,10,"T phase"
129585941,"YDL077C","VAM6","","dma649","Sec21_R1_Plate02",14,2,1256,8,"T phase"
129608285,"YDR162C","NBP2","","dma958","Sec21_R1_Plate03",15,19,1419,7,"G1 phase"
129608648,"YDR159W","SAC3","","dma960","Sec21_R1_Plate03",15,23,1433,7,"S/G2 phase"
129608653,"YDR159W","SAC3","","dma960","Sec21_R1_Plate03",15,23,1433,12,"G1 phase"
129608670,"YDR159W","SAC3","","dma960","Sec21_R1_Plate03",15,23,1436,3,"T phase"
129608674,"YDR159W","SAC3","","dma960","Sec21_R1_Plate03",15,23,1436,8,"S/G2 phase"
129608677,"YDR159W","SAC3","","dma960","Sec21_R1_Plate03",15,23,1436,11,"S/G2 phase"
129619251,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,705,2,"G1 phase"
129619254,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,705,5,"G1 phase"
129619256,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,705,7,"G1 phase"
129619265,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,705,16,"G1 phase"
129619279,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,708,4,"MA phase"
129619285,"YDR369C","XRS2","","dma1097","Sec21_R1_Plate03",8,9,708,10,"G1 phase"
129620905,"YDR186C","","","dma966","Sec21_R1_Plate03",2,12,141,7,"G1 phase"
129620928,"YDR186C","","","dma966","Sec21_R1_Plate03",2,12,144,13,"G1 phase"
129620929,"YDR186C","","","dma966","Sec21_R1_Plate03",2,12,144,15,"G1 phase"
129620933,"YDR186C","","","dma966","Sec21_R1_Plate03",2,12,144,19,"G1 phase"
129624231,"YDR414C","ERD1","","dma1135","Sec21_R1_Plate03",14,13,1298,6,"G1 phase"
129635530,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,561,13,"S/G2 phase"
129635605,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,563,32,"S/G2 phase"
129635632,"YER178W","PDA1","","dma1475","Sec21_R1_Plate04",6,21,564,23,"G1 phase"
129648369,"YDR455C","","","dma1179","Sec21_R1_Plate04",5,6,405,3,"G1 phase"
129648370,"YDR455C","","","dma1179","Sec21_R1_Plate04",5,6,405,4,"G1 phase"
129648371,"YDR455C","","","dma1179","Sec21_R1_Plate04",5,6,405,5,"G1 phase"
129648374,"YDR455C","","","dma1179","Sec21_R1_Plate04",5,6,405,8,"MA-single"
