ORF,Name,Allele,Strain ID,Cluster_normal-3
YBR231C,SWC5,,dma400,0.6805555555555556
YNL013C,,,dma3929,0.6691729323308271
YBL003C,HTA2,,dma93,0.660377358490566
YLR357W,RSC2,,dma3387,0.6542056074766355
YJR084W,,,dma2655,0.6533333333333333
YBL094C,,,dma158,0.6483516483516484
YNL215W,IES2,,dma4082,0.6470588235294118
YKL112W,ABF1,abf1-103,tsa335-37C,0.6458333333333334
YAR029W,,,dma82,0.6419753086419753
YBL025W,RRN10,,dma115,0.6212121212121212
YGR270W,YTA7,,dma2009,0.6111111111111112
YNL302C,RPS19B,,dma4176,0.6060606060606061
YGR097W,ASK10,,dma1870,0.6052631578947368
YBR160W,CDC28,cdc28-1,tsa174-37C,0.5988023952095808
YJL088W,ARG3,,dma2486,0.5982905982905983
YGL127C,SOH1,,dma1671,0.5952380952380952
YER055C,HIS1,,dma1347,0.5902439024390244
YIL116W,HIS5,,dma2360,0.5789473684210527
YGL130W,CEG1,ceg1-c354,tsa124-37C,0.5789473684210527
YOR141C,ARP8,,dma4550,0.5773195876288659
YLR448W,RPL6B,,dma3499,0.5733333333333334
YBR160W,CDC28,cdc28-13,tsa175-37C,0.5707547169811321
YBR160W,CDC28,cdc28-4,tsa150-37C,0.5641025641025641
YJR120W,,,dma2721,0.5574712643678161
YOR244W,ESA1,esa1-1851,tsa565-37C,0.5573770491803278
YHL033C,RPL8A,,dma2075,0.5547445255474452
YNL106C,INP52,,dma4013,0.5538461538461539
YGL212W,VAM7,,dma1732,0.5507246376811594
YBR106W,PHO88,,dma274,0.5487804878048781
YMR116C,ASC1,,dma3698,0.5405405405405406
YPL022W,RAD1,,dma4782,0.532258064516129
YDR258C,HSP78,,dma1014,0.5263157894736842
YLR184W,,,dma3264,0.5217391304347826
YOR257W,CDC31,cdc31-5,tsa152-37C,0.5161290322580645
YDR235W,PRP42,prp42-5001,tsa1085-37C,0.5076923076923077
YNR010W,CSE2,,dma4207,0.5066666666666667
YDL014W,NOP1,nop1-2,tsa803-37C,0.5
YKL212W,SAC1,,dma2911,0.5
YOR181W,LAS17,las17-13,tsa924-37C,0.5
YFR025C,HIS2,,dma1568,0.4943820224719101
YLR451W,LEU3,,dma3496,0.4942528735632184
YGL154C,LYS5,lys5,tsa65-37C,0.4925373134328358
YDL215C,GDH2,,dma794,0.4925373134328358
YJR077C,MIR1,,dma2661,0.49230769230769234
YGL154C,LYS5,lys5,tsa238-37C,0.4897959183673469
YLL023C,POM33,,dma3041,0.4897119341563786
YBR155W,CNS1,cns1-1,tsa567-37C,0.4868421052631579
YJR078W,BNA2,,dma2660,0.4846153846153846
YOR329C,SCD5,scd5-d338,tsa569-37C,0.48333333333333334
YIL112W,HOS4,,dma2363,0.48
YOR358W,HAP5,,dma4744,0.4791666666666667
YNL085W,MKT1,,dma4006,0.47619047619047616
YBR157C,ICS2,,dma324,0.4716312056737589
YBR258C,SHG1,,dma430,0.46938775510204084
YJR065C,ARP3,arp3-g15c,tsa298-37C,0.46808510638297873
YJL046W,AIM22,,dma2464,0.4642857142857143
YDR335W,MSN5,,dma1070,0.4639175257731959
YGL075C,MPS2,mps2-2,tsa444-37C,0.4639175257731959
YJL188C,BUD19,,dma2578,0.46153846153846156
YMR233W,TRI1,,dma3824,0.4583333333333333
YJR139C,HOM6,,dma2730,0.45454545454545453
YBR135W,CKS1,cks1-38,tsa332-37C,0.45308310991957107
YOR046C,DBP5,dbp5-1,tsa641-37C,0.45108695652173914
YMR201C,RAD14,,dma3798,0.44776119402985076
YER162C,RAD4,,dma1463,0.4430379746835443
YPL124W,SPC29,spc29-20,tsa706-37C,0.43103448275862066
YGL075C,MPS2,mps2-1,tsa443-37C,0.42995169082125606
YIL141W,,,dma2367,0.42073170731707316
YCR081W,SRB8,,dma597,0.4175824175824176
YGR292W,MAL12,,dma5298,0.4166666666666667
YOR312C,RPL20B,,dma4693,0.4166666666666667
YJR065C,ARP3,arp3-d11a,tsa341-37C,0.4117647058823529
YBR010W,HHT1,,dma187,0.4077669902912621
YLR182W,SWI6,,dma3243,0.4074074074074074
YJR065C,ARP3,arp3-h161a,tsa297-37C,0.40298507462686567
YBL093C,ROX3,rox3-182,tsa1015-37C,0.4
YNL324W,,,dma4183,0.39705882352941174
YER111C,SWI4,,dma1394,0.3958333333333333
YCR090C,,,dma611,0.391304347826087
YNL064C,YDJ1,,dma3979,0.3870967741935484
YGL214W,,,dma1730,0.38636363636363635
YAL041W,CDC24,cdc24-11,tsa148-37C,0.3855421686746988
YKL204W,EAP1,,dma2894,0.3829787234042553
YLR310C,CDC25,cdc25-1,tsa23-37C,0.3793103448275862
YJR097W,JJJ3,,dma2668,0.3793103448275862
YAL041W,CDC24,cdc24-5,tsa304-37C,0.37124463519313305
YBR274W,CHK1,,dma439,0.37037037037037035
YFL029C,CAK1,cak1-23,tsa650-37C,0.3700440528634361
YCL024W,KCC4,,dma470,0.3684210526315789
YGL023C,PIB2,,dma1597,0.36764705882352944
YJL149W,DAS1,,dma2539,0.36470588235294116
YOR083W,WHI5,,dma4490,0.36363636363636365
YCL037C,SRO9,,dma516,0.36363636363636365
YNL102W,POL1,pol1-17,tsa345-37C,0.3620689655172414
YJL160C,PIR5,,dma2552,0.3559322033898305
YGL136C,MRM2,,dma1690,0.3448275862068966
YOR014W,RTS1,,dma4431,0.34375
YMR308C,PSE1,pse1-34,tsa682-37C,0.336283185840708
YJL168C,SET2,,dma2546,0.3333333333333333
YIL126W,STH1,sth1-2,tsa507-37C,0.3333333333333333
YFL039C,ACT1,act1-133,tsa141-37C,0.3333333333333333
YNL216W,RAP1,rap1-2,tsa559-37C,0.32575757575757575
YJL019W,MPS3,mps3-1,tsa437-37C,0.3229166666666667
YBL016W,FUS3,,dma120,0.3217391304347826
YJL071W,ARG2,,dma2492,0.3191489361702128
YLR318W,EST2,,dma3371,0.3142857142857143
YOR329C,SCD5,scd5-pp1d2,tsa570-37C,0.3076923076923077
YGL154C,LYS5,,dma1700,0.2971014492753623
YJR076C,CDC11,cdc11-5,tsa84-37C,0.2898550724637681
YNL325C,FIG4,,dma4182,0.2894736842105263
YLR298C,YHC1,yhc1-7,tsa647-37C,0.28888888888888886
YBR160W,CDC28,cdc28-td,tsa62-37C,0.2857142857142857
YNL006W,LST8,lst8-6,tsa466-37C,0.2830188679245283
YKL077W,,,dma2817,0.28205128205128205
YAL041W,CDC24,cdc24-h,tsa42-37C,0.28100470957613816
YML063W,RPS1B,,dma3588,0.27906976744186046
YGL195W,GCN1,,dma1722,0.27906976744186046
YKR007W,MEH1,,dma2921,0.27450980392156865
YAL041W,CDC24,cdc24-4,tsa149-37C,0.26941747572815533
YJR070C,LIA1,,dma2642,0.2692307692307692
YLR249W,YEF3,yef3-f650s,tsa584-37C,0.26490066225165565
YOR113W,AZF1,,dma4548,0.25862068965517243
YLR420W,URA4,,dma3476,0.2571428571428571
YAL041W,CDC24,cdc24-2,tsa410-37C,0.2549019607843137
YER092W,IES5,,dma1381,0.25
YER155C,BEM2,,dma1444,0.25
YGL073W,HSF1,hsf1-848,tsa423-37C,0.25
YLR412W,BER1,,dma3436,0.25
YER167W,BCK2,,dma1459,0.24545454545454545
YBR194W,AIM4,,dma341,0.24489795918367346
YDR149C,,,dma947,0.24285714285714285
YER069W,"ARG5,6",,dma1377,0.24107142857142858
YGR246C,BRF1,brf1-w107r,tsa478-37C,0.24074074074074073
YDL081C,RPP1A,rpp1a-supp1,dma681,0.23958333333333334
YOR071C,NRT1,,dma4498,0.23809523809523808
YKL176C,LST4,,dma2888,0.23404255319148937
YDL077C,VAM6,,dma649,0.23076923076923078
YDR162C,NBP2,,dma958,0.22916666666666666
YLR229C,CDC42,cdc42-1,tsa26-37C,0.22566371681415928
YLL003W,SFI1,sfi1-7,tsa459-37C,0.2248062015503876
YDR208W,MSS4,mss4-102,tsa903-37C,0.22448979591836735
YLR386W,VAC14,,dma3411,0.22448979591836735
YOR327C,SNC2,,dma4718,0.22
YDR383C,NKP1,,dma1110,0.21951219512195122
YJL187C,SWE1,,dma2579,0.21818181818181817
YKR027W,BCH2,,dma2950,0.21739130434782608
YDR133C,,,dma934,0.21311475409836064
YKL149C,DBR1,,dma2861,0.20987654320987653
YAL041W,CDC24,cdc24-3,tsa412-37C,0.20580474934036938
YLR371W,ROM2,rom2-supp1,dma3399,0.2054794520547945
YOR326W,MYO2,myo2-16,tsa337-37C,0.20402298850574713
YKL113C,RAD27,,dma2839,0.2
YNL006W,LST8,lst8-15,tsa467-37C,0.1986754966887417
YER048C,CAJ1,,dma1353,0.19858156028368795
YBR146W,MRPS9,,dma308,0.19791666666666666
YNL216W,RAP1,rap1-1,tsa558-37C,0.19696969696969696
YGL007W,BRP1,,dma1585,0.19642857142857142
YKL110C,KTI12,,dma2840,0.19444444444444445
YDL074C,BRE1,,dma651,0.19298245614035087
YIL147C,SLN1,sln1-ts4,tsa1001-37C,0.1925925925925926
YDL132W,CDC53,cdc53-1,tsa974-37C,0.19117647058823528
YCL060C,,,dma523,0.18867924528301888
YLR310C,CDC25,cdc25-2-supp1,tsa29-37C,0.1872146118721461
YJR092W,BUD4,,dma2673,0.18620689655172415
YOL090W,MSH2,,dma4377,0.18333333333333332
YLR088W,GAA1,gaa1-ts,tsa207-37C,0.18181818181818182
YML107C,PML39,,dma3609,0.18181818181818182
YLR459W,GAB1,gab1-3,tsa202-37C,0.18181818181818182
YDR245W,MNN10,mnn10-supp1,dma1003,0.17857142857142858
YDL232W,OST4,ost4-supp2,dma805,0.17647058823529413
YPL144W,POC4,,dma4881,0.1761006289308176
YDR310C,SUM1,,dma1063,0.17475728155339806
YPL115C,BEM3,,dma4853,0.17391304347826086
