ORF,Name,Allele,Strain ID,Cluster_normal-6
YER155C,BEM2,,dma1444,0.5714285714285714
YBR160W,CDC28,cdc28-4,tsa150-37C,0.5561797752808989
YBR160W,CDC28,cdc28-1,tsa174-37C,0.5115511551155115
YJR084W,,,dma2655,0.4358974358974359
YOR014W,RTS1,,dma4431,0.38461538461538464
YER069W,"ARG5,6",,dma1377,0.36585365853658536
YBR135W,CKS1,cks1-38,tsa332-37C,0.36503856041131105
YCL014W,BUD3,,dma474,0.3488372093023256
YJR065C,ARP3,arp3-g302y,tsa296-37C,0.3076923076923077
YGL195W,GCN1,,dma1722,0.30434782608695654
YDR335W,MSN5,,dma1070,0.2857142857142857
YBL072C,RPS8A,,dma149,0.28205128205128205
YEL033W,MTC7,mtc7-supp1,dma1296,0.2765957446808511
YNL324W,,,dma4183,0.275
YHR158C,KEL1,,dma2186,0.2696629213483146
YFR009W,GCN20,,dma1516,0.25
YPR034W,ARP7,arp7-e411k,tsa930-37C,0.24719101123595505
YOR149C,SMP3,smp3-1,tsa849-37C,0.24
YJR076C,CDC11,cdc11-5,tsa84-37C,0.23684210526315788
YEL007W,MIT1,,dma1267,0.234375
YBR160W,CDC28,cdc28-13,tsa175-37C,0.2289156626506024
YPL266W,DIM1,dim1-2,tsa96-37C,0.22065727699530516
YJR076C,CDC11,cdc11-3,tsa83-37C,0.2147239263803681
YBR114W,RAD16,,dma269,0.2127659574468085
YFL039C,ACT1,act1-129,tsa223-37C,0.20987654320987653
YGR098C,ESP1,esp1-1,tsa978-37C,0.20909090909090908
YCR033W,SNT1,,dma557,0.20833333333333334
YER111C,SWI4,,dma1394,0.20652173913043478
YLL031C,GPI13,gpi13-5,tsa197-37C,0.20588235294117646
YOR336W,KRE5,kre5-ts2,tsa139-37C,0.2
YBL034C,STU1,stu1-12,tsa822-37C,0.2
YDL074C,BRE1,,dma651,0.1978021978021978
YEL034W,HYP2,hyp2-1,tsa736-37C,0.19576719576719576
YDR054C,CDC34,cdc34-2,tsa308-37C,0.19455252918287938
YDR394W,RPT3,rpt3-1,tsa785-37C,0.19230769230769232
YGR264C,MES1,mes1-1,tsa35-37C,0.19101123595505617
YFL039C,ACT1,act1-133,tsa141-37C,0.18181818181818182
YER125W,RSP5,rsp5-3,tsa465-37C,0.18085106382978725
YJR076C,CDC11,cdc11-4,tsa126-37C,0.18018018018018017
YDR113C,PDS1,pds1-128,tsa862-37C,0.17894736842105263
