ORF,Name,Allele,Strain ID,Cluster_normal-5
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,0.5652173913043478
YPL190C,NAB3,nab3-11,tsa861-37C,0.5217391304347826
YNL163C,RIA1,ria1-ts,tsa1055-37C,0.46511627906976744
YDR182W,CDC1,cdc1-1,tsa31-37C,0.43478260869565216
YGL065C,ALG2,alg2-1,tsa461-37C,0.41964285714285715
YBR236C,ABD1,abd1-5,tsa75-37C,0.3418803418803419
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,0.3310810810810811
YLL050C,COF1,cof1-8,tsa248-37C,0.31746031746031744
YFL039C,ACT1,act1-159,tsa910-37C,0.31746031746031744
YML069W,POB3,pob3-7,tsa629-37C,0.3146853146853147
YAL041W,CDC24,cdc24-1,tsa408-37C,0.29411764705882354
YLR086W,SMC4,smc4-1,tsa264-37C,0.2807017543859649
YIL048W,NEO1,neo1-2,tsa188-37C,0.275
YFL039C,ACT1,act1-105,tsa909-37C,0.2711864406779661
YDL145C,COP1,cop1-1,tsa704-37C,0.2692307692307692
YAL041W,CDC24,cdc24-11,tsa148-37C,0.2692307692307692
YGR172C,YIP1,yip1-4,tsa980-37C,0.2682926829268293
YML023C,NSE5,nse5-ts1,tsa1004-37C,0.2679425837320574
YKL145W,RPT1,rpt1-1,tsa190-37C,0.26785714285714285
YHR052W,CIC1,cic1-2,tsa713-37C,0.26490066225165565
YGL137W,SEC27,sec27-1,tsa546-37C,0.2647058823529412
YOR204W,DED1,ded1-95,tsa561-37C,0.26277372262773724
YDR228C,PCF11,pcf11-ts2,tsa686-37C,0.2619047619047619
YIL046W,MET30,met30-6,tsa948-37C,0.26174496644295303
YGL145W,TIP20,tip20-5,tsa271-37C,0.2595419847328244
YOR020C,HSP10,hsp10-ts,tsa681-37C,0.25925925925925924
YAL041W,CDC24,cdc24-4,tsa149-37C,0.2583170254403131
YMR028W,TAP42,tap42-11,tsa697-37C,0.25415676959619954
YDR182W,CDC1,cdc1-6,tsa414-37C,0.25333333333333335
YDR182W,CDC1,cdc1-4,tsa807-37C,0.25
YMR227C,TAF7,taf7-ts1,tsa638-37C,0.2483221476510067
YLR208W,SEC13,sec13-1,tsa52-37C,0.24390243902439024
YAL041W,CDC24,cdc24-5,tsa304-37C,0.24216524216524216
YDL140C,RPO21,rpo21-1,tsa804-37C,0.2413793103448276
YMR197C,VTI1,vti1-2,tsa634-37C,0.24
YKR068C,BET3,bet3-5001,tsa1090-37C,0.23985239852398524
YER147C,SCC4,scc4-4,tsa69-37C,0.2395543175487465
YGR274C,TAF1,taf1-1,tsa524-37C,0.23931623931623933
YGL097W,SRM1,srm1-g282s,tsa261-37C,0.238562091503268
YLR459W,GAB1,gab1-2,tsa201-37C,0.23809523809523808
YFL039C,ACT1,act1-119,tsa215-37C,0.23636363636363636
YLR268W,SEC22,sec22-3,tsa121-37C,0.2361111111111111
YDR364C,CDC40,cdc40-ts,tsa18-37C,0.234375
YHR024C,MAS2,mas2-10,tsa526-37C,0.23369565217391305
YIL109C,SEC24,sec24-20,tsa456-37C,0.23308270676691728
YHR191C,CTF8,ctf8-9,tsa323-37C,0.23300970873786409
YNL272C,SEC2,sec2-41,tsa56-37C,0.2328767123287671
YGL044C,RNA15,rna15-58,tsa652-37C,0.23224043715846995
YPL082C,MOT1,mot1-1033,tsa363-37C,0.23134328358208955
YJL125C,GCD14,gcd14-4,tsa620-37C,0.23076923076923078
YNR043W,MVD1,mvd1-1296,tsa828-37C,0.23053892215568864
YBR198C,TAF5,taf5-15,tsa512-37C,0.22772277227722773
YLR298C,YHC1,yhc1-3,tsa840-37C,0.22772277227722773
YIL118W,RHO3,rho3-1,tsa654-37C,0.22699386503067484
YOR204W,DED1,ded1-199,tsa557-37C,0.226775956284153
YPL093W,NOG1,nog1-1,tsa329-37C,0.2222222222222222
YAL041W,CDC24,cdc24-2,tsa410-37C,0.22043010752688172
YDR212W,TCP1,tcp1-2,tsa448-37C,0.22
YAL041W,CDC24,cdc24-3,tsa412-37C,0.21726190476190477
YNR026C,SEC12,sec12-1,tsa305-37C,0.2155688622754491
YLL003W,SFI1,sfi1-7,tsa459-37C,0.21518987341772153
YHR191C,CTF8,ctf8-162,tsa322-37C,0.21428571428571427
YNL287W,SEC21,sec21-1,tsa46-37C,0.21367521367521367
YFL034C-B,MOB2,mob2-8,tsa616-37C,0.21212121212121213
YPR181C,SEC23,sec23-1,tsa900-37C,0.21123595505617979
YDR060W,MAK21,mak21-3,tsa250-37C,0.208955223880597
YDR238C,SEC26,sec26-11d26,tsa722-37C,0.20798319327731093
YEL034W,HYP2,hyp2-2,tsa750-37C,0.2073170731707317
YGL055W,OLE1,ole1-m2,tsa506-37C,0.20689655172413793
YNL061W,NOP2,nop2-5,tsa626-37C,0.20689655172413793
YML023C,NSE5,nse5-ts4,tsa1007-37C,0.20512820512820512
YDR228C,PCF11,pcf11-2,tsa685-37C,0.20393120393120392
YDR189W,SLY1,sly1-ts,tsa251-37C,0.20279720279720279
YLR298C,YHC1,yhc1-6,tsa842-37C,0.20270270270270271
YDR238C,SEC26,sec26-f856aw860a,tsa721-37C,0.2020460358056266
YER093C,TSC11,tsc11-7,tsa659-37C,0.20105820105820105
YGL093W,SPC105,spc105-15,tsa446-37C,0.20093457943925233
YML069W,POB3,pob3-q308k,tsa847-37C,0.2
YGL130W,CEG1,ceg1-3,tsa94-37C,0.2
YPL252C,YAH1,yah1-ts,tsa428-37C,0.19858156028368795
YLR066W,SPC3,spc3-4,tsa623-37C,0.19810040705563092
YDR021W,FAL1,fal1-1,tsa728-37C,0.1975806451612903
YFL005W,SEC4,sec4-8,tsa307-37C,0.19678714859437751
YDL043C,PRP11,prp11-ts,tsa369-37C,0.19469026548672566
YDR498C,SEC20,sec20-1,tsa55-37C,0.1946564885496183
YDR170C,SEC7,sec7-1,tsa44-37C,0.19437340153452684
YLR310C,CDC25,cdc25-2-supp1,tsa29-37C,0.19349005424954793
