ORF,Name,Allele,Strain ID,Cluster_normal-5
YBL105C,PKC1,pkc1-ts,tsa535-37C,0.4489795918367347
YKL196C,YKT6,ykt6-5001,tsa1089-37C,0.4243243243243243
YBL105C,PKC1,pkc1-1,tsa537-37C,0.41237113402061853
YDR062W,LCB2,lcb2-19,tsa587-37C,0.41109530583214793
YLR440C,SEC39,sec39-1,tsa725-37C,0.39331619537275064
YBL105C,PKC1,pkc1-2,tsa538-37C,0.3902439024390244
YPL190C,NAB3,nab3-11,tsa861-37C,0.37037037037037035
YNR026C,SEC12,sec12-4,tsa60-37C,0.36437908496732024
YBL105C,PKC1,pkc1-4,tsa539-37C,0.3626943005181347
YGL145W,TIP20,tip20-5,tsa271-37C,0.34934497816593885
YKR068C,BET3,bet3-5001,tsa1090-37C,0.348
YDL140C,RPO21,rpo21-1,tsa804-37C,0.34615384615384615
YDL145C,COP1,cop1-1,tsa704-37C,0.3446601941747573
YNL138W,SRV2,srv2-ts,tsa675-37C,0.34285714285714286
YBL105C,PKC1,pkc1-3,tsa541-37C,0.33695652173913043
YPR181C,SEC23,sec23-1,tsa900-37C,0.3355263157894737
YFL005W,SEC4,sec4-8,tsa307-37C,0.33081285444234404
YBR058C-A,TSC3,tsc3-2,tsa571-37C,0.32592592592592595
YNL287W,SEC21,sec21-1,tsa46-37C,0.3258426966292135
YDR189W,SLY1,sly1-ts,tsa251-37C,0.3248175182481752
YFL038C,YPT1,ypt1-3,tsa591-37C,0.32
YDR238C,SEC26,sec26-f856aw860a,tsa721-37C,0.3161094224924012
YIL004C,BET1,bet1-1,tsa792-37C,0.3160493827160494
YDR238C,SEC26,sec26-11d26,tsa722-37C,0.31058823529411766
YBL050W,SEC17,sec17-1,tsa45-37C,0.3013392857142857
YFR051C,RET2,ret2-1,tsa823-37C,0.30078125
YDR062W,LCB2,lcb2-16,tsa585-37C,0.2934131736526946
YDR208W,MSS4,mss4-102,tsa903-37C,0.2931726907630522
YPR055W,SEC8,sec8-6,tsa364-37C,0.29102167182662536
YPL085W,SEC16,sec16-2,tsa119-37C,0.29015544041450775
YDL195W,SEC31,sec31-1,tsa852-37C,0.2874015748031496
YFL045C,SEC53,sec53-6,tsa48-37C,0.28702851885924563
YPL082C,MOT1,mot1-1033,tsa363-37C,0.2810810810810811
YDR062W,LCB2,lcb2-2,tsa575-37C,0.2809917355371901
YGR158C,MTR3,mtr3-ts,tsa614-37C,0.2803738317757009
YBR070C,ALG14,alg14-5001,tsa1061-37C,0.2777777777777778
YGR009C,SEC9,sec9-4,tsa57-37C,0.2744755244755245
YDL030W,PRP9,prp9-ts,tsa361-37C,0.2714285714285714
YLR268W,SEC22,sec22-3,tsa121-37C,0.2698412698412698
YGL233W,SEC15,sec15-1,tsa40-37C,0.26666666666666666
YDR166C,SEC5,sec5-24,tsa51-37C,0.26600441501103755
YOR361C,PRT1,prt1-1,tsa27-37C,0.2658536585365854
YER136W,GDI1,gdi1-1,tsa64-37C,0.2654639175257732
YFL039C,ACT1,act1-111,tsa214-37C,0.2641509433962264
YGL055W,OLE1,ole1-m2,tsa506-37C,0.2631578947368421
YLR005W,SSL1,ssl1-t242i,tsa752-37C,0.2616822429906542
YGL137W,SEC27,sec27-1,tsa546-37C,0.25507246376811593
YLR440C,SEC39,sec39-2,tsa726-37C,0.25449101796407186
YIL068C,SEC6,sec6-4,tsa38-37C,0.25391849529780564
YGR120C,COG2,cog2-1,tsa187-37C,0.24678111587982832
YDR498C,SEC20,sec20-1,tsa55-37C,0.24651162790697675
YBR080C,SEC18,sec18-1,tsa54-37C,0.24606580829756797
YJR065C,ARP3,arp3-d11a,tsa341-37C,0.24561403508771928
YGR274C,TAF1,taf1-2,tsa525-37C,0.24369747899159663
YER093C,TSC11,tsc11-7,tsa659-37C,0.24331550802139038
YDR182W,CDC1,cdc1-6,tsa414-37C,0.24242424242424243
YDL058W,USO1,uso1-1,tsa441-37C,0.2417910447761194
YPR055W,SEC8,sec8-9,tsa122-37C,0.2392857142857143
YKR062W,TFA2,tfa2-45,tsa692-37C,0.2392638036809816
YIL109C,SEC24,sec24-20,tsa456-37C,0.23529411764705882
YIL109C,SEC24,sec24-2,tsa189-37C,0.23197492163009403
YLR305C,STT4,stt4-4,tsa123-37C,0.2233502538071066
YDR062W,LCB2,lcb2-1,tsa586-37C,0.2222222222222222
YDR170C,SEC7,sec7-1,tsa44-37C,0.21976592977893367
YDR164C,SEC1,sec1-1,tsa36-37C,0.21729957805907174
YBR198C,TAF5,taf5-20,tsa513-37C,0.21693121693121692
YDR437W,GPI19,gpi19-2xh,tsa1012-37C,0.21645021645021645
YMR298W,LIP1,lip1-5001,tsa1059-37C,0.21518987341772153
YML114C,TAF8,taf8-7,tsa695-37C,0.21339950372208435
YML069W,POB3,pob3-7,tsa629-37C,0.21153846153846154
YIL147C,SLN1,sln1-ts4,tsa1001-37C,0.20967741935483872
YOR075W,UFE1,ufe1-1,tsa212-37C,0.20654911838790932
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,0.2037037037037037
YLL031C,GPI13,gpi13-3-supp1,tsa196-37C,0.20346320346320346
YLR166C,SEC10,sec10-2,tsa63-37C,0.20228384991843393
YLR268W,SEC22,sec22-1,tsa313-37C,0.20175438596491227
YKL024C,URA6,ura6-6,tsa1034-37C,0.2
YMR236W,TAF9,taf9-ts2,tsa730-37C,0.19138755980861244
YCL052C,PBN1,pbn1-5001,tsa1069-37C,0.19047619047619047
YNR026C,SEC12,sec12-1,tsa305-37C,0.18996415770609318
YJL091C,GWT1,gwt1-20,tsa655-37C,0.1875
YBR102C,EXO84,exo84-102,tsa24-37C,0.1875
YLR116W,MSL5,msl5-9,tsa855-37C,0.18292682926829268
YBR198C,TAF5,taf5-15,tsa512-37C,0.1782178217821782
YIR006C,PAN1,pan1-4,tsa353-37C,0.17721518987341772
YPR168W,NUT2,nut2-ts,tsa818-37C,0.17525773195876287
YOR020C,HSP10,hsp10-ts,tsa681-37C,0.16666666666666666
YJL085W,EXO70,exo70-29/37,tsa856-37C,0.16613418530351437
YDR145W,TAF12,taf12-9,tsa514-37C,0.15901060070671377
YLR195C,NMT1,nmt1-181,tsa690-37C,0.15894039735099338
YDR208W,MSS4,mss4-103,tsa129-37C,0.15789473684210525
YML098W,TAF13,taf13-2,tsa636-37C,0.15401785714285715
YDR145W,TAF12,taf12-l446a,tsa806-37C,0.15384615384615385
YHR024C,MAS2,mas2-10,tsa526-37C,0.15172413793103448
YGL097W,SRM1,srm1-ts,tsa955-37C,0.15161290322580645
YFL034C-B,MOB2,mob2-26-supp1,tsa787-37C,0.15053763440860216
YIL118W,RHO3,rho3-1,tsa654-37C,0.14782608695652175
YNR011C,PRP2,prp2-1,tsa338-37C,0.1452513966480447
YOL135C,MED7,med7-163,tsa739-37C,0.14388489208633093
YMR227C,TAF7,taf7-ts1,tsa638-37C,0.14285714285714285
YMR197C,VTI1,vti1-2,tsa634-37C,0.14150943396226415
YML023C,NSE5,nse5-ts4,tsa1007-37C,0.14130434782608695
YDR212W,TCP1,tcp1-2,tsa448-37C,0.13924050632911392
YJL085W,EXO70,exo70-38,tsa848-37C,0.1391304347826087
YJR076C,CDC11,cdc11-2,tsa82-37C,0.13861386138613863
YER093C,TSC11,tsc11-1,tsa658-37C,0.13740458015267176
YDR145W,TAF12,taf12-ts23,tsa518-37C,0.13592233009708737
YER157W,COG3,cog3-1,tsa41-37C,0.13541666666666666
YFL039C,ACT1,act1-122,tsa219-37C,0.13533834586466165
YFL039C,ACT1,act1-155,tsa220-37C,0.1353135313531353
YER147C,SCC4,scc4-4,tsa69-37C,0.13471502590673576
YLR208W,SEC13,sec13-1,tsa52-37C,0.13333333333333333
YPR183W,DPM1,dpm1-6,tsa330-37C,0.13279132791327913
