ORF,Name,Allele,Strain ID,Cluster_normal-7
YER151C,UBP3,,dma1447,0.5576923076923077
YDR148C,KGD2,,dma948,0.5502546234253551
YDR120C,TRM1,,dma923,0.5353488372093024
YGR261C,APL6,,dma2014,0.521824423737126
YDR107C,TMN2,,dma910,0.5165937741188578
YNR031C,SSK2,,dma4237,0.49374090247452695
YOL132W,GAS4,,dma4414,0.4582402858418937
YOR252W,TMA16,,dma4645,0.4258745141588007
YOL101C,IZH4,,dma4370,0.4220063025210084
YDR178W,SDH4,,dma951,0.40169133192389006
YIL137C,TMA108,,dma2371,0.3986095017381228
YLR289W,GUF1,,dma3328,0.39039907460960094
YML012W,ERV25,,dma3523,0.3862433862433862
YIL145C,PAN6,,dma2366,0.38422741861531406
YDR158W,HOM2,,dma938,0.37484737484737485
YLL028W,TPO1,,dma3060,0.373134328358209
YJL178C,ATG27,,dma2562,0.365625
YLR137W,RKM5,,dma3223,0.3628048780487805
YNL173C,MDG1,,dma4063,0.35303867403314915
YNL195C,,,dma4075,0.35132619823173566
YNL212W,VID27,,dma4084,0.3483955468238376
YOL086C,ADH1,,dma5363,0.339924670433145
YNL201C,PSY2,,dma4069,0.33559322033898303
YNL175C,NOP13,,dma4062,0.33263816475495306
YKL157W,APE2,,dma2880,0.326819233736179
YBR294W,SUL1,,dma467,0.32592592592592595
YNL205C,,,dma4088,0.3239917976760082
YOR245C,DGA1,,dma4649,0.32397232397232395
YOR239W,ABP140,,dma4652,0.3215496368038741
YNL214W,PEX17,,dma4083,0.31894736842105265
YJR083C,ACF4,,dma2656,0.3188405797101449
YNL242W,ATG2,,dma4108,0.31575603557814486
YJL151C,SNA3,,dma2537,0.3115519253208868
YOR242C,SSP2,,dma4651,0.30721966205837176
YLR136C,TIS11,,dma3224,0.3023255813953488
YPL103C,FMP30,,dma4841,0.30155210643015523
YNL159C,ASI2,,dma4050,0.29963459196102316
YNR044W,AGA1,,dma5336,0.2901618929016189
YIR002C,MPH1,,dma2389,0.2854785478547855
YJL137C,GLG2,,dma2526,0.28418230563002683
YMR019W,STB4,,dma3648,0.28304597701149425
YLR154C,RNH203,,dma3236,0.28134556574923547
YPL119C,DBP1,,dma4851,0.2719449225473322
YOR228C,MCP1,,dma4638,0.27132777421423987
YPL207W,TYW1,,dma4935,0.2696351267779839
YNL321W,VNX1,,dma4186,0.26914498141263943
YNL230C,ELA1,,dma4095,0.2686781609195402
YHR123W,EPT1,,dma2170,0.2640883977900553
YMR201C,RAD14,,dma3798,0.26394052044609667
YOR263C,,,dma4665,0.2624113475177305
YHR125W,,,dma2168,0.26173096976016685
YOR052C,TMC1,,dma4466,0.26138279932546377
YMR216C,SKY1,,dma3811,0.26066350710900477
YGR023W,MTL1,,dma1811,0.2586705202312139
YDR030C,RAD28,,dma5213,0.2570162481536189
YPR185W,ATG13,,dma5155,0.25194401244167963
YDL027C,MRX9,,dma631,0.2510495382031906
YOL107W,,,dma4388,0.24189814814814814
YOR264W,DSE3,,dma4664,0.23413379073756432
YOR238W,,,dma4653,0.23392857142857143
YOL011W,PLB3,,dma4289,0.23307291666666666
YOR344C,TYE7,,dma4733,0.2236480293308891
YNL231C,PDR16,,dma4094,0.22351233671988388
YHL034C,SBP1,,dma2074,0.22006472491909385
YGR274C,TAF1,taf1-2,tsa525-37C,0.21871476888387825
YOR246C,ENV9,,dma4648,0.21653971708378672
YOR027W,STI1,,dma4442,0.21505376344086022
YKL159C,RCN1,,dma2878,0.2119487908961593
YCR043C,,,dma576,0.211306765523633
YLR361C,DCR2,,dma3408,0.2081967213114754
YGL176C,,,dma1728,0.20809716599190284
YPL224C,MMT2,,dma4947,0.20701168614357263
YOL137W,BSC6,,dma4412,0.19827586206896552
YER023W,PRO3,pro3-5001,tsa1082-37C,0.1875
YNL099C,OCA1,,dma4018,0.18585298196948682
YOR361C,PRT1,prt1-1,tsa27-37C,0.1771479185119575
YBR259W,,,dma429,0.17346938775510204
YPR039W,,,dma5226,0.17302798982188294
YGL097W,SRM1,srm1-g282s,tsa261-37C,0.17117117117117117
YMR186W,HSC82,,dma3788,0.16785714285714284
YBR079C,RPG1,rpg1-5001,tsa1060-37C,0.1643835616438356
YDR145W,TAF12,taf12-w486stop,tsa515-37C,0.162109375
YFR028C,CDC14,cdc14-8,tsa926-37C,0.15431116767419661
YNR003C,RPC34,rpc34-1,tsa640-37C,0.15384615384615385
YDL195W,SEC31,sec31-1,tsa852-37C,0.15009264978381717
YPL090C,RPS6A,,dma4828,0.14696132596685083
YOR058C,ASE1,,dma4486,0.14655172413793102
YOR082C,,,dma4491,0.1431578947368421
YML114C,TAF8,taf8-7,tsa695-37C,0.14021479713603818
YOL117W,RRI2,,dma4401,0.13958810068649885
YPR181C,SEC23,sec23-1,tsa900-37C,0.1380197171024432
YFR028C,CDC14,cdc14-2,tsa416-37C,0.13774733637747336
YPR057W,BRR1,,dma5057,0.1342281879194631
YMR236W,TAF9,taf9-ts2,tsa730-37C,0.1335131490222522
YDR477W,SNF1,snf1-supp1,dma5262,0.13184584178498987
YIL104C,SHQ1,shq1-5001,tsa1100-37C,0.13071895424836602
