ORF,Name,Allele,Strain ID,Cluster_normal-0
YGL116W,CDC20,cdc20-3,tsa368-37C,0.7112970711297071
YLR320W,MMS22,,dma3369,0.7111111111111111
YOR080W,DIA2,,dma4493,0.6470588235294118
YML062C,MFT1,,dma3566,0.6129032258064516
YDL106C,PHO2,,dma688,0.6086956521739131
YGR113W,DAM1,dam1-11,tsa240-37C,0.6082949308755761
YPL124W,SPC29,spc29-3,tsa707-37C,0.5864661654135338
YGR113W,DAM1,dam1-5,tsa242-37C,0.5681818181818182
YDL220C,CDC13,cdc13-1,tsa881-37C,0.5675675675675675
YHR166C,CDC23,cdc23-1,tsa86-37C,0.550561797752809
YGL116W,CDC20,cdc20-2,tsa417-37C,0.5466666666666666
YCL016C,DCC1,,dma473,0.5454545454545454
YGL061C,DUO1,duo1-2,tsa239-37C,0.5454545454545454
YNL171C,,ynl171c-supp1,dma4064,0.5054945054945055
YKL113C,RAD27,,dma2839,0.5
YLR045C,STU2,stu2-11,tsa545-37C,0.4968152866242038
YDR356W,SPC110,spc110-220,tsa301-37C,0.484472049689441
YNL102W,POL1,pol1-2,tsa344-37C,0.4796747967479675
YIL128W,MET18,,dma2354,0.47619047619047616
YJR006W,POL31,hys2-ts,tsa794-37C,0.4666666666666667
YLR212C,TUB4,tub4-y445d,tsa717-37C,0.4645161290322581
YDL102W,POL3,cdc2-2,tsa135-37C,0.4444444444444444
YDR052C,DBF4,dbf4-2,tsa162-37C,0.4383561643835616
YAL034W-A,MTW1,mtw1-ts,tsa235-37C,0.43478260869565216
YEL062W,NPR2,,dma1301,0.43478260869565216
YPR164W,MMS1,,dma5141,0.43119266055045874
YLR045C,STU2,stu2-12,tsa550-37C,0.4252336448598131
YPR135W,CTF4,,dma5136,0.42452830188679247
YLR079W,SIC1,,dma3163,0.4166666666666667
YGL024W,,,dma1619,0.41379310344827586
YLR212C,TUB4,tub4-d,tsa718-37C,0.40789473684210525
YKL089W,MIF2,mif2-3,tsa113-37C,0.4
YNL102W,POL1,pol1-13,tsa346-37C,0.3958333333333333
YKR083C,DAD2,dad2-9,tsa425-37C,0.3953488372093023
YGR179C,OKP1,okp1-5,tsa227-37C,0.3941176470588235
YPR120C,CLB5,,dma5102,0.3888888888888889
YDL008W,APC11,apc11-13,tsa783-37C,0.38823529411764707
YJL074C,SMC3,smc3-42,tsa71-37C,0.38666666666666666
YIR011C,STS1,sts1-5001,tsa1105-37C,0.38613861386138615
YDR159W,SAC3,,dma960,0.3829787234042553
YDR052C,DBF4,dbf4-1,tsa161-37C,0.3826086956521739
YGR113W,DAM1,dam1-1,tsa245-37C,0.38095238095238093
YPL174C,NIP100,,dma4918,0.37735849056603776
YDL162C,,,dma741,0.375
YBL034C,STU1,stu1-5,tsa274-37C,0.37142857142857144
YML031W,NDC1,ndc1-4,tsa176-37C,0.37142857142857144
YDL028C,MPS1,mps1-3796,tsa167-37C,0.36923076923076925
YDL017W,CDC7,cdc7-4,tsa131-37C,0.3626373626373626
YBR109C,CMD1,cmd1-3,tsa155-37C,0.358974358974359
YKL045W,PRI2,pri2-1,tsa19-37C,0.35526315789473684
YDR052C,DBF4,dbf4-ts,tsa95-37C,0.3522727272727273
YHR164C,DNA2,dna2-2,tsa352-37C,0.35
YDR082W,STN1,stn1-13,tsa599-37C,0.3496932515337423
YDR016C,DAD1,dad1-5005,tsa1077-37C,0.34705882352941175
YDL028C,MPS1,mps1-1,tsa166-37C,0.34615384615384615
YKL049C,CSE4,cse4-1,tsa347-37C,0.34375
YMR076C,PDS5,pds5-1,tsa983-37C,0.34285714285714286
YPL255W,BBP1,bbp1-1,tsa691-37C,0.34265734265734266
YDR052C,DBF4,dbf4-4,tsa164-37C,0.3425925925925926
YPR141C,KAR3,,dma5133,0.34177215189873417
YGL097W,SRM1,srm1-g282s,tsa261-37C,0.3389830508474576
YKL052C,ASK1,ask1-3,tsa1002-37C,0.3382352941176471
YLR045C,STU2,stu2-13,tsa555-37C,0.3356164383561644
YBR055C,PRP6,prp6-1,tsa455-37C,0.3346613545816733
YJL115W,ASF1,,dma2518,0.3333333333333333
YIR008C,PRI1,pri1-m4,tsa340-37C,0.3333333333333333
YER018C,SPC25,spc25-1,tsa473-37C,0.3314447592067989
YJR112W,NNF1,nnf1-77,tsa440-37C,0.3299492385786802
YKR037C,SPC34,spc34-7,tsa857-37C,0.328125
YNL262W,POL2,pol2-12,tsa20-37C,0.328125
YLL002W,RTT109,,dma3033,0.32653061224489793
YDR088C,SLU7,slu7-ts1,tsa656-37C,0.32432432432432434
YMR294W,JNM1,,dma3895,0.32142857142857145
YGR098C,ESP1,esp1-1,tsa978-37C,0.32
YBR055C,PRP6,prp6-ts,tsa367-37C,0.31932773109243695
YER116C,SLX8,slx8-supp1,dma1413,0.3132530120481928
YHR036W,BRL1,brl1-2221,tsa1038-37C,0.3114754098360656
YIL150C,MCM10,mcm10-43,tsa458-37C,0.3111111111111111
