ORF,Name,Allele,Strain ID,Cluster_normal-1
YGL116W,CDC20,cdc20-3,tsa368-37C,0.7358490566037735
YGL116W,CDC20,cdc20-2,tsa417-37C,0.49038461538461536
YLR045C,STU2,stu2-13,tsa555-37C,0.45217391304347826
YGL116W,CDC20,cdc20-1,tsa898-37C,0.4418604651162791
YDL102W,POL3,cdc2-1,tsa406-37C,0.43312101910828027
YNL102W,POL1,pol1-2,tsa344-37C,0.4161849710982659
YGL061C,DUO1,duo1-2,tsa239-37C,0.41472868217054265
YLR212C,TUB4,tub4-y445d,tsa717-37C,0.4107142857142857
YNL102W,POL1,pol1-13,tsa346-37C,0.4090909090909091
YLR045C,STU2,stu2-12,tsa550-37C,0.40445859872611467
YPL124W,SPC29,spc29-3,tsa707-37C,0.4
YKR083C,DAD2,dad2-9,tsa425-37C,0.3972602739726027
YGR113W,DAM1,dam1-5,tsa242-37C,0.3941798941798942
YHR166C,CDC23,cdc23-1,tsa86-37C,0.3922413793103448
YKL045W,PRI2,pri2-1,tsa19-37C,0.38079470198675497
YLR045C,STU2,stu2-11,tsa545-37C,0.3735408560311284
YLR212C,TUB4,tub4-d,tsa718-37C,0.3707865168539326
YBR109C,CMD1,cmd1-3,tsa155-37C,0.3469387755102041
YIL150C,MCM10,mcm10-1,tsa110-37C,0.3419354838709677
YPL255W,BBP1,bbp1-1,tsa691-37C,0.33986928104575165
YOL069W,NUF2,nuf2-61,tsa755-37C,0.3391812865497076
YDL220C,CDC13,cdc13-1,tsa881-37C,0.3390804597701149
YOR249C,APC5,apc5-ca-paps,tsa745-37C,0.33601609657947684
YDL102W,POL3,cdc2-2,tsa135-37C,0.33544303797468356
YGR113W,DAM1,dam1-1,tsa245-37C,0.32124352331606215
YLL003W,SFI1,sfi1-3,tsa475-37C,0.3204225352112676
YBL034C,STU1,stu1-5,tsa274-37C,0.3193548387096774
YNL262W,POL2,pol2-12,tsa20-37C,0.31666666666666665
YDR052C,DBF4,dbf4-2,tsa162-37C,0.30660377358490565
YBR211C,AME1,ame1-4,tsa716-37C,0.3005181347150259
YNL102W,POL1,pol1-ts,tsa343-37C,0.297029702970297
YJL194W,CDC6,cdc6-1,tsa32-37C,0.2964071856287425
YFR027W,ECO1,eco1-1,tsa272-37C,0.28851540616246496
YJR068W,RFC2,rfc2-1,tsa342-37C,0.2857142857142857
YER018C,SPC25,spc25-1,tsa473-37C,0.27759197324414714
YDL102W,POL3,cdc2-7,tsa17-37C,0.2732919254658385
YDR052C,DBF4,dbf4-1,tsa161-37C,0.2727272727272727
YLR274W,MCM5,cdc46-1,tsa403-37C,0.271523178807947
YDL164C,CDC9,cdc9-1-supp2,tsa33-37C,0.2703583061889251
YDR082W,STN1,stn1-13,tsa599-37C,0.2702702702702703
YDR088C,SLU7,slu7-ts1,tsa656-37C,0.2698412698412698
YDR052C,DBF4,dbf4-3,tsa163-37C,0.2681992337164751
YLR103C,CDC45,cdc45-27,tsa694-37C,0.26785714285714285
YIR008C,PRI1,pri1-m4,tsa340-37C,0.26666666666666666
YBL034C,STU1,stu1-6,tsa643-37C,0.26625386996904027
YHR164C,DNA2,dna2-2,tsa352-37C,0.26582278481012656
YHR036W,BRL1,brl1-k405i,tsa1043-37C,0.25609756097560976
YDR356W,SPC110,spc110-220,tsa301-37C,0.2550335570469799
YDL017W,CDC7,cdc7-1,tsa880-37C,0.2535211267605634
YDR052C,DBF4,dbf4-4,tsa164-37C,0.2471264367816092
YNL102W,POL1,pol1-1,tsa362-37C,0.24691358024691357
YGR179C,OKP1,okp1-5,tsa227-37C,0.24111675126903553
YOL094C,RFC4,rfc4-20,tsa171-37C,0.24096385542168675
YGR113W,DAM1,dam1-11,tsa240-37C,0.24
YKL042W,SPC42,spc42-10,tsa451-37C,0.23636363636363636
YFR036W,CDC26,cdc26-1,tsa88-37C,0.23404255319148937
YGR140W,CBF2,cbf2-42,tsa76-37C,0.2324561403508772
YDL028C,MPS1,mps1-3796,tsa167-37C,0.2323943661971831
YDR013W,PSF1,psf1-1,tsa583-37C,0.2277992277992278
YJR112W,NNF1,nnf1-77,tsa440-37C,0.22549019607843138
YGR091W,PRP31,prp31-1,tsa472-37C,0.22388059701492538
YBR087W,RFC5,rfc5-1,tsa887-37C,0.2206896551724138
YBL035C,POL12,pol12-ts,tsa365-37C,0.21739130434782608
YBR060C,ORC2,orc2-1,tsa295-37C,0.2161290322580645
YJR006W,POL31,hys2-ts,tsa794-37C,0.2153846153846154
