ORF,Name,Allele,Strain ID,Cluster_normal-9
YPR034W,ARP7,arp7-e411k,tsa930-37C,0.6050955414012739
YLR219W,MSC3,,dma3286,0.5382113821138211
YMR298W,LIP1,lip1-5001,tsa1059-37C,0.3786407766990291
YLL002W,RTT109,,dma3033,0.3333333333333333
YKL048C,ELM1,,dma2781,0.3150684931506849
YPL004C,LSP1,,dma4767,0.31386861313868614
YGL011C,SCL1,scl1-5001,tsa1084-37C,0.3054187192118227
YDR182W,CDC1,cdc1-1,tsa31-37C,0.2903225806451613
YML052W,SUR7,,dma3576,0.2575107296137339
YLR024C,UBR2,,dma3131,0.2512820512820513
YBR086C,IST2,,dma5238,0.24742268041237114
YKL092C,BUD2,,dma2832,0.23255813953488372
YOR020C,HSP10,hsp10-ts,tsa681-37C,0.23076923076923078
YFR051C,RET2,ret2-1,tsa823-37C,0.22608695652173913
YPR051W,MAK3,,dma5061,0.21052631578947367
YJR068W,RFC2,rfc2-1,tsa342-37C,0.20253164556962025
YIL046W,MET30,met30-6,tsa948-37C,0.2
YOR057W,SGT1,sgt1-5,tsa427-37C,0.19619326500732065
YLR249W,YEF3,yef3-f650s,tsa584-37C,0.1951219512195122
YGL065C,ALG2,alg2-1,tsa461-37C,0.18565400843881857
YNL163C,RIA1,ria1-ts,tsa1055-37C,0.18562874251497005
YHR021C,RPS27B,,dma2095,0.1839080459770115
YIL118W,RHO3,rho3-1,tsa654-37C,0.18181818181818182
YOR014W,RTS1,,dma4431,0.18032786885245902
YKR048C,NAP1,,dma2953,0.1792452830188679
YJL005W,CYR1,cdc35-1,tsa354-37C,0.17582961862308075
YCR008W,SAT4,,dma533,0.1728395061728395
YKL032C,IXR1,,dma2770,0.16666666666666666
YDL169C,UGX2,,dma738,0.16535433070866143
YPL169C,MEX67,mex67-ts5,tsa816-37C,0.16455696202531644
YKR042W,UTH1,,dma2959,0.16279069767441862
YPL032C,SVL3,,dma4798,0.16279069767441862
YNR047W,FPK1,,dma4252,0.16
YDR062W,LCB2,lcb2-16,tsa585-37C,0.1565217391304348
YBR087W,RFC5,rfc5-1,tsa887-37C,0.15544041450777202
YKL159C,RCN1,,dma2878,0.15492957746478872
YML023C,NSE5,nse5-ts1,tsa1004-37C,0.15384615384615385
YDL132W,CDC53,cdc53-1,tsa974-37C,0.15263157894736842
YJR065C,ARP3,arp3-d11a,tsa341-37C,0.14942528735632185
YMR061W,RNA14,rna14-5001,tsa1106-37C,0.14627414903403863
YNL287W,SEC21,sec21-1,tsa46-37C,0.14559386973180077
YJL168C,SET2,,dma2546,0.14414414414414414
YNL323W,LEM3,,dma4184,0.14189189189189189
YER074W,RPS24A,,dma1373,0.14136125654450263
YKL107W,,,dma2842,0.14084507042253522
YDL132W,CDC53,cdc53-1,tsa975-37C,0.13636363636363635
YKL110C,KTI12,,dma2840,0.13636363636363635
YOR361C,PRT1,prt1-1,tsa27-37C,0.1336206896551724
YLR150W,STM1,,dma3239,0.13131313131313133
YER003C,PMI40,pmi40-5001,tsa1081-37C,0.1302127659574468
YLR402W,,ylr402w-supp1,dma3443,0.12931034482758622
YJL175W,,,dma2564,0.12903225806451613
YJL205C,NCE101,,dma2602,0.12844036697247707
YDL105W,NSE4,nse4-ts4,tsa993-37C,0.12790697674418605
YPL217C,BMS1,bms1-1,tsa678-37C,0.12359550561797752
YGR009C,SEC9,sec9-4,tsa57-37C,0.1232876712328767
YJR076C,CDC11,cdc11-2,tsa82-37C,0.11904761904761904
YFL039C,ACT1,act1-111,tsa214-37C,0.11864406779661017
YDR466W,PKH3,,dma1197,0.11764705882352941
YER019W,ISC1,isc1-supp2,dma1329,0.11702127659574468
YKL024C,URA6,ura6-6,tsa1034-37C,0.11627906976744186
YJR074W,MOG1,,dma2663,0.11194029850746269
YNL127W,FAR11,,dma4024,0.1111111111111111
YLR305C,STT4,stt4-4,tsa123-37C,0.1111111111111111
YMR296C,LCB1,lcb1-2,tsa603-37C,0.11026615969581749
YKR062W,TFA2,tfa2-45,tsa692-37C,0.10891089108910891
YFR052W,RPN12,rpn12-1,tsa405-37C,0.10526315789473684
YFL001W,DEG1,,dma5289,0.1
YDL176W,,,dma754,0.1
