ORF,Name,Allele,Strain ID,Cluster_normal-5
YJR076C,CDC11,cdc11-5,tsa84-37C,0.5416666666666666
YFL009W,CDC4,cdc4-3,tsa334-37C,0.45664739884393063
YHR107C,CDC12,cdc12-td,tsa50-37C,0.44680851063829785
YKL113C,RAD27,,dma2839,0.4318181818181818
YEL063C,CAN1,,dma1300,0.4
YJR076C,CDC11,cdc11-1,tsa356-37C,0.3958333333333333
YCR002C,CDC10,cdc10-1,tsa78-37C,0.367816091954023
YBR160W,CDC28,cdc28-4,tsa150-37C,0.36585365853658536
YIL084C,SDS3,,dma2337,0.35135135135135137
YBR261C,TAE1,,dma427,0.34831460674157305
YFL009W,CDC4,cdc4-2,tsa415-37C,0.3273809523809524
YIL130W,ASG1,,dma2353,0.32653061224489793
YCR002C,CDC10,cdc10-4,tsa81-37C,0.3208955223880597
YNL068C,FKH2,,dma3974,0.3170731707317073
YJL099W,CHS6,,dma2502,0.3142857142857143
YDR168W,CDC37,cdc37-1,tsa317-37C,0.31363636363636366
YER093C,TSC11,tsc11-5,tsa811-37C,0.3125
YGR237C,,,dma1982,0.3125
YNL323W,LEM3,,dma4184,0.3103448275862069
YCR002C,CDC10,cdc10-2,tsa79-37C,0.30726256983240224
YOR001W,RRP6,rrp6-supp1,dma4421,0.30612244897959184
YMR308C,PSE1,pse1-34,tsa682-37C,0.3050847457627119
YBR160W,CDC28,cdc28-13,tsa175-37C,0.30198019801980197
YIL141W,,,dma2367,0.3014705882352941
YGL084C,GUP1,,dma1668,0.30120481927710846
YGL054C,ERV14,,dma1625,0.2988505747126437
YBR253W,SRB6,srb6-5001,tsa1068-37C,0.2978723404255319
YER048C,CAJ1,,dma1353,0.2948717948717949
YNR003C,RPC34,rpc34-1,tsa640-37C,0.29347826086956524
YDL132W,CDC53,cdc53-1,tsa975-37C,0.2923076923076923
YPL008W,CHL1,,dma4766,0.2916666666666667
YDR168W,CDC37,cdc37-ts,tsa315-37C,0.2868525896414343
YKL212W,SAC1,,dma2911,0.2857142857142857
YIR009W,MSL1,,dma2421,0.28440366972477066
YKR054C,DYN1,,dma2983,0.28205128205128205
YNL298W,CLA4,,dma4157,0.2808988764044944
YLR021W,IRC25,,dma3110,0.28
YLR314C,CDC3,cdc3-3,tsa130-37C,0.2786885245901639
YIR013C,GAT4,,dma2420,0.2755102040816326
YGL195W,GCN1,,dma1722,0.2753623188405797
YDL149W,ATG9,,dma726,0.27419354838709675
