ORF,Name,Allele,Strain ID,Cluster_normal-2
YER090W,TRP2,trp2,tsa646-37C,0.6785714285714286
YER090W,TRP2,trp2,tsa211,0.6410256410256411
YER090W,TRP2,trp2,tsa723-37C,0.6086956521739131
YER090W,TRP2,trp2,tsa646,0.5862068965517241
YMR227C,TAF7,taf7-ts1,tsa638,0.5535714285714286
YER090W,TRP2,trp2,tsa863,0.5454545454545454
YER090W,TRP2,trp2,tsa863-37C,0.5294117647058824
YER090W,TRP2,trp2,tsa134,0.5217391304347826
YGL234W,"ADE5,7","ade5,7",tsa820,0.48484848484848486
YER090W,TRP2,trp2,tsa723,0.4782608695652174
YER145C,FTR1,,dma1450,0.43902439024390244
YER090W,TRP2,trp2,tsa366,0.4246575342465753
YBR024W,SCO2,,dma198,0.38461538461538464
YER090W,TRP2,trp2,tsa134-37C,0.3770491803278688
YOL049W,GSH2,,dma4340,0.36585365853658536
YGL065C,ALG2,alg2-1,tsa461,0.36363636363636365
YMR227C,TAF7,taf7-ts1,tsa638-37C,0.36036036036036034
YER090W,TRP2,trp2,tsa211-37C,0.3508771929824561
YML023C,NSE5,nse5-ts4,tsa1007,0.3333333333333333
YGL234W,"ADE5,7","ade5,7",tsa178,0.3333333333333333
YER090W,TRP2,trp2,tsa1040,0.3146853146853147
YOR236W,DFR1,dfr1-td,tsa884,0.29545454545454547
YIL118W,RHO3,rho3-1,tsa654,0.2786885245901639
YER147C,SCC4,scc4-4,tsa69,0.2777777777777778
YPR066W,UBA3,,dma5071,0.2777777777777778
YGL234W,"ADE5,7","ade5,7",tsa820-37C,0.2761904761904762
YLR056W,ERG3,,dma3153,0.2608695652173913
YIL118W,RHO3,rho3-1,tsa654-37C,0.25824175824175827
YDR182W,CDC1,cdc1-4,tsa807,0.2553191489361702
YIR012W,SQT1,sqt1-201,tsa617,0.2545454545454545
YOL081W,IRA2,,dma4362,0.2535211267605634
YJL081C,ARP4,arp4-g161d,tsa618,0.25
YBR076W,ECM8,,dma247,0.25
YNL267W,PIK1,pik1-104,tsa115-37C,0.24904214559386972
YDL105W,NSE4,nse4-ts4,tsa993,0.24338624338624337
YNL138W,SRV2,srv2-ts,tsa675,0.2391304347826087
YKR020W,VPS51,,dma2932,0.23728813559322035
YML023C,NSE5,nse5-ts4,tsa1007-37C,0.23510971786833856
YGL194C,HOS2,,dma1723,0.23076923076923078
YBR102C,EXO84,exo84-102,tsa24,0.23008849557522124
YGR231C,PHB2,,dma1987,0.22950819672131148
YPL190C,NAB3,nab3-11,tsa861-37C,0.22916666666666666
YFL039C,ACT1,act1-159,tsa910-37C,0.2281449893390192
YLR298C,YHC1,yhc1-3,tsa840-37C,0.22807017543859648
YLR368W,MDM30,,dma3401,0.22727272727272727
YDR497C,ITR1,,dma1223,0.225
YDR311W,TFB1,tfb1-6,tsa715,0.2222222222222222
YBR130C,SHE3,,dma295,0.21875
YKL040C,NFU1,,dma2764,0.21818181818181817
YOR236W,DFR1,dfr1-td,tsa884-37C,0.2169811320754717
YDL126C,CDC48,cdc48-4601,tsa851,0.21359223300970873
YEL034W,HYP2,hyp2-2,tsa750-37C,0.2119205298013245
YFL039C,ACT1,act1-124,tsa72,0.21153846153846154
YGL048C,RPT6,rpt6-20,tsa907,0.21103117505995203
YNL006W,LST8,lst8-15,tsa467,0.20967741935483872
YBR131W,CCZ1,,dma294,0.20967741935483872
YFL039C,ACT1,act1-159,tsa910,0.20754716981132076
YDR437W,GPI19,gpi19-2,tsa1014-37C,0.20588235294117646
YER090W,TRP2,trp2,tsa366-37C,0.20540540540540542
YDR238C,SEC26,sec26-11d26,tsa722-37C,0.20041753653444677
YOR020C,HSP10,hsp10-ts,tsa681,0.19718309859154928
YFL039C,ACT1,act1-119,tsa215-37C,0.19390581717451524
YCR093W,CDC39,cdc39-1,tsa93-37C,0.19310344827586207
YAL041W,CDC24,cdc24-4,tsa149-37C,0.19166666666666668
