ORF,Name,Allele,Strain ID,Cluster_normal-0
YCR102C,,,dma603,0.75
YMR233W,TRI1,,dma3824,0.7435897435897436
YNR010W,CSE2,,dma4207,0.7142857142857143
YIL049W,DFG10,,dma2291,0.7140672782874617
YNL325C,FIG4,,dma4182,0.7
YLR386W,VAC14,,dma3411,0.6875
YDL125C,HNT1,,dma698,0.6842105263157895
YNL197C,WHI3,,dma4073,0.6551724137931034
YML063W,RPS1B,,dma3588,0.65
YLR286C,CTS1,,dma3331,0.64
YML048W,GSF2,,dma3543,0.64
YDR477W,SNF1,snf1-supp1,dma5262,0.6363636363636364
YLR448W,RPL6B,,dma3499,0.625
YPR127W,,,dma5119,0.6190476190476191
YPL230W,USV1,,dma4965,0.6176470588235294
YNL324W,,,dma4183,0.5957446808510638
YHR158C,KEL1,,dma2186,0.5952380952380952
YLR137W,RKM5,,dma3223,0.5897435897435898
YPR140W,TAZ1,,dma5134,0.5869565217391305
YKR093W,PTR2,,dma3024,0.5845323741007195
YMR073C,IRC21,,dma3679,0.5833333333333334
YDR258C,HSP78,,dma1014,0.5675675675675675
YNL047C,SLM2,,dma5326,0.5614035087719298
YIL008W,URM1,,dma2255,0.5555555555555556
YJL155C,FBP26,,dma2533,0.55
YJL201W,ECM25,,dma2569,0.5471698113207547
YML041C,VPS71,,dma3546,0.5405405405405406
YPR119W,CLB2,,dma5103,0.5384615384615384
YPL184C,MRN1,,dma4931,0.5365853658536586
YJL071W,ARG2,,dma2492,0.5357142857142857
YBR106W,PHO88,,dma274,0.5294117647058824
YLR418C,CDC73,,dma3477,0.5238095238095238
YPR155C,NCA2,,dma5146,0.5230769230769231
YGR283C,,,dma2040,0.52
YBR157C,ICS2,,dma324,0.5151515151515151
YML121W,GTR1,,dma3622,0.5142857142857142
YHR030C,SLT2,,dma2112,0.5
YNL041C,COG6,,dma3970,0.5
YDR414C,ERD1,,dma1135,0.4827586206896552
YPR013C,CMR3,,dma5017,0.4782608695652174
YKR043C,SHB17,,dma2958,0.4772727272727273
YGL136C,MRM2,,dma1690,0.46808510638297873
YGL211W,NCS6,,dma1733,0.4642857142857143
YPR022C,SDD4,,dma5034,0.45714285714285713
YOR204W,DED1,ded1-95,tsa561-37C,0.45161290322580644
YJL186W,MNN5,,dma2557,0.4418604651162791
YCL030C,HIS4,,dma499,0.44
YDL077C,VAM6,,dma649,0.44
YLR131C,ACE2,,dma3228,0.44
YJL144W,,,dma2521,0.43103448275862066
YJR120W,,,dma2721,0.42857142857142855
YBL008W,HIR1,,dma90,0.42424242424242425
YOL086C,ADH1,,dma5363,0.4166666666666667
YNL016W,PUB1,,dma3927,0.4146341463414634
YIL161W,,,dma2377,0.4074074074074074
YNL119W,NCS2,,dma4030,0.40625
YKL204W,EAP1,,dma2894,0.40540540540540543
YPL178W,CBC2,,dma4915,0.40476190476190477
YKL032C,IXR1,,dma2770,0.3953488372093023
YLR055C,SPT8,,dma3154,0.39473684210526316
YJL131C,AIM23,,dma2509,0.39285714285714285
YNL198C,,,dma4072,0.3888888888888889
YOL037C,,,dma4314,0.38461538461538464
YIL146C,ATG32,,dma2365,0.38095238095238093
YKL048C,ELM1,,dma2781,0.325
YLR298C,YHC1,yhc1-1,tsa632-37C,0.3232758620689655
YKL176C,LST4,,dma2888,0.3170731707317073
