ORF,Name,Allele,Strain ID,Cluster_normal-7
YDR373W,FRQ1,frq1-1,tsa399-37C,0.7256637168141593
YFL038C,YPT1,ypt1-3,tsa591-37C,0.6784452296819788
YMR028W,TAP42,tap42-11,tsa697-37C,0.6701570680628273
YNR035C,ARC35,arc35-5,tsa470-37C,0.6578947368421053
YFL039C,ACT1,act1-122,tsa219-37C,0.6574074074074074
YNR035C,ARC35,arc35-6,tsa471-37C,0.6481481481481481
YDL145C,COP1,cop1-1,tsa704-37C,0.6212121212121212
YLR440C,SEC39,sec39-2,tsa726-37C,0.6033755274261603
YIL109C,SEC24,sec24-20,tsa456-37C,0.5932203389830508
YAL041W,CDC24,cdc24-4,tsa149-37C,0.5909090909090909
YDR238C,SEC26,sec26-11d26,tsa722-37C,0.5906432748538012
YLL050C,COF1,cof1-8,tsa248-37C,0.5882352941176471
YJL085W,EXO70,exo70-29/37,tsa856-37C,0.5789473684210527
YHR088W,RPF1,rpf1-1,tsa1000-37C,0.5689655172413793
YDR189W,SLY1,sly1-ts,tsa251-37C,0.5654205607476636
YKL189W,HYM1,hym1-15,tsa892-37C,0.56
YER136W,GDI1,gdi1-1,tsa64-37C,0.5598705501618123
YGR074W,SMD1,smd1-1,tsa748-37C,0.5563380281690141
YDL103C,QRI1,qri1-5001,tsa1093-37C,0.5545023696682464
YER093C,TSC11,tsc11-7,tsa659-37C,0.5542168674698795
YLR088W,GAA1,gaa1-ts,tsa207-37C,0.5531914893617021
YDL143W,CCT4,cct4-1,tsa729-37C,0.5454545454545454
YAL041W,CDC24,cdc24-h,tsa42-37C,0.5446224256292906
YAL041W,CDC24,cdc24-1,tsa408-37C,0.5393939393939394
YGR120C,COG2,cog2-1,tsa187-37C,0.5393258426966292
YPR183W,DPM1,dpm1-6,tsa330-37C,0.538787023977433
YBR080C,SEC18,sec18-1,tsa54-37C,0.538135593220339
YNL061W,NOP2,nop2-5,tsa626-37C,0.5340314136125655
YIR012W,SQT1,sqt1-201,tsa617-37C,0.532258064516129
YBR109C,CMD1,cmd1-8,tsa157-37C,0.5307692307692308
YOR204W,DED1,ded1-95,tsa561-37C,0.5306122448979592
YHR024C,MAS2,mas2-10,tsa526-37C,0.5277777777777778
YJR093C,FIP1,fip1-5001,tsa1096-37C,0.525
YNR026C,SEC12,sec12-4,tsa60-37C,0.5220588235294118
YGL145W,TIP20,tip20-5,tsa271-37C,0.5149253731343284
YLR117C,CLF1,clf1-1,tsa1047-37C,0.5111111111111111
YGL233W,SEC15,sec15-1,tsa40-37C,0.5085227272727273
YGR172C,YIP1,yip1-4,tsa980-37C,0.5068493150684932
YFL039C,ACT1,act1-136,tsa142-37C,0.5027624309392266
YIL109C,SEC24,sec24-2,tsa189-37C,0.5021739130434782
YLR071C,RGR1,rgr1-100,tsa908-37C,0.5
YDR170C,SEC7,sec7-1,tsa44-37C,0.4977168949771689
YMR240C,CUS1,cus1-3,tsa639-37C,0.49473684210526314
YFL005W,SEC4,sec4-8,tsa307-37C,0.4940828402366864
YER093C,TSC11,tsc11-1,tsa658-37C,0.4909090909090909
YOR181W,LAS17,las17-14,tsa230-37C,0.48936170212765956
YAL038W,CDC19,cdc19-1,tsa34-37C,0.48854961832061067
YLR440C,SEC39,sec39-1,tsa725-37C,0.48743718592964824
YBR160W,CDC28,cdc28-13,tsa175-37C,0.4873096446700508
YMR079W,SEC14,sec14-3,tsa53-37C,0.48717948717948717
YGL097W,SRM1,srm1-g282s,tsa261-37C,0.48484848484848486
YIL147C,SLN1,sln1-ts4,tsa1001-37C,0.4838709677419355
YBR079C,RPG1,rpg1-1,tsa990-37C,0.4782608695652174
YGR009C,SEC9,sec9-4,tsa57-37C,0.4772727272727273
YLR305C,STT4,stt4-4,tsa123-37C,0.4768211920529801
YLR005W,SSL1,ssl1-t242i,tsa752-37C,0.47619047619047616
YDL058W,USO1,uso1-1,tsa441-37C,0.47317073170731705
YFL039C,ACT1,act1-101,tsa136-37C,0.4727272727272727
YER148W,SPT15,spt15-p65s,tsa476-37C,0.4714285714285714
YER133W,GLC7,glc7-12,tsa185-37C,0.46987951807228917
YJL085W,EXO70,exo70-38,tsa848-37C,0.46875
YBL050W,SEC17,sec17-1,tsa45-37C,0.46835443037974683
YER008C,SEC3,sec3-2,tsa43-37C,0.46831955922865015
YGR113W,DAM1,dam1-19,tsa244-37C,0.4666666666666667
YPL175W,SPT14,spt14-1-10c,tsa474-37C,0.4666666666666667
YHR036W,BRL1,brl1-c371s,tsa1042-37C,0.4634146341463415
YOR232W,MGE1,mge1-100,tsa505-37C,0.4604651162790698
YOR075W,UFE1,ufe1-1,tsa212-37C,0.460093896713615
YLR208W,SEC13,sec13-1,tsa52-37C,0.4580152671755725
YFL029C,CAK1,cak1-23,tsa650-37C,0.4578313253012048
YIL004C,BET1,bet1-1,tsa792-37C,0.45774647887323944
YLR008C,PAM18,pam18-1,tsa501-37C,0.45652173913043476
YLR310C,CDC25,cdc25-2-supp1,tsa29-37C,0.45394736842105265
YGL098W,USE1,use1-ts,tsa592-37C,0.45185185185185184
YMR197C,VTI1,vti1-2,tsa634-37C,0.45121951219512196
YHR191C,CTF8,ctf8-9,tsa323-37C,0.4482758620689655
YHR052W,CIC1,cic1-2,tsa713-37C,0.44680851063829785
YDL195W,SEC31,sec31-1,tsa852-37C,0.44559585492227977
YDR356W,SPC110,spc110-221,tsa276-37C,0.4444444444444444
YDR238C,SEC26,sec26-f856aw860a,tsa721-37C,0.44339622641509435
YDR311W,TFB1,tfb1-1,tsa701-37C,0.4423076923076923
YDR062W,LCB2,lcb2-19,tsa587-37C,0.4414715719063545
YBR058C-A,TSC3,tsc3-2,tsa571-37C,0.4411764705882353
YGL093W,SPC105,spc105-15,tsa446-37C,0.44047619047619047
YGL065C,ALG2,alg2-1,tsa461-37C,0.44
YFL039C,ACT1,act1-4,tsa138-37C,0.43873517786561267
YJL125C,GCD14,gcd14-4,tsa620-37C,0.4380952380952381
YOR046C,DBP5,dbp5-1,tsa641-37C,0.4375
YDL103C,QRI1,qri1-ts1,tsa859-37C,0.43636363636363634
YDR062W,LCB2,lcb2-1,tsa586-37C,0.4357142857142857
YDR166C,SEC5,sec5-24,tsa51-37C,0.43532338308457713
YPL085W,SEC16,sec16-2,tsa119-37C,0.43515850144092216
YMR013C,SEC59,sec59-ts,tsa422-37C,0.43478260869565216
YNR026C,SEC12,sec12-1,tsa305-37C,0.4336283185840708
YGL022W,STT3,stt3-7,tsa544-37C,0.4318181818181818
YDL030W,PRP9,prp9-1,tsa597-37C,0.43037974683544306
YJL104W,PAM16,pam16-3,tsa499-37C,0.43037974683544306
YLL036C,PRP19,prp19-1,tsa247-37C,0.42857142857142855
YOR254C,SEC63,sec63-1,tsa231-37C,0.42857142857142855
YGL137W,SEC27,sec27-1,tsa546-37C,0.42857142857142855
YKL042W,SPC42,spc42-11,tsa449-37C,0.42857142857142855
YLR268W,SEC22,sec22-1,tsa313-37C,0.4279661016949153
YKR008W,RSC4,rsc4-2,tsa498-37C,0.4262295081967213
YKL006C-A,SFT1,sft1-15,tsa619-37C,0.42592592592592593
YDL126C,CDC48,cdc48-4601,tsa851-37C,0.4240506329113924
YDL147W,RPN5,rpn5-1,tsa1036-37C,0.42391304347826086
YDR164C,SEC1,sec1-1,tsa36-37C,0.42363112391930835
YMR236W,TAF9,taf9-ts2,tsa730-37C,0.4225352112676056
YGR006W,PRP18,prp18-1202,tsa430-37C,0.4222222222222222
YDR228C,PCF11,pcf11-ts10,tsa679-37C,0.42045454545454547
YOR329C,SCD5,scd5-d338,tsa569-37C,0.42
YDR145W,TAF12,taf12-9,tsa514-37C,0.41964285714285715
YMR235C,RNA1,rna1-s116f,tsa172-37C,0.4189189189189189
YPL094C,SEC62,sec62-ts,tsa224-37C,0.4186046511627907
YBR198C,TAF5,taf5-20,tsa513-37C,0.4186046511627907
YDR062W,LCB2,lcb2-2,tsa575-37C,0.41841004184100417
YJR045C,SSC1,ssc1-2,tsa328-37C,0.41830065359477125
YKR086W,PRP16,prp16-2,tsa598-37C,0.4178082191780822
YJL001W,PRE3,pre3-2,tsa292-37C,0.4177215189873418
YDR182W,CDC1,cdc1-6,tsa414-37C,0.4166666666666667
YOR020C,HSP10,hsp10-ts,tsa681-37C,0.4166666666666667
YBL035C,POL12,pol12-ts,tsa365-37C,0.4166666666666667
YDR145W,TAF12,taf12-ts23,tsa518-37C,0.4146341463414634
YDR062W,LCB2,lcb2-16,tsa585-37C,0.4125
YLL031C,GPI13,gpi13-3-supp1,tsa196-37C,0.41237113402061853
YGR156W,PTI1,pti1-ts7-supp1,tsa477-37C,0.4112903225806452
YNL118C,DCP2,dcp2-7,tsa743-37C,0.410958904109589
