ORF,Name,Allele,Strain ID,Cluster_normal-1
YPL060W,MFM1,,dma4801,0.6060100166944908
YLR039C,RIC1,,dma3121,0.5834932821497121
YLR011W,LOT6,,dma3097,0.5530155642023347
YLR023C,IZH3,,dma3109,0.5446601941747573
YLR085C,ARP6,,dma3157,0.5422932330827067
YPR077C,,,dma5085,0.540495867768595
YLR065C,ENV10,,dma3145,0.46621621621621623
YOR068C,VAM10,,dma4478,0.45081967213114754
YLR327C,TMA10,,dma3365,0.4436997319034853
YLR053C,,,dma3133,0.41991643454038996
YLR251W,SYM1,,dma3289,0.38860103626943004
YMR019W,STB4,,dma3648,0.3814229249011858
YPR076W,,,dma5086,0.36069651741293535
YDR123C,INO2,,dma920,0.3548387096774194
YOR132W,VPS17,,dma4559,0.3497854077253219
YOR248W,,,dma5204,0.3181818181818182
YLR217W,,,dma3265,0.30392156862745096
YKR001C,VPS1,,dma2924,0.28
YBR260C,RGD1,,dma428,0.2702078521939954
YML097C,VPS9,,dma3596,0.26515151515151514
YEL001C,IRC22,,dma1272,0.26071428571428573
YGL251C,HFM1,,dma1771,0.25384615384615383
YGL228W,SHE10,,dma1741,0.2524271844660194
YLR414C,PUN1,,dma3434,0.24065420560747663
YFL018C,LPD1,lpd1-supp1,dma1482,0.23636363636363636
YGL243W,TAD1,,dma1753,0.23134328358208955
YGR021W,,,dma1790,0.23076923076923078
YNL277W,MET2,,dma4151,0.22761194029850745
YML057W,CMP2,,dma3571,0.225
YNL298W,CLA4,,dma4157,0.2222222222222222
YIL053W,GPP1,,dma2288,0.2222222222222222
YOL108C,INO4,,dma4387,0.22115384615384615
YGR034W,RPL26B,,dma1803,0.2196969696969697
YGL226C-A,OST5,,dma1744,0.21951219512195122
YGL256W,ADH4,,dma1766,0.21678321678321677
YLR286C,CTS1,,dma3331,0.2145922746781116
YGR035C,,,dma1802,0.21428571428571427
YGL242C,,,dma1754,0.20754716981132076
YEL023C,,,dma1278,0.20094562647754138
YDR463W,STP1,,dma1199,0.2007168458781362
YHR160C,PEX18,,dma2220,0.2
YDR525W,API2,,dma1227,0.19736842105263158
YML042W,CAT2,,dma3545,0.19591836734693877
YLR119W,SRN2,,dma3215,0.1956521739130435
YGL209W,MIG2,,dma1735,0.19469026548672566
YLR021W,IRC25,,dma3110,0.1941747572815534
YGR011W,,,dma1798,0.1927710843373494
YHR210C,,,dma2238,0.189873417721519
YML054C,CYB2,,dma3574,0.18695652173913044
YEL031W,SPF1,,dma1274,0.18532818532818532
YCR076C,FUB1,,dma577,0.18518518518518517
YKR067W,GPT2,,dma2995,0.18487394957983194
YLR421C,RPN13,,dma3475,0.18128654970760233
YIR019C,FLO11,,dma2415,0.18085106382978725
YMR157C,AIM36,,dma3747,0.17846153846153845
YLR173W,,,dma3251,0.17777777777777778
YIL042C,PKP1,,dma2273,0.17647058823529413
YGL222C,EDC1,,dma1746,0.17557251908396945
YER019C-A,SBH2,,dma1330,0.17543859649122806
YLR083C,EMP70,,dma3159,0.17507418397626112
YHR039C,MSC7,,dma2105,0.17326732673267325
YCR051W,,,dma570,0.17258883248730963
YML056C,IMD4,,dma3572,0.17101449275362318
YGL254W,FZF1,,dma1768,0.1702127659574468
