ORF,Name,Allele,Strain ID,Cluster_normal-7
YPL115C,BEM3,,dma4853,0.4105263157894737
YDR126W,SWF1,,dma917,0.39285714285714285
YNL298W,CLA4,,dma4157,0.3888888888888889
YER111C,SWI4,,dma1394,0.3611111111111111
YJR076C,CDC11,cdc11-1,TSA356-37C,0.36
YML069W,POB3,pob3-l78r,TSA846-37C,0.3548387096774194
YDL006W,PTC1,,dma620,0.35294117647058826
YDR392W,SPT3,,dma1125,0.3493975903614458
YOR127W,RGA1,,dma4539,0.3418803418803419
YDL117W,CYK3,,dma705,0.34080717488789236
YJR092W,BUD4,,dma2673,0.33962264150943394
YHR158C,KEL1,,dma2186,0.3357664233576642
YAL001C,TFC3,tfc3-g349e,TSA508-37C,0.3333333333333333
YMR156C,TPP1,,dma3748,0.301255230125523
YFL036W,RPO41,,dma1490,0.30092592592592593
YLR131C,ACE2,,dma3228,0.29411764705882354
YPL094C,SEC62,sec62-ts,TSA224-37C,0.2926829268292683
YLR421C,RPN13,,dma3475,0.2903225806451613
YML057W,CMP2,,dma3571,0.29
YNL235C,,,dma4114,0.2882882882882883
YJR133W,XPT1,,dma2734,0.2876712328767123
YEL023C,,,dma1278,0.2860520094562648
YOR132W,VPS17,,dma4559,0.2826552462526767
YLR286C,CTS1,,dma3331,0.27896995708154504
YNL277W,MET2,,dma4151,0.2788104089219331
YDR395W,SXM1,,dma1123,0.2787456445993031
YMR157C,AIM36,,dma3747,0.2786377708978328
YDR369C,XRS2,,dma1097,0.2777777777777778
YLR055C,SPT8,,dma3154,0.27705627705627706
YBR160W,CDC28,cdc28-1,TSA174-37C,0.2714285714285714
YER167W,BCK2,,dma1459,0.2713864306784661
YLR337C,VRP1,,dma3380,0.27
YJR076C,CDC11,cdc11-5,TSA84-37C,0.2698412698412698
YKR082W,NUP133,,dma3009,0.26717557251908397
YOR359W,VTS1,,dma4743,0.2631578947368421
YFL025C,BST1,,dma1500,0.2593984962406015
YKL090W,CUE2,,dma2811,0.25903614457831325
YHR039C,MSC7,,dma2105,0.25870646766169153
