ORF,Name,Allele,Strain ID,Cluster_normal-6
YDR424C,DYN2,,dma1174,0.2631578947368421
YMR307W,GAS1,,dma3905,0.23809523809523808
YER116C,SLX8,slx8-supp1,dma1413,0.2318840579710145
YNL236W,SIN4,,dma4113,0.22916666666666666
YIL037C,PRM2,,dma2278,0.21739130434782608
YER012W,PRE1,pre1-1,tsa289-37C,0.21666666666666667
YBR135W,CKS1,cks1-38,tsa332-37C,0.20100502512562815
YJL115W,ASF1,,dma2518,0.19117647058823528
YNL272C,SEC2,sec2-41,tsa56-37C,0.1896551724137931
YGL084C,GUP1,,dma1668,0.18840579710144928
YHR167W,THP2,,dma2216,0.18181818181818182
YLR319C,BUD6,,dma3370,0.1724137931034483
YGR075C,PRP38,prp38-1,tsa480-37C,0.17156105100463678
YDR497C,ITR1,,dma1223,0.1686746987951807
YDR281C,PHM6,,dma1043,0.16300940438871472
YJL036W,SNX4,,dma2471,0.1623931623931624
YDR168W,CDC37,cdc37-ts,tsa315-37C,0.1610738255033557
YHR036W,BRL1,brl1-2221,tsa1038-37C,0.15625
YKR054C,DYN1,,dma2983,0.14666666666666667
YHR202W,,,dma2244,0.14634146341463414
YHR036W,BRL1,brl1-k405i,tsa1043-37C,0.14285714285714285
YKR082W,NUP133,,dma3009,0.14102564102564102
YHR036W,BRL1,brl1-c371r,tsa1041-37C,0.13523131672597866
YEL003W,GIM4,,dma1271,0.13253012048192772
YBR070C,ALG14,alg14-5001,tsa1061-37C,0.12149532710280374
YKR001C,VPS1,,dma2924,0.12121212121212122
YMR235C,RNA1,rna1-1,tsa118-37C,0.1206896551724138
YER059W,PCL6,,dma1366,0.11650485436893204
YKL069W,,,dma2802,0.11578947368421053
YEL061C,CIN8,,dma1302,0.11538461538461539
YBR105C,VID24,,dma275,0.11511511511511512
YER001W,MNN1,,dma1316,0.11348314606741573
YFL025C,BST1,,dma1500,0.1125
YBR072W,HSP26,,dma251,0.11023622047244094
YDL111C,RRP42,rrp42-5001,tsa1091-37C,0.11016949152542373
YOR181W,LAS17,las17-14,tsa230-37C,0.10833333333333334
YFR004W,RPN11,rpn11-14,tsa534-37C,0.10743801652892562
YMR076C,PDS5,pds5-1,tsa983-37C,0.10666666666666667
YGL022W,STT3,stt3-7,tsa544-37C,0.10559006211180125
YLR056W,ERG3,,dma3153,0.10526315789473684
YKR037C,SPC34,spc34-5,tsa839-37C,0.10344827586206896
YBL040C,ERD2,erd2-5001,tsa1072-37C,0.10204081632653061
YGR103W,NOP7,nop7-1,tsa447-37C,0.10179640718562874
YKL213C,DOA1,,dma2910,0.10091743119266056
