ORF,Name,Allele,Strain ID,Cluster_normal-1
YOR329C,SCD5,scd5-pp1d2,tsa570-37C,0.42857142857142855
YNL272C,SEC2,sec2-41,tsa56-37C,0.38392857142857145
YGL097W,SRM1,srm1-g282s,tsa261-37C,0.38235294117647056
YGL130W,CEG1,ceg1-34,tsa358-37C,0.33793103448275863
YMR235C,RNA1,rna1-1,tsa118-37C,0.326984126984127
YFL045C,SEC53,sec53-6,tsa48-37C,0.30357142857142855
YMR235C,RNA1,rna1-s116f,tsa172-37C,0.289198606271777
YNR011C,PRP2,prp2-1,tsa338-37C,0.2876712328767123
YGR006W,PRP18,prp18-1202,tsa430-37C,0.2802547770700637
YPR183W,DPM1,dpm1-6,tsa330-37C,0.2657894736842105
YBR198C,TAF5,taf5-3,tsa509-37C,0.26476578411405294
YFL039C,ACT1,act1-4,tsa138-37C,0.26136363636363635
YAL041W,CDC24,cdc24-4,tsa149-37C,0.2604166666666667
YNL061W,NOP2,nop2-5,tsa626-37C,0.25853658536585367
YLR268W,SEC22,sec22-3,tsa121-37C,0.25757575757575757
YDR437W,GPI19,gpi19-2xh,tsa1012-37C,0.25675675675675674
YAL041W,CDC24,cdc24-1,tsa408-37C,0.2558139534883721
YIR022W,SEC11,sec11-2,tsa318-37C,0.25333333333333335
YBL076C,ILS1,ils1-1,tsa275-37C,0.24758842443729903
YLL050C,COF1,cof1-8,tsa248-37C,0.24609375
YER013W,PRP22,prp22-1,tsa237-37C,0.2445141065830721
YER147C,SCC4,scc4-4,tsa69-37C,0.24242424242424243
YKR086W,PRP16,prp16-ts,tsa644-37C,0.2413793103448276
YBR237W,PRP5,prp5-1,tsa117-37C,0.24013157894736842
YGL130W,CEG1,ceg1-3,tsa94-37C,0.23776223776223776
YJR065C,ARP3,arp3-g302y,tsa296-37C,0.2375
YOR336W,KRE5,kre5-ts2,tsa139-37C,0.23636363636363636
YPL085W,SEC16,sec16-2,tsa119-37C,0.23508771929824562
YML130C,ERO1,ero1-1,tsa203-37C,0.23323170731707318
YDR189W,SLY1,sly1-ts,tsa251-37C,0.23195876288659795
YOR181W,LAS17,las17-14,tsa230-37C,0.23121387283236994
YFL039C,ACT1,act1-155,tsa220-37C,0.23018867924528302
YGR113W,DAM1,dam1-9,tsa243-37C,0.22792937399678972
YLR078C,BOS1,bos1-1,tsa199-37C,0.22685185185185186
YNL267W,PIK1,pik1-139,tsa116-37C,0.22535211267605634
YPR086W,SUA7,sua7-c149r,tsa832-37C,0.225
YGL120C,PRP43,prp43-ts2,tsa607-37C,0.2182741116751269
YNL006W,LST8,lst8-6,tsa466-37C,0.21666666666666667
YJL203W,PRP21,prp21-ts,tsa401-37C,0.21645021645021645
YAL041W,CDC24,cdc24-5,tsa304-37C,0.21379310344827587
YEL034W,HYP2,hyp2-2,tsa750-37C,0.21226415094339623
YDL105W,NSE4,nse4-ts3,tsa992-37C,0.2119047619047619
YJL034W,KAR2,kar2-159,tsa210-37C,0.2110215053763441
YBR080C,SEC18,sec18-1,tsa54-37C,0.209009009009009
YDR373W,FRQ1,frq1-1,tsa399-37C,0.20618556701030927
YBR102C,EXO84,exo84-102,tsa24-37C,0.20491803278688525
YDL030W,PRP9,prp9-ts,tsa361-37C,0.20425531914893616
YOR122C,PFY1,pfy1-4,tsa232-37C,0.20394736842105263
YLR208W,SEC13,sec13-1,tsa52-37C,0.20238095238095238
YMR013C,SEC59,sec59-ts,tsa422-37C,0.1987179487179487
YGL207W,SPT16,spt16-ts,tsa339-37C,0.1987179487179487
YGR113W,DAM1,dam1-19,tsa244-37C,0.19845857418111754
YPL076W,GPI2,gpi2-774,tsa463-37C,0.19791666666666666
YDR356W,SPC110,spc110-221,tsa276-37C,0.19021739130434784
YNR043W,MVD1,mvd1-1296,tsa828-37C,0.189873417721519
YGL130W,CEG1,ceg1-ts,tsa355-37C,0.189873417721519
YAL041W,CDC24,cdc24-2,tsa410-37C,0.18803418803418803
YGL137W,SEC27,sec27-1,tsa546-37C,0.18803418803418803
YAL041W,CDC24,cdc24-3,tsa412-37C,0.1875
YKL173W,SNU114,snu114-60,tsa621-37C,0.18661971830985916
YNL287W,SEC21,sec21-1,tsa46-37C,0.18604651162790697
YER012W,PRE1,pre1-1,tsa289-37C,0.18518518518518517
YFL034C-B,MOB2,mob2-34,tsa611-37C,0.18487394957983194
