ORF,Name,Allele,Strain ID,Cluster_normal-0
YJR057W,CDC8,cdc8-1,tsa407-37C,0.46875
YDR002W,YRB1,yrb1-51,tsa582-37C,0.422680412371134
YPL020C,ULP1,ulp1-333,tsa566-37C,0.37037037037037035
YML069W,POB3,pob3-7,tsa629-37C,0.3558282208588957
YDR228C,PCF11,pcf11-1,tsa808-37C,0.3548387096774194
YBR160W,CDC28,cdc28-td,tsa62-37C,0.35294117647058826
YMR227C,TAF7,taf7-ts1,tsa638-37C,0.35135135135135137
YGR274C,TAF1,taf1-1,tsa524-37C,0.3380281690140845
YFL039C,ACT1,act1-159,tsa910-37C,0.3333333333333333
YOR181W,LAS17,las17-14,tsa230-37C,0.32592592592592595
YMR028W,TAP42,tap42-11,tsa697-37C,0.3258426966292135
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,0.3235294117647059
YOR020C,HSP10,hsp10-ts,tsa681-37C,0.3225806451612903
YDR228C,PCF11,pcf11-2,tsa685-37C,0.3137254901960784
YBR160W,CDC28,cdc28-13,tsa175-37C,0.3132530120481928
YPL175W,SPT14,spt14-1-10c,tsa474-37C,0.3125
YJL081C,ARP4,arp4-g161d,tsa618-37C,0.3055555555555556
YGR158C,MTR3,mtr3-ts,tsa614-37C,0.3050847457627119
YML069W,POB3,pob3-l78r,tsa846-37C,0.30434782608695654
YGL022W,STT3,stt3-7,tsa544-37C,0.3
YKR062W,TFA2,tfa2-45,tsa692-37C,0.29927007299270075
YAL041W,CDC24,cdc24-3,tsa412-37C,0.29411764705882354
YGR113W,DAM1,dam1-5,tsa242-37C,0.2926829268292683
YER022W,SRB4,srb4-2,tsa519-37C,0.2924187725631769
YGR006W,PRP18,prp18-ts,tsa434-37C,0.2895927601809955
YER003C,PMI40,pmi40-5001,tsa1081-37C,0.28662420382165604
YOR326W,MYO2,myo2-14,tsa269-37C,0.2857142857142857
YAL038W,CDC19,cdc19-1,tsa34-37C,0.28486646884273
YGR113W,DAM1,dam1-11,tsa240-37C,0.28169014084507044
YNL118C,DCP2,dcp2-7,tsa743-37C,0.28169014084507044
YMR235C,RNA1,rna1-s116f,tsa172-37C,0.2751677852348993
