ORF,Name,Allele,Strain ID,Cluster_normal-10
YOR259C,RPT4,rpt4-150,tsa260-37C,0.44086021505376344
YFR004W,RPN11,rpn11-8,tsa521-37C,0.29333333333333333
YBL040C,ERD2,erd2-5001,tsa1072-37C,0.29213483146067415
YGL048C,RPT6,rpt6-25,tsa186-37C,0.28205128205128205
YFR004W,RPN11,rpn11-14,tsa534-37C,0.27956989247311825
YIR022W,SEC11,sec11-2,tsa318-37C,0.26576576576576577
YFL045C,SEC53,sec53-6,tsa48-37C,0.2404255319148936
YOR057W,SGT1,sgt1-5,tsa427-37C,0.23595505617977527
YPR108W,RPN7,rpn7-3,tsa1037-37C,0.23478260869565218
YLR066W,SPC3,spc3-4,tsa623-37C,0.2326454033771107
YDR498C,SEC20,sec20-1,tsa55-37C,0.22794117647058823
YJL034W,KAR2,kar2-159,tsa210-37C,0.22546419098143236
YML130C,ERO1,ero1-1,tsa203-37C,0.22037914691943128
YPR055W,SEC8,sec8-6,tsa364-37C,0.21951219512195122
YBR102C,EXO84,exo84-102,tsa24-37C,0.21052631578947367
YPR181C,SEC23,sec23-1,tsa900-37C,0.2037037037037037
YHR027C,RPN1,rpn1-821,tsa255-37C,0.203125
YBL041W,PRE7,pre7-5001,tsa1064-37C,0.20253164556962025
YBR135W,CKS1,cks1-38,tsa332-37C,0.19298245614035087
YDR002W,YRB1,yrb1-51,tsa582-37C,0.19246861924686193
YLR166C,SEC10,sec10-2,tsa63-37C,0.19220055710306408
YGL044C,RNA15,rna15-58,tsa652-37C,0.1865671641791045
YER012W,PRE1,pre1-1,tsa289-37C,0.18407960199004975
YNL272C,SEC2,sec2-41,tsa56-37C,0.17647058823529413
YPR055W,SEC8,sec8-9,tsa122-37C,0.17424242424242425
YJL005W,CYR1,cdc35-1,tsa354-37C,0.16735537190082644
YER003C,PMI40,pmi40-5001,tsa1081-37C,0.16352201257861634
YDL147W,RPN5,rpn5-1,tsa1036-37C,0.15384615384615385
YBR193C,MED8,med8-51,tsa741-37C,0.14689265536723164
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,0.14685314685314685
YMR239C,RNT1,rnt1-47,tsa674-37C,0.1346153846153846
YIL068C,SEC6,sec6-4,tsa38-37C,0.12921348314606743
YIL048W,NEO1,neo1-2,tsa188-37C,0.12790697674418605
YLR268W,SEC22,sec22-1,tsa313-37C,0.12648221343873517
YLR293C,GSP1,gsp1-p162l,tsa256-37C,0.12380952380952381
YBR010W,HHT1,,dma187,0.11904761904761904
YPL085W,SEC16,sec16-2,tsa119-37C,0.11475409836065574
YLR005W,SSL1,ssl1-t242i,tsa752-37C,0.11304347826086956
YDR356W,SPC110,spc110-220,tsa301-37C,0.1111111111111111
YBR029C,CDS1,cds1-5001,tsa1063-37C,0.1099476439790576
YDR228C,PCF11,pcf11-2,tsa685-37C,0.10915492957746478
YDL126C,CDC48,cdc48-4601,tsa851-37C,0.10738255033557047
YDR164C,SEC1,sec1-1,tsa36-37C,0.10594315245478036
YNR026C,SEC12,sec12-1,tsa305-37C,0.10526315789473684
YBR160W,CDC28,cdc28-13,tsa175-37C,0.1048951048951049
YGL145W,TIP20,tip20-5,tsa271-37C,0.10469314079422383
YDR166C,SEC5,sec5-24,tsa51-37C,0.10344827586206896
YDL097C,RPN6,rpn6-1,tsa1035-37C,0.1015625
YDR228C,PCF11,pcf11-ts2,tsa686-37C,0.10144927536231885
YKL006C-A,SFT1,sft1-15,tsa619-37C,0.10084033613445378
