ORF,Name,Allele,Strain ID,Cluster_normal-0
YOR141C,ARP8,,dma4550,0.8461538461538461
YNL229C,URE2,,dma4096,0.7828282828282829
YNL324W,,,dma4183,0.7782608695652173
YPL239W,YAR1,,dma4962,0.775
YNL106C,INP52,,dma4013,0.71875
YGL042C,,,dma5186,0.7068965517241379
YML097C,VPS9,,dma3596,0.700374531835206
YDL013W,SLX5,,dma616,0.6944444444444444
YDR036C,EHD3,,dma5223,0.6923076923076923
YGL202W,ARO8,,dma1739,0.6790123456790124
YNL325C,FIG4,,dma4182,0.674074074074074
YKR054C,DYN1,,dma2983,0.6721311475409836
YIL014C-A,,,dma2248,0.6630434782608695
YNL054W,VAC7,,dma3984,0.6557377049180327
YHR189W,PTH1,,dma2229,0.6549295774647887
YLR386W,VAC14,,dma3411,0.6511627906976745
YLL009C,COX17,,dma3029,0.6503067484662577
YOL004W,SIN3,,dma4294,0.6329896907216495
YJR054W,KCH1,,dma2649,0.6273458445040214
YIL056W,VHR1,,dma2285,0.6266666666666667
YDR157W,,,dma939,0.625
YIL059C,,,dma2282,0.6180555555555556
YIL001W,,,dma2237,0.6179775280898876
YDL215C,GDH2,,dma794,0.6161616161616161
YDR128W,MTC5,,dma915,0.6070287539936102
YCR077C,PAT1,,dma599,0.6049723756906077
YIL015W,BAR1,,dma2247,0.6025641025641025
YCR071C,IMG2,,dma581,0.6021505376344086
YIL024C,,,dma2265,0.6017699115044248
YNL176C,TDA7,,dma4061,0.5975609756097561
YGL215W,CLG1,,dma1729,0.5885416666666666
YHR185C,PFS1,,dma2230,0.5862068965517241
YHR191C,CTF8,,dma2228,0.581081081081081
YHR198C,AIM18,,dma2224,0.581081081081081
YCR062W,,,dma587,0.5796460176991151
YIL057C,RGI2,,dma2284,0.5774647887323944
YDR043C,NRG1,,dma5221,0.5645161290322581
YDL025C,RTK1,,dma633,0.5611814345991561
YHR180W,,,dma2211,0.5520833333333334
YIL049W,DFG10,,dma2291,0.55
YPR085C,ASA1,asa1-5001,TSA1232-37C,0.5463917525773195
YKR053C,YSR3,,dma2984,0.5433070866141733
YCR098C,GIT1,,dma607,0.5396039603960396
YFR021W,ATG18,,dma1550,0.5380434782608695
YHR176W,FMO1,,dma2214,0.5357142857142857
YGL242C,,,dma1754,0.5347222222222222
YDR173C,ARG82,,dma953,0.5333333333333333
YDL034W,,,dma629,0.5330578512396694
YCR069W,CPR4,,dma582,0.5327102803738317
YIL006W,YIA6,,dma2234,0.5319148936170213
YGL211W,NCS6,,dma1733,0.5319148936170213
YDL050C,,,dma643,0.5311203319502075
YCR079W,PTC6,,dma598,0.5294117647058824
YGL063W,PUS2,,dma5195,0.5285714285714286
YCR089W,FIG2,,dma589,0.5256410256410257
YDL036C,PUS9,,dma627,0.5253456221198156
YHR179W,OYE2,,dma2212,0.5242718446601942
YGL213C,SKI8,,dma1731,0.5232558139534884
YCR082W,AHC2,,dma596,0.5230769230769231
YKR092C,SRP40,,dma3002,0.52
YDR174W,HMO1,,dma952,0.5195530726256983
YOL001W,PHO80,,dma4274,0.5191256830601093
