ORF,Name,Allele,Strain ID,Cluster_normal-6
YPL055C,LGE1,,dma4805,0.8719211822660099
YML009C-A,,,dma3525,0.8085106382978723
YGL024W,,,dma1619,0.7638888888888888
YOL064C,MET22,,dma4348,0.7312925170068028
YLR418C,CDC73,,dma3477,0.7227722772277227
YMR039C,SUB1,,dma3653,0.7164179104477612
YKL048C,ELM1,,dma2781,0.7121212121212122
YJL036W,SNX4,,dma2471,0.7045454545454546
YOR080W,DIA2,,dma4493,0.6820083682008368
YGL124C,MON1,,dma1674,0.6758104738154613
YKL127W,PGM1,,dma2853,0.6366120218579235
YGR229C,SMI1,,dma1990,0.6180555555555556
YDR477W,SNF1,snf1-supp1,dma5262,0.6081081081081081
YER161C,SPT2,,dma1464,0.6006389776357828
YOL036W,,,dma4315,0.5534883720930233
YKR042W,UTH1,,dma2959,0.5450819672131147
YPR173C,VPS4,,dma5159,0.5174129353233831
YOR359W,VTS1,,dma4743,0.5164835164835165
YLR111W,,,dma3197,0.5010893246187363
YFR010W,UBP6,,dma1515,0.5
YLR110C,CCW12,,dma3198,0.49330357142857145
YKL041W,VPS24,,dma2763,0.48214285714285715
YDR289C,RTT103,,dma1037,0.4789272030651341
YDR369C,XRS2,,dma1097,0.4482758620689655
YHL031C,GOS1,gos1-supp1,dma2054,0.4247787610619469
YKR048C,NAP1,,dma2953,0.4
YEL013W,VAC8,,dma1262,0.391304347826087
YEL033W,MTC7,mtc7-supp1,dma1296,0.37398373983739835
YER167W,BCK2,,dma1459,0.33874709976798145
YDR389W,SAC7,,dma1127,0.3281733746130031
YNL238W,KEX2,,dma4111,0.325
YDL232W,OST4,ost4-supp2,dma805,0.30666666666666664
YOL141W,PPM2,,dma4410,0.27586206896551724
YER111C,SWI4,,dma1394,0.26842105263157895
YDR414C,ERD1,,dma1135,0.25793650793650796
YDL117W,CYK3,,dma705,0.25217391304347825
YEL042W,GDA1,,dma1290,0.2421875
YCR034W,ELO2,,dma556,0.23333333333333334
YBR193C,MED8,med8-39,TSA751-37C,0.21621621621621623
YKR082W,NUP133,,dma3009,0.2158273381294964
YHR158C,KEL1,,dma2186,0.2108843537414966
YDR497C,ITR1,,dma1223,0.20909090909090908
YLR166C,SEC10,sec10-2,TSA63-37C,0.2066869300911854
YLR337C,VRP1,,dma3380,0.19090909090909092
YMR307W,GAS1,,dma3905,0.18867924528301888
YFL036W,RPO41,,dma1490,0.18269230769230768
YLR119W,SRN2,,DMA3215-37C,0.18181818181818182
YDL126C,CDC48,cdc48-1,TSA826-37C,0.1791044776119403
YKL130C,SHE2,,dma2850,0.1766304347826087
YLR414C,PUN1,,dma3434,0.17155756207674944
YDL058W,USO1,uso1-1,TSA441-37C,0.1550695825049702
YLR119W,SRN2,,dma3215,0.14660831509846828
YOL108C,INO4,,dma4387,0.1423728813559322
YGL044C,RNA15,rna15-58,TSA652-37C,0.134375
YDR228C,PCF11,pcf11-ts2,TSA686-37C,0.12941176470588237
YDR182W,CDC1,cdc1-6,TSA414-37C,0.12307692307692308
YPL204W,HRR25,hrr25-5001,TSA1196-37C,0.12092130518234165
YDR392W,SPT3,,dma1125,0.11904761904761904
YGL145W,TIP20,tip20-5,TSA271-37C,0.11764705882352941
YHR058C,MED6,med6-ts,TSA1053-37C,0.11746031746031746
YLR310C,CDC25,cdc25-2-supp1,TSA29-37C,0.11422413793103449
YDR311W,TFB1,tfb1-1,TSA701-37C,0.11301369863013698
YPR055W,SEC8,sec8-6,TSA364-37C,0.10736579275905118
YJL097W,PHS1,phs1-5001,TSA1207-37C,0.10304789550072568
YLR005W,SSL1,ssl1-t242i,TSA752-37C,0.10191082802547771
YDL195W,SEC31,sec31-1,TSA852-37C,0.10083160083160084
