ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YLR321C,SFH1,sfh1-1,tsa952-37C,4,98.98989898989899,75.0,99.97957290494243
YGL154C,LYS5,lys5,tsa709-37C,3,98.98989898989899,66.66666666666667,99.89309238284683
YCR042C,TAF2,taf2-1,tsa802-37C,2,98.98989898989899,50.0,99.80573890797099
YPL255W,BBP1,bbp1-2,tsa864-37C,2,98.98989898989899,50.0,99.45184385086242
YBR200W,BEM1,,dma360,2,98.98989898989899,50.0,99.86940626407636
YGL234W,"ADE5,7",,dma1759,2,97.97979797979798,50.0,98.99610430272605
YGL234W,"ADE5,7","ade5,7",tsa468-37C,5,96.96969696969697,80.0,97.48362631568533
YMR049C,ERB1,erb1-5001,tsa1102-37C,9,95.95959595959596,88.88888888888889,97.14358210935654
YOL123W,HRP1,hrp1-1,tsa960-37C,10,93.93939393939394,90.0,99.84170456251681
YGL148W,ARO2,,dma1682,15,91.91919191919192,86.66666666666667,92.8865987780989
YDR354W,TRP4,,dma1082,4,90.9090909090909,75.0,92.62744819607218
YER069W,"ARG5,6","arg5,6",tsa257-37C,4,89.8989898989899,75.0,92.72981645876811
YLR071C,RGR1,rgr1-100,tsa908-26C,5,84.84848484848484,80.0,91.63763613698607
YNL061W,NOP2,nop2-10,tsa941-37C,2,81.81818181818183,50.0,83.46295712172338
YDR172W,SUP35,sup35-td,tsa28-37C,29,79.554162312783,79.3103448275862,92.09349207882647
YGL024W,,,dma1619,5,76.76767676767676,80.0,78.65892338151644
YBR160W,CDC28,cdc28-1,tsa174-37C,225,76.56565656565657,76.44444444444444,94.99734040386288
YJR057W,CDC8,cdc8-1,tsa407-37C,32,75.18939393939394,75.0,95.77473395309102
YDR182W,CDC1,cdc1-1,tsa31-37C,405,74.54545454545455,74.5679012345679,95.05396594087432
YDR408C,ADE8,,dma1139,27,73.73737373737374,74.07407407407408,94.45448016825874
YJR057W,CDC8,cdc8-2,tsa22-26C,2,73.73737373737373,50.0,88.10008229034875
YFR052W,RPN12,rpn12-1,tsa405-37C,49,73.69614512471655,73.46938775510205,94.44330637267169
YDR182W,CDC1,cdc1-6,tsa414-37C,289,73.37387718010557,73.35640138408304,95.42630940007193
YPL069C,BTS1,,dma4817,14,72.65512265512267,71.42857142857143,88.24231539667556
YOR196C,LIP5,,dma4586,9,71.71717171717171,66.66666666666667,82.75016207823286
YER090W,TRP2,trp2,tsa646-37C,24,71.46464646464646,70.83333333333333,87.51037358887183
YOL115W,PAP2,,dma4403,54,70.70707070707071,70.37037037037037,92.85069132040509
YLR268W,SEC22,sec22-3,tsa121-37C,5,69.6969696969697,60.0,91.66295176761298
YER090W,TRP2,trp2,tsa863-26C,4,68.93939393939394,75.0,93.56453390723189
YBR135W,CKS1,cks1-38,tsa332-37C,585,68.03418803418802,68.03418803418803,93.52367971711674
YBR160W,CDC28,cdc28-4,tsa150-37C,237,67.79184247538677,67.51054852320675,94.78975223272222
YOR174W,MED4,med4-6,tsa738-26C,9,67.67676767676768,66.66666666666667,90.46985810443542
YJR076C,CDC11,cdc11-2,tsa82-26C,2,66.66666666666666,50.0,93.42323195053733
YNL006W,LST8,lst8-6,tsa466-37C,87,66.4576802507837,66.66666666666667,90.31458890325705
YIL134W,FLX1,,dma2373,22,66.16161616161615,63.63636363636363,96.78107391814962
YGL234W,"ADE5,7","ade5,7",tsa1054-26C,5,64.64646464646465,60.0,84.5184734267354
YMR197C,VTI1,vti1-2,tsa634-37C,271,62.902083566290216,62.730627306273064,92.73813860860638
YGL234W,"ADE5,7","ade5,7",tsa536-26C,7,62.48196248196247,57.142857142857146,83.7529520353185
YDR007W,TRP1,,dma835,22,61.61616161616161,59.09090909090909,88.88818406034781
YJR057W,CDC8,cdc8-2,tsa22-37C,63,60.89466089466089,60.317460317460316,90.19540175032851
YER090W,TRP2,trp2,tsa554-37C,4,60.858585858585855,50.0,88.35341318717389
YML069W,POB3,pob3-7,tsa629-37C,434,60.654936461388075,60.59907834101382,93.6151651684857
YNL118C,DCP2,dcp2-7d,tsa754-37C,30,60.505050505050505,60.0,89.63147425429463
YPL076W,GPI2,gpi2-774,tsa463-37C,161,60.468034381077864,60.24844720496895,94.4909695944727
YIL116W,HIS5,,dma2360,235,60.43842682140554,60.42553191489362,91.2775140167118
YJR057W,CDC8,cdc8-1,tsa407-26C,15,60.202020202020215,60.0,88.9797859054208
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,328,58.95232815964524,58.84146341463415,92.45937568745032
YFR004W,RPN11,rpn11-8,tsa521-37C,119,58.288770053475936,57.983193277310924,91.12527105183827
YGL065C,ALG2,alg2-1,tsa461-37C,515,57.46788271060116,57.47572815533981,92.31242863611021
YLR459W,GAB1,gab1-2,tsa201-37C,125,57.438383838383835,57.6,90.65317818828544
YJR076C,CDC11,cdc11-2,tsa82-37C,105,56.88311688311688,57.142857142857146,93.43167049407964
YFR052W,RPN12,rpn12-1,tsa405-26C,27,56.56565656565656,55.55555555555556,90.65655360570236
YLR299W,ECM38,,dma3345,2903,56.20657139775294,56.2177058215639,99.48839147392839
YOR057W,SGT1,sgt1-5,tsa427-37C,709,55.843341738969386,55.85331452750353,92.43016086773834
YER001W,MNN1,,dma1316,1583,55.40815610303923,55.40113708149084,95.56307200230926
YLR005W,SSL1,ssl1-t242i,tsa752-37C,317,55.19230156454131,55.20504731861199,91.9063310027434
YER090W,TRP2,trp2,tsa863-37C,5,54.94949494949495,60.0,93.06945328713279
YFL029C,CAK1,cak1-23,tsa650-37C,852,54.94024754588136,54.929577464788736,92.03867064422751
YER090W,TRP2,trp2,tsa366-26C,2,54.54545454545454,50.0,76.49714311653455
YJL081C,ARP4,arp4-g161d,tsa618-37C,80,54.50757575757576,55.0,90.73098737943067
YGR116W,SPT6,spt6-14,tsa834-37C,215,53.99107352595725,53.95348837209303,93.84946569470164
