ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YPL217C,BMS1,bms1-1,tsa678-37C,2,98.98989898989899,50.0,99.00932215438743
YNL263C,YIF1,yif1-td,tsa16-37C,2,98.98989898989899,50.0,99.89113896652046
YER069W,"ARG5,6","arg5,6",tsa593-37C,2,98.98989898989899,50.0,99.99618031461475
YDR235W,PRP42,prp42-5001,tsa1085-37C,2,97.97979797979798,50.0,98.6612002724709
YER090W,TRP2,trp2,tsa366-26C,3,97.97979797979798,66.66666666666667,98.87542096116016
YER090W,TRP2,,dma1384,3,96.96969696969697,66.66666666666667,98.02511655345543
YHR178W,STB5,,dma2213,4,94.94949494949495,75.0,97.83052480355146
YLR310C,CDC25,cdc25-1,tsa23-37C,2,91.91919191919192,50.0,93.56977185868013
YJR057W,CDC8,cdc8-1,tsa407-37C,67,91.48198401929744,91.04477611940298,97.11741076260019
YGL234W,"ADE5,7","ade5,7",tsa178-37C,19,90.69643806485911,89.47368421052632,96.88271231615111
YKL184W,SPE1,,dma2883,3,89.8989898989899,66.66666666666667,92.16285440844744
YER090W,TRP2,trp2,tsa211-26C,3,88.88888888888889,66.66666666666667,90.13555639022755
YGL234W,"ADE5,7","ade5,7",tsa536-37C,25,85.8989898989899,84.0,95.51431002688633
YPL055C,LGE1,,dma4805,3,85.85858585858585,66.66666666666667,87.1715866336476
YDR328C,SKP1,skp1-3,tsa809-37C,2,84.84848484848484,50.0,89.22031733097361
YNL118C,DCP2,dcp2-7d,tsa754-37C,61,84.21924159629077,83.60655737704919,95.4096930882793
YOR202W,HIS3,his3,tsa966-26C,2,83.83838383838383,50.0,85.11861184144911
YGL234W,"ADE5,7","ade5,7",tsa579-37C,45,83.23232323232324,82.22222222222223,95.5994041290799
YJR057W,CDC8,cdc8-2,tsa22-26C,30,82.92929292929293,83.33333333333333,95.02995269956264
YER090W,TRP2,trp2,tsa1040-37C,12,81.81818181818183,83.33333333333333,95.83908938700415
YPL175W,SPT14,spt14-1-10c,tsa474-37C,58,80.86032741205155,81.03448275862068,95.55982794439387
YDL143W,CCT4,cct4-1,tsa729-37C,4,80.8080808080808,75.0,87.4533945331814
YEL063C,CAN1,,dma1300,2,79.7979797979798,50.0,89.98510322699754
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,219,79.0092707900927,78.99543378995433,94.60607372417203
YGL116W,CDC20,cdc20-1,tsa898-37C,38,77.9638490164806,76.3157894736842,92.15945913254944
YER090W,TRP2,trp2,tsa366-37C,26,76.34032634032634,76.92307692307692,95.51314290079641
YDR311W,TFB1,tfb1-6,tsa715-37C,314,76.30444573119732,76.11464968152866,94.47694713767632
YGL055W,OLE1,ole1-m2,tsa506-37C,117,75.75757575757575,75.21367521367522,91.98290478585358
YMR197C,VTI1,vti1-2,tsa634-37C,366,75.31048186785891,75.13661202185793,93.95513567310283
YJR057W,CDC8,cdc8-2,tsa22-37C,69,74.65963987703118,73.91304347826087,96.05511381601424
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,26,74.32012432012431,73.07692307692308,94.72756093989724
YMR227C,TAF7,taf7-ts1,tsa638-37C,176,73.80050505050507,73.86363636363636,94.46792843607226
YDL159W,STE7,,dma744,3,73.73737373737373,66.66666666666667,76.27582796985844
YGR157W,CHO2,,dma1899,10,72.82828282828284,70.0,84.17727159872932
YOR080W,DIA2,,dma4493,9,72.72727272727273,66.66666666666667,92.23511012365171
YOR048C,RAT1,rat1-1,tsa914-26C,5,72.72727272727273,60.0,77.40369618222445
YOR020C,HSP10,hsp10-ts,tsa681-37C,71,72.35737658272869,71.83098591549296,93.79640652487146
YPR103W,PRE2,pre2-1-supp1,tsa915-37C,2,71.71717171717171,50.0,89.6122594924487
YGL234W,"ADE5,7","ade5,7",tsa536-26C,14,71.57287157287156,71.42857142857143,89.8011217142748
YDR460W,TFB3,tfb3-ts,tsa951-37C,4,70.95959595959596,75.0,95.86582718470089
YDR172W,SUP35,sup35-td,tsa28-26C,3,70.70707070707071,66.66666666666667,94.40373650112575
YDL195W,SEC31,sec31-1,tsa852-37C,340,70.3475935828877,70.29411764705883,92.00210931515163
