ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YOR212W,STE4,ste4,tsa127-37C,3,98.98989898989899,66.66666666666667,99.98020472149321
YNL138W,SRV2,srv2-2,tsa800-37C,5,98.98989898989899,80.0,99.40863201854371
YDR437W,GPI19,gpi19-2,tsa1014-37C,2,98.98989898989899,50.0,99.42938513310729
YML069W,POB3,pob3-l78r,tsa846-37C,2,98.98989898989899,50.0,99.25978429532002
YCR002C,CDC10,cdc10-5,tsa899-37C,2,97.97979797979798,50.0,98.43253322094724
YGL116W,CDC20,cdc20-1,tsa898-37C,6,96.96969696969697,83.33333333333333,97.88867390790726
YNL006W,LST8,lst8-6,tsa466-37C,3,95.95959595959596,66.66666666666667,96.2546694507768
YLR182W,SWI6,,dma3243,3,94.94949494949495,66.66666666666667,96.06750828528189
YJR057W,CDC8,cdc8-1,tsa407-37C,17,93.93939393939394,94.11764705882354,97.06161440074584
YGL234W,"ADE5,7","ade5,7",tsa178-26C,5,93.93939393939394,80.0,97.31116262140571
YGL234W,"ADE5,7","ade5,7",tsa1054-26C,25,91.95959595959596,92.0,96.82336864555596
YIL134W,FLX1,,dma2373,3,91.91919191919192,66.66666666666667,92.82338141670338
YER069W,"ARG5,6","arg5,6",tsa21-37C,2,89.8989898989899,50.0,99.51182288972753
YBR200W,BEM1,,dma360,241,89.26610503373989,89.2116182572614,99.2648927542895
YER069W,"ARG5,6","arg5,6",tsa183-37C,7,84.7041847041847,85.71428571428571,99.97388300351845
YGL234W,"ADE5,7","ade5,7",tsa820-37C,11,83.83838383838383,81.81818181818181,97.17042457679611
YJR057W,CDC8,cdc8-1,tsa407-26C,15,83.63636363636364,80.0,97.77935288596004
YJR057W,CDC8,cdc8-2,tsa22-37C,25,81.93939393939395,80.0,94.74575838266189
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,58,80.86032741205155,81.03448275862068,96.25818151631833
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,81,80.80808080808082,80.24691358024691,95.08470463528796
YBR135W,CKS1,cks1-38,tsa332-37C,376,79.84633569739952,79.7872340425532,94.22194977107718
YDL008W,APC11,apc11-22,tsa719-37C,35,79.13419913419914,77.14285714285714,92.20417233386334
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,190,78.3625730994152,78.42105263157895,95.05590569784742
YGL234W,"ADE5,7","ade5,7",tsa536-37C,13,78.16627816627818,76.92307692307692,92.35915020785042
YJR057W,CDC8,cdc8-2,tsa22-26C,17,78.13428401663695,76.47058823529412,95.02008262932384
YOR174W,MED4,med4-6,tsa738-37C,113,77.37552516313578,76.99115044247787,97.08428318742297
YFL039C,ACT1,act1-2,tsa789-37C,9,76.76767676767676,77.77777777777777,96.78990823930576
YER157W,COG3,cog3-1,tsa41-37C,154,76.33477633477635,75.97402597402598,95.38437960958602
YBR160W,CDC28,cdc28-4,tsa150-37C,287,75.99690282617111,75.9581881533101,96.46960786191835
YBR160W,CDC28,cdc28-1,tsa174-37C,346,75.8860279091493,75.72254335260115,95.27646341385542
YBR135W,CKS1,cks1-35,tsa923-37C,64,75.56818181818183,75.0,90.94397936182577
YGL137W,SEC27,sec27-1,tsa546-37C,606,74.98749874987499,74.91749174917491,94.417667605346
YGL154C,LYS5,lys5,tsa153-37C,3,74.74747474747475,66.66666666666667,85.3911483177206
YLR357W,RSC2,,dma3387,4,74.74747474747475,75.0,83.43237358160444
YLR045C,STU2,stu2-10,tsa549-37C,45,74.74747474747474,73.33333333333333,93.9245736033154
YJL019W,MPS3,mps3-1,tsa437-26C,7,74.6031746031746,71.42857142857143,89.21444672196573
YPL124W,SPC29,spc29-3,tsa707-37C,145,74.60118425635667,74.48275862068965,95.66662196765068
YOR174W,MED4,med4-54,tsa953-37C,70,74.43001443001442,74.28571428571429,93.78568737508222
YLR268W,SEC22,sec22-3,tsa121-37C,97,74.37259189836509,74.22680412371135,95.77785866171146
YLR195C,NMT1,nmt1-181,tsa690-37C,325,74.25330225330225,74.15384615384616,93.86225040388754
YDR311W,TFB1,tfb1-6,tsa715-37C,128,73.35858585858585,73.4375,94.67768816689336
YNR026C,SEC12,sec12-1,tsa305-37C,483,72.94685990338164,72.87784679089027,94.29991762609912
YMR307W,GAS1,,dma3905,43,72.91519849659385,72.09302325581395,92.46770496095222
YOL123W,HRP1,hrp1-7,tsa943-37C,98,72.5726654298083,72.44897959183673,92.60001404826217
YDR002W,YRB1,yrb1-51,tsa582-37C,726,72.45179063360881,72.45179063360881,94.15311328646322
YLR212C,TUB4,tub4-y445d,tsa717-37C,172,71.81113460183226,71.51162790697674,93.14170226624012
YGL022W,STT3,stt3-2,tsa551-37C,64,71.24368686868688,70.3125,94.09858048696385
YGL116W,CDC20,cdc20-3,tsa368-37C,636,71.10253478178007,71.06918238993711,93.20396160993084
YML069W,POB3,pob3-7,tsa629-37C,201,70.9332127242575,70.64676616915423,94.94147621693071
YFL029C,CAK1,cak1-23,tsa650-37C,763,70.74811019765149,70.7732634338139,94.39487110719463
YNL118C,DCP2,dcp2-7d,tsa754-37C,28,70.63492063492063,71.42857142857143,88.23834792436926
YDL008W,APC11,apc11-22,tsa719-26C,17,70.40998217468805,70.58823529411765,94.496210162002
YOR074C,CDC21,cdc21-1,tsa927-37C,41,70.21433850702144,70.73170731707317,95.29504543335696
YPL076W,GPI2,gpi2-774,tsa463-37C,68,70.14260249554367,69.11764705882354,95.00111747539958
YLR066W,SPC3,spc3-4,tsa623-37C,1077,69.87704341464787,69.82358402971217,93.69539536279638
YLR005W,SSL1,ssl1-t242i,tsa752-37C,169,69.5355926125157,69.23076923076923,95.2156088963813
