ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YNL006W,LST8,lst8-6,tsa466-37C,3,98.98989898989899,66.66666666666667,99.88940186331041
YML069W,POB3,pob3-l78r,tsa846-37C,2,98.98989898989899,50.0,99.9361442628813
YCR002C,CDC10,cdc10-5,tsa899-37C,2,97.97979797979798,50.0,98.55628563948328
YGL154C,LYS5,lys5,tsa153-37C,3,97.97979797979798,66.66666666666667,98.90500181988851
YNL138W,SRV2,srv2-2,tsa800-37C,5,96.96969696969697,80.0,97.53095406856829
YJR057W,CDC8,cdc8-2,tsa22-26C,17,95.95959595959596,94.11764705882354,98.66803317944101
YJR057W,CDC8,cdc8-1,tsa407-26C,15,94.94949494949495,93.33333333333333,96.1638027368569
YJR057W,CDC8,cdc8-2,tsa22-37C,25,89.93939393939394,88.0,97.6965958506542
YBR200W,BEM1,,dma360,241,89.32059181021836,89.2116182572614,98.37876669029329
YJR057W,CDC8,cdc8-1,tsa407-37C,17,85.20499108734403,82.3529411764706,98.083817040542
YLR182W,SWI6,,dma3243,3,83.83838383838383,66.66666666666667,85.02116817685484
YOR212W,STE4,ste4,tsa127-37C,3,82.82828282828282,66.66666666666667,87.19213552741645
YOR074C,CDC21,cdc21-1,tsa927-37C,41,80.98053707809805,80.48780487804878,92.78149205315351
YER069W,"ARG5,6","arg5,6",tsa21-37C,2,80.8080808080808,50.0,91.31638602070203
YBR135W,CKS1,cks1-35,tsa923-37C,64,79.15088383838383,78.125,90.33230525596572
YBR160W,CDC28,cdc28-4,tsa150-37C,287,78.15788547495866,78.04878048780488,94.18587127960511
YBR135W,CKS1,cks1-38,tsa332-37C,376,77.61390500752204,77.65957446808511,93.88108784633755
YCR081W,SRB8,,dma597,5,75.75757575757575,80.0,93.4417603749609
YBR160W,CDC28,cdc28-1,tsa174-37C,346,74.87008816488586,74.85549132947978,94.64109882952434
YGL234W,"ADE5,7","ade5,7",tsa820-37C,11,73.73737373737373,72.72727272727273,86.25313691308595
YDR245W,MNN10,mnn10-supp1,dma1003,21,73.59307359307358,71.42857142857143,90.3434800099615
YDR172W,SUP35,sup35-td,tsa28-26C,26,73.5042735042735,73.07692307692308,93.77240538176153
YFL039C,ACT1,act1-2,tsa789-37C,9,71.71717171717172,66.66666666666667,95.05073338314081
YDR172W,SUP35,sup35-td,tsa28-37C,58,70.88122605363985,70.6896551724138,94.76159460546732
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,58,70.75931731104144,70.6896551724138,90.08473656315651
YGL116W,CDC20,cdc20-3,tsa368-37C,636,70.5641318848866,70.59748427672956,91.33758612542543
YER069W,"ARG5,6","arg5,6",tsa183-37C,7,70.56277056277057,71.42857142857143,88.96617561604822
YPL124W,SPC29,spc29-3,tsa707-37C,145,70.51201671891327,70.34482758620689,93.90439519038588
YOL123W,HRP1,hrp1-7,tsa943-26C,49,69.49082663368378,69.38775510204081,94.01927166146243
YDR182W,CDC1,cdc1-1,tsa31-37C,210,68.94660894660895,69.04761904761905,97.87717987522589
YBR135W,CKS1,cks1-35,tsa923-26C,26,68.45376845376845,69.23076923076923,87.09124346276892
YNL102W,POL1,pol1-2,tsa344-37C,219,67.75978967759791,67.57990867579909,92.06088005976898
YOL123W,HRP1,hrp1-7,tsa943-37C,98,67.6149247577819,67.34693877551021,92.06190175156287
YOR181W,LAS17,las17-13,tsa924-37C,195,66.96192696192695,66.66666666666667,89.55658576144774
YDR437W,GPI19,gpi19-2,tsa1014-37C,2,66.66666666666666,50.0,82.98551113324777
YKL045W,PRI2,pri2-1,tsa19-37C,281,65.97649088752291,65.83629893238434,90.68351181011857
YGL234W,"ADE5,7","ade5,7",tsa1054-26C,25,65.8989898989899,64.0,92.08067533827577
YDL030W,PRP9,prp9-ts,tsa361-37C,330,65.75757575757576,65.75757575757575,94.04966699233093
YDR159W,SAC3,,dma960,83,64.98722161372763,65.06024096385542,95.20998959151486
YER090W,TRP2,trp2,tsa1040-37C,4,64.64646464646465,50.0,76.78588532786728
YGR157W,CHO2,,dma1899,8,64.26767676767676,62.5,83.05875366372291
YLR005W,SSL1,ssl1-t242i,tsa752-37C,169,64.21014882553344,63.905325443786985,95.33521069200462
YLR268W,SEC22,sec22-3,tsa121-37C,97,64.14662084765177,63.91752577319588,93.62796370439902
YGL075C,MPS2,mps2-1,tsa443-26C,6,63.63636363636363,66.66666666666667,82.10340798069002
YER157W,COG3,cog3-1,tsa41-37C,154,63.63636363636363,63.63636363636363,96.09432769487175
YGL234W,"ADE5,7","ade5,7",tsa178-26C,5,63.63636363636363,60.0,89.60109321021947
YKL196C,YKT6,ykt6-5001,tsa1089-37C,596,63.5600976205003,63.59060402684564,95.35692164262498
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,81,62.62626262626263,62.96296296296296,91.75558578060446
YDR235W,PRP42,prp42-5001,tsa1085-37C,40,62.34848484848485,62.5,89.55760745324163
YDL028C,MPS1,mps1-6,tsa170-37C,175,62.04329004329004,61.714285714285715,88.35392680855412
YDL008W,APC11,apc11-22,tsa719-37C,35,61.991341991342,62.857142857142854,90.73798075388083
YLR357W,RSC2,,dma3387,4,61.61616161616161,50.0,80.13128739551605
YDR052C,DBF4,dbf4-2,tsa162-37C,683,61.466790895780655,61.49341142020498,93.17963257408861
YLR268W,SEC22,sec22-1,tsa313-37C,368,61.3252086078173,61.41304347826087,94.56057674501766
YGR172C,YIP1,yip1-4,tsa980-37C,62,61.07852720755946,61.29032258064516,96.00384411537455
YLR440C,SEC39,sec39-1,tsa725-37C,629,61.01074336368454,61.049284578696344,94.77270550372599
YFR031C,SMC2,smc2-8,tsa522-26C,51,60.36838978015449,60.78431372549019,94.22514255793311
YGL075C,MPS2,mps2-1,tsa443-37C,21,60.028860028860024,61.904761904761905,95.38348562926636
YMR213W,CEF1,cef1-13,tsa702-37C,562,59.403644990833605,59.430604982206404,94.49991379475489
YDR331W,GPI8,gpi8-ts,tsa371-26C,7,59.307359307359306,57.142857142857146,89.70319853387228
YER151C,UBP3,,dma1447,73,59.11166459111665,58.9041095890411,92.2907607133963
YER090W,TRP2,trp2,tsa134-37C,87,58.82967607105538,58.62068965517241,89.04765553661169
YDR331W,GPI8,gpi8-ts,tsa371-37C,23,58.45410628019323,56.52173913043478,89.96487934458472
YGL130W,CEG1,ceg1-c354,tsa124-26C,59,58.41465502482451,57.6271186440678,92.82657420355932
YNR026C,SEC12,sec12-1,tsa305-37C,483,58.221971265449525,58.178053830227746,94.64173738689553
YDR182W,CDC1,cdc1-6,tsa414-37C,116,57.558342041100666,57.758620689655174,95.47575716940288
YJL019W,MPS3,mps3-1,tsa437-26C,7,57.431457431457424,57.142857142857146,80.60215960102936
YER125W,RSP5,rsp5-1,tsa182-37C,100,56.84848484848485,57.0,92.67670478854173
YNL138W,SRV2,srv2-ts,tsa675-37C,59,56.71973977058722,55.932203389830505,93.15338786613283
YNL262W,POL2,pol2-12,tsa20-37C,230,56.62714097496706,56.52173913043478,90.8963429819352
YLR310C,CDC25,cdc25-1,tsa23-26C,83,56.16405013995376,56.626506024096386,93.48013767296922
YKR068C,BET3,bet3-5001,tsa1090-37C,433,56.12475797233303,56.12009237875289,94.25662343633263
YHR058C,MED6,med6-ts,tsa1053-37C,64,56.076388888888886,56.25,94.28752961309809
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,190,56.07123870281765,55.78947368421053,94.3824830941936
YLR212C,TUB4,tub4-d,tsa718-37C,192,55.83964646464648,55.729166666666664,90.57067872262984
YER090W,TRP2,trp2,tsa863-37C,10,55.757575757575765,60.0,83.89883974125655
YBR135W,CKS1,cks1-38,tsa332-26C,218,55.75479566305255,55.5045871559633,87.68401627044182
YGL137W,SEC27,sec27-1,tsa546-37C,606,55.72057205720571,55.775577557755774,95.52039232964886
YGR006W,PRP18,prp18-1202,tsa430-37C,192,55.713383838383834,55.729166666666664,95.60640600754775
YLL003W,SFI1,sfi1-7,tsa459-37C,116,55.6078021595263,55.172413793103445,92.82740432814187
YDR238C,SEC26,sec26-11d26,tsa722-37C,756,55.57960557960557,55.55555555555556,94.3551528387068
YLR005W,SSL1,ssl1-t242i,tsa752-26C,78,55.55555555555555,55.12820512820513,92.67542767379935
YPL082C,MOT1,mot1-1033,tsa363-37C,332,55.36692223439211,55.42168674698795,96.39285326590168
YFR031C,SMC2,smc2-8,tsa522-37C,218,55.12000741358539,55.04587155963303,90.67201777743722
YDL008W,APC11,apc11-22,tsa719-26C,17,55.080213903743314,52.94117647058823,92.26624011034271
YPL255W,BBP1,bbp1-1,tsa691-37C,438,54.91213504912136,54.794520547945204,91.73400254145834
YLR459W,GAB1,gab1-2,tsa201-26C,46,54.87483530961792,54.34782608695652,92.66533846733459
YBR193C,MED8,med8-39,tsa751-37C,280,54.66450216450216,54.642857142857146,93.94673154409558
YDL014W,NOP1,nop1-2,tsa803-37C,234,54.39005439005439,54.27350427350427,88.10597498132219
YGR009C,SEC9,sec9-4,tsa57-37C,1063,54.33925330444615,54.37441204139228,95.79222620256317
YDR052C,DBF4,dbf4-1,tsa161-37C,1072,54.33156188753204,54.291044776119406,93.00856305434762
YBR109C,CMD1,cmd1-3,tsa155-37C,224,54.32900432900433,54.464285714285715,89.38736805808318
YGL130W,CEG1,ceg1-c354,tsa124-37C,177,54.28864920390344,54.23728813559322,91.19180347758345
YDL028C,MPS1,mps1-6,tsa170-26C,53,54.04993329521632,54.716981132075475,93.56193687221828
YDR173C,ARG82,,dma953,12,54.04040404040404,50.0,86.92228118235283
YPR055W,SEC8,sec8-9,tsa122-37C,521,54.03749588010625,53.93474088291747,95.19804856867366
YGL234W,"ADE5,7","ade5,7",tsa536-37C,13,53.923853923853926,53.84615384615385,86.38282791517403
YGL044C,RNA15,rna15-58,tsa652-37C,683,53.838531730186205,53.879941434846266,94.73745713683645
YLL003W,SFI1,sfi1-7,tsa459-26C,22,53.535353535353536,54.54545454545455,91.56216675287192
YBR289W,SNF5,,dma449,48,53.47222222222222,54.166666666666664,96.16974132040893
YLR212C,TUB4,tub4-y445d,tsa717-37C,172,53.35917312661499,53.48837209302326,91.13446102565085
YLR045C,STU2,stu2-10,tsa549-37C,45,53.333333333333336,53.333333333333336,88.26548661264471
YBL105C,PKC1,pkc1-2,tsa538-37C,483,53.29694460129243,53.20910973084886,93.39495411965288
YPL076W,GPI2,gpi2-774,tsa463-37C,68,52.86690433749257,52.94117647058823,90.04176165207564
YKR062W,TFA2,tfa2-45,tsa692-37C,311,52.83705219396537,52.733118971061096,93.44731582409021
YMR307W,GAS1,,dma3905,43,52.80714117923419,53.48837209302326,89.00985294023742
YBR070C,ALG14,alg14-5001,tsa1061-37C,102,52.64408793820559,52.94117647058823,93.47407137794295
YDR052C,DBF4,dbf4-ts,tsa95-37C,609,52.589938796835355,52.545155993431855,92.21292056984859
YJR065C,ARP3,arp3-d11a,tsa341-37C,114,52.39234449760766,52.63157894736842,92.2699437430956
YDR189W,SLY1,sly1-ts,tsa251-37C,512,52.23129734848485,52.1484375,94.44831835916298
YML069W,POB3,pob3-7,tsa629-37C,201,52.088044625358066,52.23880597014925,93.99724143215647
YBR160W,CDC28,cdc28-13,tsa175-37C,852,52.005975245411875,51.99530516431925,92.97280384156115
YDR013W,PSF1,psf1-1,tsa583-37C,717,51.94201428511052,51.88284518828452,90.36940543923168
YBL105C,PKC1,pkc1-4,tsa539-37C,389,51.83194411986185,51.9280205655527,92.54050050126753
YFL039C,ACT1,act1-124,tsa72-37C,69,51.82257356170399,52.17391304347826,90.66793101026161
YML069W,POB3,pob3-q308k,tsa847-26C,67,51.53022764963063,52.23880597014925,94.48714264733115
YLR440C,SEC39,sec39-2,tsa726-37C,642,51.52931180968563,51.557632398753896,92.65256731991086
YLR298C,YHC1,yhc1-6,tsa842-26C,9,51.515151515151516,55.55555555555556,88.03100834594484
YLR249W,YEF3,yef3-f650s,tsa584-37C,210,51.414141414141426,51.42857142857143,91.40431537071449
YPR055W,SEC8,sec8-6,tsa364-37C,630,51.284271284271284,51.26984126984127,96.01380561036507
YOR249C,APC5,apc5-ca-paps,tsa745-37C,679,51.05844899659333,51.10456553755523,91.74849779378428
YOR244W,ESA1,esa1-l254p,tsa560-37C,834,51.01736792384275,50.959232613908874,95.26771517787016
YER157W,COG3,cog3-1,tsa41-26C,68,50.92097445038621,51.470588235294116,98.21944662618213
YJL019W,MPS3,mps3-1,tsa437-37C,26,50.85470085470085,50.0,90.08856790738363
YBR193C,MED8,med8-51,tsa741-37C,513,50.806308701045545,50.87719298245614,94.63567109186926
YFL005W,SEC4,sec4-8,tsa307-37C,1047,50.78000636739891,50.811843361986625,95.56483592268347
YGL130W,CEG1,ceg1-3,tsa94-37C,151,50.692354003612294,50.99337748344371,94.64020484920468
YJR073C,OPI3,,dma2664,16,50.56818181818182,50.0,85.63552422367387
YOR046C,DBP5,dbp5-1,tsa641-26C,75,50.54545454545454,50.666666666666664,90.59283666341003
YHR058C,MED6,med6-ts,tsa1053-26C,55,50.505050505050505,50.90909090909091,92.29772098874223
YFL029C,CAK1,cak1-23,tsa650-37C,763,50.48519268702755,50.45871559633027,91.12896943225864
YKL139W,CTK1,ctk1-supp1,dma2867,52,50.33022533022533,50.0,93.22286290811797
YLR208W,SEC13,sec13-1,tsa52-37C,273,50.14985014985015,50.18315018315018,93.7648065490444
YDR145W,TAF12,taf12-9,tsa514-37C,593,50.106460899041004,50.084317032040474,95.5837372208706
YJR076C,CDC11,cdc11-4,tsa126-37C,197,49.869250884479314,49.746192893401016,90.89736467372911
YNL287W,SEC21,sec21-1,tsa46-37C,176,49.74747474747474,50.0,93.5295620134991
YDR062W,LCB2,lcb2-16,tsa585-37C,342,49.65443912812334,49.707602339181285,95.20456185385976
YDR356W,SPC110,spc110-220,tsa301-37C,523,49.641732815728986,49.7131931166348,90.87603685753146
YPL190C,NAB3,nab3-11,tsa861-37C,53,49.47589098532495,49.056603773584904,89.68921412744328
YBR160W,CDC28,cdc28-1,tsa174-26C,260,49.17637917637918,49.23076923076923,92.61751052023268
YGL061C,DUO1,duo1-2,tsa239-37C,767,48.99845916795069,49.02216427640156,88.90717291495055
YER090W,TRP2,trp2,tsa723-37C,2,48.989898989899,50.0,96.77643467877371
YPR135W,CTF4,,dma5136,141,48.97915323447238,48.93617021276596,91.5860487985543
YGL145W,TIP20,tip20-5,tsa271-37C,472,48.89573703133025,48.940677966101696,93.7907319783146
YFL039C,ACT1,act1-119,tsa215-37C,97,48.828491096532346,48.45360824742268,93.18703983959439
YJR065C,ARP3,arp3-h161a,tsa297-37C,170,48.775995246583484,48.8235294117647,88.15840054149665
YER136W,GDI1,gdi1-1,tsa64-37C,1606,48.740832987408325,48.7546699875467,94.78617906425802
YLR045C,STU2,stu2-11,tsa545-37C,916,48.655771690706196,48.68995633187773,89.4564599656456
YLR045C,STU2,stu2-12,tsa550-37C,906,48.54505318081477,48.565121412803535,89.5657171318557
YER090W,TRP2,trp2,tsa134-26C,35,48.542568542568546,48.57142857142857,88.9363549868138
YER048C,CAJ1,,dma1353,554,48.45932246654268,48.375451263537904,91.09244395062674
YBR080C,SEC18,sec18-1,tsa54-37C,1464,48.315118397085605,48.29234972677595,95.23878852895538
YLL050C,COF1,cof1-8,tsa248-37C,316,48.248305843242555,48.10126582278481,96.09828675057311
YBR058C-A,TSC3,tsc3-2,tsa571-37C,555,48.239148239148236,48.288288288288285,95.5635588079411
YCR002C,CDC10,cdc10-5,tsa899-26C,12,48.23232323232324,50.0,95.49114640204849
YDR238C,SEC26,sec26-f856aw860a,tsa721-37C,682,47.86575431736723,47.800586510263926,94.09340817225724
YDL145C,COP1,cop1-1,tsa704-37C,428,47.85707542716888,47.89719626168224,93.70976290364808
YGL116W,CDC20,cdc20-2,tsa417-37C,543,47.759361571516266,47.697974217311234,90.52808694597167
YDL102W,POL3,cdc2-1,tsa406-37C,85,47.71241830065359,48.23529411764706,94.09787807385554
YLR045C,STU2,stu2-10,tsa549-26C,25,47.67676767676768,48.0,85.23259452245487
YIL068C,SEC6,sec6-4,tsa38-37C,2672,47.60857073731326,47.604790419161674,96.39093759378811
YFL039C,ACT1,act1-125,tsa140-37C,52,47.5912975912976,48.07692307692308,93.48780036142347
YDL220C,CDC13,cdc13-1,tsa881-37C,894,47.46457867263236,47.427293064876956,90.62329585001565
YDL006W,PTC1,,dma620,268,47.38052163425298,47.38805970149254,93.35172378562352
YOR259C,RPT4,rpt4-145,tsa263-37C,173,47.27623051322474,47.39884393063584,90.63759953513024
YLR195C,NMT1,nmt1-181,tsa690-37C,325,47.22299922299922,47.38461538461539,91.89000210723933
YAL041W,CDC24,cdc24-1,tsa408-37C,799,47.21179251842581,47.18397997496871,94.8868157059571
YGL097W,SRM1,srm1-ts,tsa955-37C,641,47.200554688854226,47.269890795631824,91.236757916515
YFR051C,RET2,ret2-1,tsa823-37C,526,47.16941275876637,47.148288973384034,94.13101920142014
YDR062W,LCB2,lcb2-19,tsa587-37C,1492,47.14233487691933,47.11796246648794,96.65810999789277
YDL098C,SNU23,snu23-5001,tsa1079-37C,554,47.126499653575465,47.111913357400724,92.35953334227314
YDR228C,PCF11,pcf11-2,tsa685-37C,950,47.079213184476345,47.05263157894737,94.12067457200692
YBL050W,SEC17,sec17-1,tsa45-37C,955,46.97339891057169,47.01570680628272,95.32652631175648
YJR068W,RFC2,rfc2-1,tsa342-37C,167,46.97272122421822,46.706586826347305,93.48000996149499
YDR182W,CDC1,cdc1-1,tsa31-26C,100,46.949494949494955,47.0,96.42395100987848
YER013W,PRP22,prp22-1,tsa237-37C,576,46.606691919191924,46.52777777777778,93.66551087782481
YPL190C,NAB3,nab3-11,tsa861-26C,22,46.46464646464647,45.45454545454545,94.5508068172385
YMR224C,MRE11,,dma3806,45,46.464646464646464,46.666666666666664,94.26032706908552
YGL022W,STT3,stt3-2,tsa551-37C,64,46.43308080808081,46.875,93.73971124435676
YJR065C,ARP3,arp3-h161a,tsa297-26C,92,46.256038647343,46.73913043478261,92.82893686583272
YOR174W,MED4,med4-54,tsa953-37C,70,46.20490620490621,45.714285714285715,95.2695669942466
YOR046C,DBP5,dbp5-1,tsa641-37C,261,46.18599791013584,46.36015325670498,91.20968308397669
YGR274C,TAF1,taf1-2,tsa525-37C,1055,46.116137680118726,46.161137440758296,95.7455476587294
YPL085W,SEC16,sec16-2,tsa119-37C,1220,45.914058618976654,45.90163934426229,93.74980045082151
YNL006W,LST8,lst8-15,tsa467-37C,163,45.91311891925389,46.012269938650306,92.23214114672133
YER069W,"ARG5,6",,dma1377,204,45.855614973262036,46.07843137254902,87.34787967024897
YNL061W,NOP2,nop2-10,tsa941-37C,134,45.816372682044324,45.52238805970149,88.50430706946865
YMR236W,TAF9,taf9-ts2,tsa730-37C,903,45.74314574314574,45.736434108527135,94.66453388504691
YDR082W,STN1,stn1-13,tsa599-37C,419,45.74142378438321,45.82338902147971,90.64219714820278
YER119C-A,,,dma1409,38,45.614035087719294,44.73684210526316,81.11613442909778
YLL003W,SFI1,sfi1-3,tsa475-37C,792,45.58080808080808,45.58080808080808,89.58123407597556
YKL112W,ABF1,abf1-103,tsa335-37C,116,45.28909787530477,45.689655172413794,87.61364724813701
YDL140C,RPO21,rpo21-1,tsa804-26C,49,45.24840239125953,44.89795918367347,90.09872096958551
YOR151C,RPB2,rpb2-6,tsa693-37C,107,45.2468611347116,44.85981308411215,86.43761613762189
YOL135C,MED7,med7-163,tsa739-37C,625,45.18787878787878,45.12,93.8695938136562
YDR062W,LCB2,lcb2-2,tsa575-37C,534,45.10838724321871,45.1310861423221,95.26369226643168
YJL085W,EXO70,exo70-29/37,tsa856-37C,694,45.086309783716125,45.10086455331412,97.38964132232461
YIR006C,PAN1,pan1-4,tsa353-37C,360,45.050505050505045,45.0,93.94807251457507
YNR011C,PRP2,prp2-1,tsa338-37C,786,45.0420232862981,45.038167938931295,95.13962056921004
YNR035C,ARC35,arc35-6,tsa471-37C,213,45.027742210840806,45.070422535211264,91.37040797430446
YNR026C,SEC12,sec12-4,tsa60-37C,1337,45.019378527231936,45.026178010471206,94.67692189804794
