ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YER093C,TSC11,tsc11-5,tsa811-26C,22,100.0,100.0,100.0
YPR103W,PRE2,pre2-75,tsa918-26C,31,98.98989898989899,96.7741935483871,100.0
YPR103W,PRE2,pre2-75,tsa918-37C,95,98.98989898989899,98.94736842105263,99.99927328530153
YER093C,TSC11,tsc11-5,tsa811-37C,36,96.96969696969697,94.44444444444444,99.99945496397615
YGL234W,"ADE5,7","ade5,7",tsa820-37C,5,93.93939393939394,80.0,96.08276553700885
YGL154C,LYS5,lys5,tsa359-37C,2,91.91919191919192,50.0,94.01744236395447
YER090W,TRP2,trp2,tsa863-37C,7,91.91919191919192,85.71428571428571,96.22271867602271
YER069W,"ARG5,6","arg5,6",tsa183-37C,2,90.9090909090909,50.0,91.88205178205584
YER090W,TRP2,trp2,tsa134-37C,2,88.88888888888889,50.0,94.46479582042153
YER090W,TRP2,trp2,tsa646-37C,4,83.83838383838383,75.0,98.05391859705306
YGL234W,"ADE5,7","ade5,7",tsa1054-26C,6,78.78787878787878,66.66666666666667,95.94777828176788
YOL123W,HRP1,hrp1-4,tsa858-37C,23,77.16293368467282,73.91304347826087,92.62227126200669
YOR259C,RPT4,rpt4-145,tsa263-37C,90,76.16161616161617,75.55555555555556,97.99844604173644
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,18,73.73737373737374,72.22222222222223,89.94475151504875
YDR182W,CDC1,cdc1-4,tsa807-37C,90,72.22222222222221,72.22222222222223,93.54186815336345
YPR181C,SEC23,sec23-1,tsa900-37C,371,72.18002123662501,72.23719676549865,93.13575575603461
YLR298C,YHC1,yhc1-7,tsa647-37C,23,71.40974967061923,69.56521739130434,90.48058248605464
YDL195W,SEC31,sec31-1,tsa852-37C,504,70.4004329004329,70.43650793650794,93.76745250768046
YJR057W,CDC8,cdc8-2,tsa22-26C,38,69.27166400850612,68.42105263157895,92.82205724452798
YJR057W,CDC8,cdc8-2,tsa22-37C,32,69.22348484848484,68.75,95.6119149719579
