ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YER090W,TRP2,trp2,tsa554-37C,2,98.98989898989899,50.0,99.86613344087466
YGL234W,"ADE5,7","ade5,7",tsa579-37C,5,98.98989898989899,80.0,99.74503741542323
YDR103W,STE5,,dma907,4,98.98989898989899,75.0,99.8370076623202
YDR127W,ARO1,,dma916,2,98.98989898989899,50.0,99.91575928664247
YER090W,TRP2,trp2,tsa211-26C,2,98.98989898989899,50.0,99.92494510910964
YLR058C,SHM2,,dma3151,5,98.98989898989899,80.0,99.95418290988933
YGL234W,"ADE5,7","ade5,7",tsa310-26C,2,97.97979797979798,50.0,98.54516736120446
YLR310C,CDC25,cdc25-1,tsa23-26C,2,97.97979797979798,50.0,98.46238293677466
YER069W,"ARG5,6","arg5,6",tsa183-37C,2,97.97979797979798,50.0,98.98059775059372
YJR057W,CDC8,cdc8-2,tsa22-26C,33,96.96969696969697,96.96969696969697,99.02114979611954
YCR053W,THR4,,dma569,6,96.96969696969697,83.33333333333333,97.51859568938477
YOR212W,STE4,ste4,tsa1022-37C,5,95.95959595959596,80.0,96.63810099923825
YFL039C,ACT1,act1-2,tsa789-37C,2,95.95959595959596,50.0,97.02905856521934
YGL234W,"ADE5,7","ade5,7",tsa536-37C,14,95.95959595959596,92.85714285714286,99.12432226553749
YFL039C,ACT1,act1-2,tsa789-26C,2,95.95959595959596,50.0,96.55498050813281
YNL118C,DCP2,dcp2-7d,tsa754-37C,81,92.92929292929293,92.5925925925926,96.95803647443653
YER090W,TRP2,trp2,tsa211-37C,24,92.80303030303031,91.66666666666667,97.83214589774612
YJR057W,CDC8,cdc8-1,tsa407-37C,40,92.44949494949495,92.5,97.46415288793297
YER125W,RSP5,rsp5-sm1,tsa464-26C,7,90.9090909090909,85.71428571428571,92.42012815342564
YNL118C,DCP2,dcp2-7d,tsa754-26C,9,89.8989898989899,88.88888888888889,98.18109512927364
YJR057W,CDC8,cdc8-1,tsa407-26C,22,87.87878787878788,86.36363636363636,90.6391988170453
YOR057W,SGT1,sgt1-5,tsa427-37C,334,87.65196878969334,87.42514970059881,96.23728547743872
YDR182W,CDC1,cdc1-1,tsa31-37C,176,87.5,87.5,96.0858314289555
YBR135W,CKS1,cks1-35,tsa923-26C,49,86.84807256235827,85.71428571428571,95.09073800241968
YBR135W,CKS1,cks1-35,tsa923-37C,59,86.14963191234378,84.7457627118644,95.93157682484205
YNL138W,SRV2,srv2-ts,tsa675-37C,83,85.46914932457102,85.5421686746988,94.23589640184612
YJR057W,CDC8,cdc8-2,tsa22-37C,36,83.58585858585859,83.33333333333333,95.31209391943362
YLR305C,STT4,stt4-4,tsa123-37C,333,83.29238329238329,83.18318318318319,95.58318770444056
YOR020C,HSP10,hsp10-ts,tsa681-37C,280,83.23593073593074,83.21428571428571,94.37480396110588
YDR331W,GPI8,gpi8-ts,tsa371-37C,30,82.52525252525253,80.0,92.35392301832684
YPL069C,BTS1,,dma4817,9,81.81818181818183,77.77777777777777,89.46509387462473
