ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YER090W,TRP2,trp2,tsa1040-37C,2,98.98989898989899,50.0,99.87694680712579
YER090W,TRP2,trp2,tsa863-37C,6,98.98989898989899,83.33333333333333,99.74284093225688
YGL234W,"ADE5,7","ade5,7",tsa310-37C,6,98.98989898989899,83.33333333333333,99.25179483274836
YNL118C,DCP2,dcp2-7d,tsa754-37C,4,97.97979797979798,75.0,99.00924986675378
YNL272C,SEC2,sec2-41,tsa56-37C,20,97.97979797979798,95.0,98.98180237313363
YER090W,TRP2,trp2,tsa723-26C,2,97.97979797979798,50.0,98.22211469736528
YPL255W,BBP1,bbp1-2,tsa864-37C,3,95.95959595959596,66.66666666666667,97.11426753876421
YFL039C,ACT1,act1-120,tsa74-37C,2,95.95959595959596,50.0,97.78369164490925
YGL154C,LYS5,lys5,tsa65-26C,2,95.95959595959596,50.0,96.31221124868289
YPL175W,SPT14,spt14-1-10c,tsa474-26C,10,94.94949494949495,90.0,95.43818971805837
YJR057W,CDC8,cdc8-1,tsa407-37C,7,93.93939393939394,85.71428571428571,96.05726271733872
YAL003W,EFB1,efb1-4,tsa987-37C,2,93.93939393939394,50.0,94.7889060546592
YGL065C,ALG2,alg2-1,tsa461-37C,259,92.24679224679225,91.89189189189189,97.03966193530006
YFL005W,SEC4,sec4-8,tsa307-37C,1385,91.98920614083069,91.985559566787,97.58247142881704
YGL234W,"ADE5,7","ade5,7",tsa536-37C,2,91.91919191919192,50.0,94.7551953745754
YFL039C,ACT1,act1-120,tsa74-26C,3,91.91919191919192,66.66666666666667,94.49392225297869
YPL085W,SEC16,sec16-2,tsa119-37C,902,91.51268785415127,91.46341463414635,97.6148926293348
YLR195C,NMT1,nmt1-181,tsa690-37C,335,91.48198401929744,91.34328358208955,97.48379554012001
YNL118C,DCP2,dcp2-7d,tsa754-26C,13,90.9090909090909,84.61538461538461,92.80894088288824
YPR181C,SEC23,sec23-1,tsa900-37C,519,90.71057394756816,90.5587668593449,96.68622172662542
YDR164C,SEC1,sec1-1,tsa36-37C,1515,90.5930593059306,90.56105610561056,97.47360251116935
YCR002C,CDC10,cdc10-5,tsa899-26C,3,89.8989898989899,66.66666666666667,91.0056958154546
YLR166C,SEC10,sec10-2,tsa63-37C,874,89.72563160206181,89.7025171624714,96.838810141941
YJR057W,CDC8,cdc8-2,tsa22-37C,12,89.64646464646464,83.33333333333333,98.22696559668518
YDL195W,SEC31,sec31-1,tsa852-37C,606,89.29892989298929,89.27392739273927,96.27721108903303
YDR498C,SEC20,sec20-1,tsa55-37C,551,89.2445324387248,89.11070780399274,97.08196914582417
YLR440C,SEC39,sec39-1,tsa725-37C,485,88.99094033114652,88.8659793814433,96.5117735624759
YDR062W,LCB2,lcb2-16,tsa585-37C,525,88.92929292929293,88.76190476190476,97.15276771437905
YBL050W,SEC17,sec17-1,tsa45-37C,596,88.90244729170902,88.75838926174497,96.57323875512415
YJL019W,MPS3,mps3-7,tsa929-37C,4,88.88888888888889,75.0,90.39239477232704
YPR055W,SEC8,sec8-9,tsa122-37C,462,88.45598845598846,88.31168831168831,96.86515236736167
YDL145C,COP1,cop1-1,tsa704-37C,305,88.3391289948667,88.19672131147541,95.82220901358498
YLR305C,STT4,stt4-4,tsa123-37C,299,88.25377521029696,87.95986622073579,97.72136679921698
YLR268W,SEC22,sec22-3,tsa121-37C,134,88.18784863560984,88.05970149253731,96.77163439692883
YNR026C,SEC12,sec12-1,tsa305-37C,613,88.09794519419316,88.09135399673735,96.66141459592623
YBR080C,SEC18,sec18-1,tsa54-37C,525,88.03463203463204,88.0,96.7249675173957
YER090W,TRP2,trp2,tsa554-37C,3,87.87878787878788,66.66666666666667,97.53574314549505
YER136W,GDI1,gdi1-1,tsa64-37C,985,87.65010511203405,87.61421319796955,96.07242945318698
YGR120C,COG2,cog2-1,tsa187-37C,890,87.6495289978436,87.64044943820225,96.24859692342456
YLR268W,SEC22,sec22-1,tsa313-37C,486,86.9435091657314,86.83127572016461,96.2812023353089
YPL175W,SPT14,spt14-1-10c,tsa474-37C,9,86.86868686868688,77.77777777777777,98.34203629700767
YPR055W,SEC8,sec8-6,tsa364-37C,832,86.1985236985237,86.17788461538461,96.39909760991893
YDR170C,SEC7,sec7-1,tsa44-37C,1458,86.18905100386583,86.14540466392319,96.51515077086316
YNL287W,SEC21,sec21-1,tsa46-37C,307,86.15470667587931,85.99348534201954,97.43080407033436
YDR238C,SEC26,sec26-f856aw860a,tsa721-37C,237,86.10152154455952,86.07594936708861,96.0705873395212
YLR440C,SEC39,sec39-2,tsa726-37C,689,85.96267464191992,85.92162554426706,95.7972176715192
YOR257W,CDC31,cdc31-1,tsa891-37C,5,85.85858585858585,80.0,90.76640525026956
YGL145W,TIP20,tip20-5,tsa271-37C,873,85.73362490888265,85.6815578465063,96.29471116885796
YDR373W,FRQ1,frq1-1,tsa399-37C,1077,85.69820770377873,85.70102135561746,95.79826153592981
YDR166C,SEC5,sec5-24,tsa51-37C,1053,85.65138565138565,85.66001899335232,96.42722054521653
YBR135W,CKS1,cks1-35,tsa923-37C,38,85.64593301435406,84.21052631578948,94.2944827467634
YKR068C,BET3,bet3-5001,tsa1090-37C,441,85.54937126365698,85.4875283446712,96.29022869227123
YIL068C,SEC6,sec6-4,tsa38-37C,1076,85.389208065788,85.31598513011153,96.31153580700544
YIL004C,BET1,bet1-1,tsa792-37C,511,84.90580956334381,84.93150684931507,96.11633316222144
YER069W,"ARG5,6","arg5,6",tsa593-37C,3,84.84848484848484,66.66666666666667,90.33289450092228
YMR296C,LCB1,lcb1-2,tsa603-37C,321,84.13102992542245,84.11214953271028,96.03724508217056
YNR026C,SEC12,sec12-4,tsa60-37C,726,84.02203856749311,84.02203856749311,96.43115038770352
YGR009C,SEC9,sec9-4,tsa57-37C,459,83.79877203406615,83.66013071895425,96.46516808673162
YDL058W,USO1,uso1-1,tsa441-37C,1111,83.5883588358836,83.52835283528353,96.5987213275008
YDR062W,LCB2,lcb2-2,tsa575-37C,1178,83.1927080653736,83.1918505942275,96.32639552390941
YER003C,PMI40,pmi40-5001,tsa1081-37C,1438,83.15702223908066,83.10152990264255,95.78475270238074
YOR057W,SGT1,sgt1-5,tsa427-37C,849,83.15308562658386,83.15665488810365,95.9482709921133
YDL008W,APC11,apc11-22,tsa719-37C,37,83.12858312858313,81.08108108108108,95.42590896028649
YMR079W,SEC14,sec14-3,tsa53-37C,1093,83.12493646436921,83.07410795974383,95.42081244581115
YGL233W,SEC15,sec15-1,tsa40-37C,1277,82.78082310971897,82.77212216131558,95.7703228119988
YFL039C,ACT1,act1-111,tsa214-37C,215,82.77660324171953,82.79069767441861,96.37772909139585
YDR238C,SEC26,sec26-11d26,tsa722-37C,503,82.16157599855413,82.10735586481114,95.35738233191941
YIL046W,MET30,met30-6,tsa948-37C,92,81.98287220026351,81.52173913043478,95.52894451799254
YGR172C,YIP1,yip1-4,tsa980-37C,399,81.87134502923976,81.70426065162907,94.68795822577437
YER008C,SEC3,sec3-2,tsa43-37C,1090,81.46047632286164,81.46788990825688,95.53219891880208
YDL207W,GLE1,gle1-4,tsa920-37C,8,81.43939393939394,75.0,94.48428185812777
YOL123W,HRP1,hrp1-1,tsa960-37C,133,79.8435482646009,79.69924812030075,92.85339722602244
YML130C,ERO1,ero1-1,tsa203-37C,1691,79.19048557723897,79.183914843288,94.84208173581143
YJL005W,CYR1,cdc35-1,tsa354-37C,2591,79.17616925721904,79.15862601312234,95.21339044704415
YIL046W,MET30,met30-6,tsa948-26C,42,79.004329004329,78.57142857142857,95.79463871238711
YBL040C,ERD2,erd2-5001,tsa1072-37C,70,78.47041847041847,78.57142857142857,93.96885845444207
YKL196C,YKT6,ykt6-5001,tsa1089-37C,658,78.44708483006355,78.419452887538,95.57020786410605
YPR183W,DPM1,dpm1-6,tsa330-37C,2001,78.33356049248104,78.31084457771115,94.45118521593257
YOR181W,LAS17,las17-1,tsa912-37C,67,77.86823458465248,77.61194029850746,92.28541217907309
YPR103W,PRE2,pre2-1-supp1,tsa915-37C,2,77.77777777777779,50.0,93.24282005496867
YOR204W,DED1,ded1-f144c,tsa932-26C,4,77.77777777777779,75.0,82.26959456306292
YJR057W,CDC8,cdc8-2,tsa22-26C,22,77.27272727272727,77.27272727272727,95.45151434024085
YLR459W,GAB1,gab1-2,tsa201-26C,76,76.64805954279639,76.3157894736842,93.66423425791065
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,71,76.61118224498506,76.05633802816901,95.0155474393392
YBR058C-A,TSC3,tsc3-2,tsa571-37C,720,76.52777777777777,76.52777777777777,95.26220645918735
YNL006W,LST8,lst8-6,tsa466-37C,71,75.78602930715607,76.05633802816901,90.09538464561417
YFR052W,RPN12,rpn12-1,tsa405-37C,153,75.51990493166963,75.16339869281046,95.3014434802685
YBR135W,CKS1,cks1-38,tsa332-37C,554,75.5004922874959,75.45126353790614,92.15750808687899
YCR002C,CDC10,cdc10-5,tsa899-37C,7,74.74747474747475,71.42857142857143,88.1163405306761
YGL022W,STT3,stt3-1,tsa790-37C,60,74.54545454545455,73.33333333333333,94.1002011588123
YLR459W,GAB1,gab1-2,tsa201-37C,116,74.38174851967956,74.13793103448276,93.26535524548007
YGL022W,STT3,stt3-1,tsa790-26C,55,74.34343434343434,74.54545454545455,93.43218933981102
YGL065C,ALG2,alg2-1,tsa461-26C,189,74.26647426647428,74.07407407407408,93.1563021164658
YGL022W,STT3,stt3-2,tsa551-26C,84,73.95382395382396,73.80952380952381,93.02950329247116
YJR057W,CDC8,cdc8-1,tsa407-26C,9,73.73737373737373,66.66666666666667,96.98439852532661
YGR274C,TAF1,taf1-2,tsa525-37C,931,73.48349228048477,73.46938775510205,91.65921634028506
YDR062W,LCB2,lcb2-19,tsa587-37C,1066,73.4104648738795,73.35834896810506,94.79879206466556
YDR062W,LCB2,lcb2-1,tsa586-37C,1853,73.2304153243171,73.23259579060982,94.80247629199712
YMR197C,VTI1,vti1-11-supp1,tsa635-37C,244,73.09571121046531,72.95081967213115,94.84895896016367
YGL234W,"ADE5,7","ade5,7",tsa39-26C,4,72.72727272727273,75.0,82.32479656924751
YGL154C,LYS5,lys5,tsa815-37C,13,72.72727272727273,69.23076923076923,87.50598686941379
YOL123W,HRP1,hrp1-4,tsa858-37C,48,72.41161616161617,72.91666666666667,90.78329129220589
YDL008W,APC11,apc11-22,tsa719-26C,25,71.91919191919192,72.0,95.80931421792451
YFL039C,ACT1,act1-119,tsa215-37C,157,71.84584700508267,71.97452229299363,93.30207471121798
YLR066W,SPC3,spc3-4,tsa623-37C,915,71.75691339625766,71.69398907103825,94.42551843218934
YOR244W,ESA1,esa1-l254p,tsa560-37C,845,71.72912557527941,71.71597633136095,94.5144925222466
YOR074C,CDC21,cdc21-1,tsa927-37C,66,71.71717171717171,71.21212121212122,91.21643361882002
YER069W,"ARG5,6","arg5,6",tsa21-37C,6,71.21212121212122,66.66666666666667,91.19690721396273
YBR135W,CKS1,cks1-35,tsa923-26C,36,71.2121212121212,69.44444444444444,84.7229215431509
YFL045C,SEC53,sec53-6,tsa48-37C,1370,71.21064661210646,71.16788321167883,93.58103212400619
YBR070C,ALG14,alg14-5001,tsa1061-37C,150,71.13131313131314,70.66666666666667,92.68140521342728
YBR160W,CDC28,cdc28-1,tsa174-37C,224,70.91450216450217,70.98214285714286,93.939630250945
YDR208W,MSS4,mss4-102,tsa903-37C,871,70.81840216168574,70.83811710677382,93.36366271144395
YOR184W,SER1,,dma4596,2,70.70707070707071,50.0,96.85526635735532
YDR437W,GPI19,gpi19-2,tsa1014-37C,11,70.70707070707071,72.72727272727273,87.4985570109618
YER125W,RSP5,rsp5-sm1,tsa464-37C,38,70.68048910154174,71.05263157894737,89.6249702191624
YLR219W,MSC3,,dma3286,902,70.59620596205963,70.62084257206209,95.1434515315333
YLR459W,GAB1,gab1-1,tsa200-37C,196,70.59369202226345,70.40816326530613,92.23972776016171
YBR160W,CDC28,cdc28-4,tsa150-37C,315,70.44733044733044,70.47619047619048,92.67305429814242
YDL140C,RPO21,rpo21-1,tsa804-37C,32,70.23358585858585,68.75,91.55661060910103
YER052C,HOM3,,dma1350,4,69.94949494949495,75.0,94.73818652506134
YDR172W,SUP35,sup35-td,tsa28-37C,12,69.6969696969697,66.66666666666667,83.49662647584006
YGL137W,SEC27,sec27-1,tsa546-37C,359,69.56472806054978,69.63788300835654,94.66652830346244
YDR455C,,,dma1179,67,69.30499020051258,68.65671641791045,94.26807911755387
YDL102W,POL3,cdc2-1,tsa406-37C,128,69.22348484848484,68.75,94.89224863130954
YER133W,GLC7,glc7-12,tsa185-37C,180,69.0909090909091,68.88888888888889,93.7352170378321
YER147C,SCC4,scc4-4,tsa69-37C,363,68.9623507805326,68.87052341597796,91.42612755777482
YMR028W,TAP42,tap42-11,tsa697-37C,1094,68.93431573504701,68.92138939670933,91.35410091344276
YDR437W,GPI19,gpi19-2,tsa1014-26C,5,68.88888888888889,60.0,89.53065399947438
YDL132W,CDC53,cdc53-1,tsa974-37C,292,68.80448318804484,68.83561643835617,93.10349485804672
YDR364C,CDC40,cdc40-ts,tsa18-37C,14,68.68686868686868,64.28571428571429,83.8030313822484
YKL024C,URA6,ura6-5,tsa1032-37C,472,68.53492552645095,68.4322033898305,92.93880989632585
YNL118C,DCP2,dcp2-7,tsa743-37C,239,68.38679683867967,68.20083682008368,93.95774436865852
YFL038C,YPT1,ypt1-3,tsa591-37C,1100,68.33333333333333,68.27272727272727,94.66259846097543
