ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YBL093C,ROX3,rox3-182,tsa1015-26C,22,100.0,100.0,100.0
YOR204W,DED1,ded1-f144c,tsa932-26C,2,100.0,100.0,100.0
YLL031C,GPI13,gpi13-4,tsa959-26C,2,98.98989898989899,50.0,99.98693713145748
YBR049C,REB1,reb1-5001,tsa1107-37C,16,98.98989898989899,93.75,99.9948636293595
YBR049C,REB1,reb1-5001,tsa1107-26C,3,98.98989898989899,66.66666666666667,99.98516159592742
YLL031C,GPI13,gpi13-4,tsa959-37C,18,98.98989898989899,94.44444444444444,99.30481442800172
YOR212W,STE4,ste4,tsa80-37C,2,98.98989898989899,50.0,99.96436246543254
YOR202W,HIS3,his3,tsa384-37C,24,98.98989898989899,95.83333333333333,99.80538862350974
YER090W,TRP2,trp2,tsa134-37C,4,98.98989898989899,75.0,99.7410888725286
YNL118C,DCP2,dcp2-7d,tsa754-37C,12,98.98989898989899,91.66666666666667,99.70202709086747
YNL118C,DCP2,dcp2-7d,tsa754-26C,4,98.98989898989899,75.0,99.35636837035642
YOR202W,HIS3,his3,tsa384-26C,2,98.98989898989899,50.0,99.158776630655
YER090W,TRP2,trp2,tsa554-37C,6,98.98989898989899,83.33333333333333,99.97146460755275
YER090W,TRP2,trp2,tsa863-37C,4,98.98989898989899,75.0,99.67279416660485
YGL234W,"ADE5,7","ade5,7",tsa468-37C,5,98.98989898989899,80.0,99.58243209052188
YJL097W,PHS1,phs1-1,tsa896-37C,6,97.97979797979798,83.33333333333333,98.81945910846557
YKL211C,TRP3,,dma2912,6,97.97979797979798,83.33333333333333,98.74716944759919
YLR268W,SEC22,sec22-3,tsa121-37C,11,97.97979797979798,90.9090909090909,98.10918148446184
YGL234W,"ADE5,7","ade5,7",tsa468-26C,4,97.97979797979798,75.0,98.89707537592209
YCR002C,CDC10,cdc10-5,tsa899-26C,6,97.97979797979798,83.33333333333333,98.73518458277134
YER090W,TRP2,trp2,tsa1040-37C,3,95.95959595959596,66.66666666666667,97.39535278939802
YBL093C,ROX3,rox3-182,tsa1015-37C,78,95.14374514374515,94.87179487179488,99.91648641810437
YNL102W,POL1,pol1-17,tsa345-37C,3,93.93939393939394,66.66666666666667,95.02317390926633
YDR245W,MNN10,mnn10-supp1,dma1003,6,93.93939393939394,83.33333333333333,95.55260055713768
YGL234W,"ADE5,7","ade5,7",tsa579-37C,2,92.92929292929293,50.0,98.68921089493966
YKL184W,SPE1,,dma2883,2,92.92929292929293,50.0,96.93783533049374
YOR244W,ESA1,esa1-1851,tsa565-37C,3,92.92929292929293,66.66666666666667,94.29970659275367
YKR068C,BET3,bet3-5001,tsa1090-37C,190,92.31791600212654,92.10526315789474,96.99363787572393
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,17,92.0974450386215,88.23529411764706,98.54241215379434
YDR172W,SUP35,sup35-td,tsa28-37C,16,91.91919191919192,87.5,97.29953728275848
YMR197C,VTI1,vti1-2,tsa634-37C,183,91.75360158966717,91.2568306010929,97.35254970072714
YPL175W,SPT14,spt14-1-10c,tsa474-37C,15,91.31313131313131,86.66666666666667,98.89935820731787
YJR057W,CDC8,cdc8-1,tsa407-37C,26,88.88888888888889,88.46153846153847,97.20055117695811
YOR020C,HSP10,hsp10-ts,tsa681-37C,44,88.63636363636364,88.63636363636364,96.74620431721465
YGR009C,SEC9,sec9-4,tsa57-37C,387,88.5365280714118,88.37209302325581,96.52717932718618
YPR181C,SEC23,sec23-1,tsa900-37C,311,88.15161258891163,88.10289389067525,95.98988959339603
YPL085W,SEC16,sec16-2,tsa119-37C,708,87.03989042972094,87.00564971751412,96.75165774777123
YJR084W,,,dma2655,2,86.86868686868688,50.0,89.52034541775498
YOR259C,RPT4,rpt4-145,tsa263-37C,11,86.86868686868686,81.81818181818181,97.61089012034961
YDR238C,SEC26,sec26-f856aw860a,tsa721-37C,193,86.24587847385774,86.01036269430051,95.9264141981967
YDR238C,SEC26,sec26-11d26,tsa722-37C,695,85.88183998255941,85.89928057553956,96.64759868331357
YLR440C,SEC39,sec39-1,tsa725-37C,635,85.86972083035074,85.8267716535433,95.28531904788176
