ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YOR204W,DED1,ded1-f144c,tsa932-26C,25,100.0,100.0,100.0
YFL034C-B,MOB2,mob2-28,tsa936-26C,4,100.0,100.0,100.0
YPR103W,PRE2,pre2-75,tsa918-26C,2,100.0,100.0,100.0
YOL123W,HRP1,hrp1-1,tsa960-26C,5,100.0,100.0,100.0
YPR103W,PRE2,pre2-75,tsa918-37C,5,100.0,100.0,100.0
YOR046C,DBP5,dbp5-2,tsa944-26C,2,100.0,100.0,100.0
YOL123W,HRP1,hrp1-1,tsa960-37C,31,100.0,100.0,100.0
YJR065C,ARP3,arp3-g302y,tsa296-37C,3,98.98989898989899,66.66666666666667,99.96406036758754
YDL207W,GLE1,gle1-4,tsa920-37C,2,98.98989898989899,50.0,99.99972512709437
YDL140C,RPO21,rpo21-1,tsa804-37C,9,98.98989898989899,88.88888888888889,99.66218119896813
YPR161C,SGV1,sgv1-23,tsa1027-37C,2,98.98989898989899,50.0,99.99848819901898
YGL154C,LYS5,lys5,tsa153-37C,2,98.98989898989899,50.0,99.54061865644873
YPL190C,NAB3,nab3-11,tsa861-37C,2,97.97979797979798,50.0,98.80066079446516
YPL160W,CDC60,cdc60-ts,tsa922-37C,31,97.97979797979798,96.7741935483871,99.97629221188853
YGL048C,RPT6,rpt6-20,tsa907-37C,31,96.96969696969697,96.7741935483871,99.99113534879311
YDR172W,SUP35,sup35-td,tsa28-37C,3,96.96969696969697,66.66666666666667,97.41591981407596
YNL006W,LST8,lst8-6,tsa466-26C,2,96.96969696969697,50.0,97.2297621387311
YJR057W,CDC8,cdc8-1,tsa407-37C,14,96.96969696969697,92.85714285714286,97.84534001091245
YDL207W,GLE1,gle1-2,tsa919-37C,35,96.13275613275614,94.28571428571429,100.0
YNL006W,LST8,lst8-6,tsa466-37C,2,95.95959595959596,50.0,97.53384029059563
YGL048C,RPT6,rpt6-20,tsa907-26C,14,95.95959595959596,92.85714285714286,99.99993128177358
YER069W,"ARG5,6","arg5,6",tsa593-37C,2,94.94949494949495,50.0,96.41751270256415
