ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YKL018W,SWD2,swd2-ts1,tsa173-37C,2,98.98989898989899,50.0,99.76739077167457
YOR204W,DED1,ded1-f144c,tsa932-26C,35,98.98989898989899,97.14285714285714,99.9983101400049
YGL154C,LYS5,lys5,tsa359-37C,2,98.98989898989899,50.0,99.14188909448852
YER069W,"ARG5,6","arg5,6",tsa257-37C,2,98.98989898989899,50.0,99.49397142446749
YOR202W,HIS3,his3,tsa384-37C,2,98.98989898989899,50.0,99.99476143401519
YDR167W,TAF10,taf10-ts34,tsa957-37C,2,98.98989898989899,50.0,99.90012927428963
YGL234W,"ADE5,7","ade5,7",tsa468-37C,3,98.98989898989899,66.66666666666667,99.57736601522564
YEL034W,HYP2,hyp2-2,tsa750-37C,2,98.98989898989899,50.0,99.67580035994018
YGL154C,LYS5,lys5,tsa65-37C,2,98.98989898989899,50.0,99.67292759794852
YDL028C,MPS1,mps1-6,tsa170-37C,2,98.98989898989899,50.0,99.49456287546577
YPL160W,CDC60,cdc60-ts,tsa922-37C,12,98.98989898989899,91.66666666666667,99.94567100115755
YFR052W,RPN12,rpn12-1,tsa405-37C,11,98.98989898989899,90.9090909090909,99.42468716466841
YER090W,TRP2,trp2,tsa211-37C,5,98.98989898989899,80.0,99.44792273960103
YIL046W,MET30,met30-9,tsa947-37C,2,97.97979797979798,50.0,98.9298961581033
YGL234W,"ADE5,7","ade5,7",tsa579-37C,2,97.97979797979798,50.0,99.03002036281293
YDR311W,TFB1,tfb1-6,tsa715-37C,8,97.97979797979798,87.5,98.91004030316088
YOL123W,HRP1,hrp1-4,tsa858-37C,2,97.97979797979798,50.0,98.69956824077126
YLL031C,GPI13,gpi13-5,tsa197-37C,2,97.97979797979798,50.0,98.87184946727163
YJR057W,CDC8,cdc8-1,tsa407-26C,3,96.96969696969697,66.66666666666667,97.69401705068735
YER069W,"ARG5,6","arg5,6",tsa316-37C,2,96.96969696969697,50.0,98.12408641944015
YFR052W,RPN12,rpn12-1,tsa405-26C,9,96.96969696969697,88.88888888888889,97.88091556614535
YDL008W,APC11,apc11-22,tsa719-26C,2,96.96969696969697,50.0,97.60276461095198
YNL061W,NOP2,nop2-10,tsa941-37C,4,96.96969696969697,75.0,98.60476709504617
YOR074C,CDC21,cdc21-1,tsa927-37C,5,96.96969696969697,80.0,98.15915101433846
YJR068W,RFC2,rfc2-1,tsa342-26C,12,96.96969696969697,91.66666666666667,97.66816219276232
YKL210W,UBA1,uba1-1,tsa191-37C,4,96.96969696969697,75.0,97.68362441171749
YDL126C,CDC48,cdc48-1,tsa826-37C,3,96.96969696969697,66.66666666666667,97.63732224785177
YIL126W,STH1,sth1-3,tsa931-26C,109,96.23760541191734,95.41284403669725,99.99771868900662
YHR107C,CDC12,cdc12-td,tsa50-26C,2,95.95959595959596,50.0,96.81571231823443
YJR057W,CDC8,cdc8-2,tsa22-37C,2,95.95959595959596,50.0,97.8995885190912
YOR204W,DED1,ded1-f144c,tsa932-37C,26,95.95959595959596,92.3076923076923,99.99771868900662
YGL234W,"ADE5,7","ade5,7",tsa178-37C,3,94.94949494949495,66.66666666666667,95.92828234180799
YLR378C,SEC61,sec61-2,tsa213-37C,3,94.94949494949495,66.66666666666667,96.53654744704401
YBR049C,REB1,reb1-5001,tsa1107-37C,7,94.94949494949495,85.71428571428571,96.18902773905182
YOR244W,ESA1,esa1-1851,tsa565-37C,146,94.19537844195379,93.83561643835617,99.99966202800098
YJR065C,ARP3,arp3-h161a,tsa297-37C,3,93.93939393939394,66.66666666666667,96.94870429984876
YPL076W,GPI2,gpi2-1-7b,tsa462-37C,8,93.93939393939394,87.5,96.4361697633351
YFR004W,RPN11,rpn11-14,tsa534-37C,98,93.92908678622965,93.87755102040816,96.37111015352379
YIL126W,STH1,sth1-3,tsa931-37C,152,93.72674109516214,93.42105263157895,99.99771868900662
YOR244W,ESA1,esa1-1851,tsa565-26C,34,93.10754604872253,91.17647058823529,99.99847912600441
YDR172W,SUP35,sup35-td,tsa28-26C,2,92.92929292929293,50.0,94.21011719179066
YJR073C,OPI3,,dma2664,2,92.92929292929293,50.0,94.60233369665323
YOR212W,STE4,ste4,tsa404-37C,2,91.91919191919192,50.0,93.03980465218457
YGL154C,LYS5,lys5,tsa709-37C,4,91.91919191919192,75.0,94.93379973469199
YJR057W,CDC8,cdc8-2,tsa22-26C,4,91.91919191919192,75.0,93.09371118602824
YDL102W,POL3,cdc2-1,tsa406-26C,4,91.91919191919192,75.0,92.79266262790128
YPL160W,CDC60,cdc60-ts,tsa922-26C,26,91.2975912975913,88.46153846153847,99.99079026302671
YGL154C,LYS5,lys5,tsa520-37C,100,90.95959595959596,91.0,96.75445489341207
YFL039C,ACT1,act1-121,tsa911-37C,2,89.8989898989899,50.0,91.3872060699771
YEL034W,HYP2,hyp2-3,tsa737-37C,90,89.49494949494951,88.88888888888889,96.34314297060489
YEL034W,HYP2,hyp2-1,tsa736-37C,55,88.48484848484848,87.27272727272727,96.81351550024081
YGR239C,PEX21,,dma2003,2444,88.18793499644563,88.17512274959084,99.82611340650428
YGL234W,"ADE5,7","ade5,7",tsa820-37C,2,87.87878787878788,50.0,93.89673265569948
YCR002C,CDC10,cdc10-5,tsa899-37C,2,87.87878787878788,50.0,91.75399018191342
YJR068W,RFC2,rfc2-1,tsa342-37C,2,87.87878787878788,50.0,96.88254628104062
YOR259C,RPT4,rpt4-150,tsa260-37C,207,87.61528326745717,87.43961352657004,96.65973824068676
YKL024C,URA6,ura6-5,tsa1032-26C,5,86.86868686868688,80.0,88.0502395376543
YLL031C,GPI13,gpi13-4,tsa959-37C,9,86.86868686868688,77.77777777777777,91.0344477960001
YPR103W,PRE2,pre2-2,tsa917-37C,5,86.86868686868688,80.0,89.28349936207785
YGL048C,RPT6,rpt6-25,tsa186-37C,44,85.85858585858585,84.0909090909091,96.52759118906998
YKL022C,CDC16,cdc16-1,tsa883-37C,14,85.78643578643579,85.71428571428571,95.44405296021225
YLR459W,GAB1,gab1-2,tsa201-26C,12,85.60606060606061,83.33333333333333,94.86248764289878
YLR459W,GAB1,gab1-2,tsa201-37C,4,84.84848484848484,75.0,87.86283406419778
YGL234W,"ADE5,7","ade5,7",tsa1054-37C,18,84.34343434343434,83.33333333333333,92.74847278902944
YLR195C,NMT1,nmt1-181,tsa690-37C,58,83.89063044235458,82.75862068965517,97.50483722423597
YER147C,SCC4,scc4-4,tsa69-37C,17,83.83838383838383,82.3529411764706,94.07585781518002
YPR033C,HTS1,hts1-1,tsa945-37C,5,82.82828282828282,80.0,89.21784830126823
YDL140C,RPO21,rpo21-1,tsa804-37C,3,82.82828282828282,66.66666666666667,91.63933318124593
YKL024C,URA6,ura6-5,tsa1032-37C,9,82.82828282828282,77.77777777777777,90.87560095646076
YKL139W,CTK1,ctk1-supp1,dma2867,4,82.82828282828282,75.0,91.42852314685729
YFR004W,RPN11,rpn11-8,tsa521-26C,13,82.82828282828282,76.92307692307692,91.09950740581142
YPR103W,PRE2,pre2-127,tsa916-37C,3,81.81818181818183,66.66666666666667,83.58309464060902
YPR020W,ATP20,,dma5035,3,81.81818181818183,66.66666666666667,83.6949633722846
YFL009W,CDC4,cdc4-1,tsa878-37C,9,81.81818181818181,77.77777777777777,93.6219614204963
YNL267W,PIK1,pik1-139,tsa116-37C,8,81.43939393939394,75.0,95.32922697354525
YIR022W,SEC11,sec11-2,tsa318-37C,278,81.1278250127171,80.93525179856115,95.53361553995252
YDR172W,SUP35,sup35-td,tsa28-37C,3,80.8080808080808,66.66666666666667,90.28262908418037
YOL123W,HRP1,hrp1-1,tsa960-26C,5,80.8080808080808,80.0,93.44587800900695
YDL147W,RPN5,rpn5-5001,tsa1080-26C,22,80.8080808080808,77.27272727272727,89.67723674093601
YOR202W,HIS3,his3,tsa970-37C,15,80.60606060606061,80.0,95.02817841541828
YFR004W,RPN11,rpn11-8,tsa521-37C,92,80.19323671497585,79.34782608695652,95.48477858609414
YER090W,TRP2,trp2,tsa863-26C,9,79.7979797979798,77.77777777777777,93.67257272734953
YOR212W,STE4,ste4,tsa1022-37C,4,79.7979797979798,75.0,87.32495162775764
YML130C,ERO1,ero1-1,tsa203-37C,510,78.69281045751634,78.62745098039215,95.8105835931493
YKL124W,SSH4,,dma2854,1341,78.08962104264118,78.07606263982103,96.51584666210404
YOR202W,HIS3,his3,tsa1021-26C,10,77.77777777777779,80.0,85.18356104196768
YNL138W,SRV2,srv2-ts,tsa675-37C,9,77.77777777777777,77.77777777777777,90.40750973781822
YPL226W,NEW1,,dma4968,6,77.27272727272727,66.66666666666667,95.49703007105862
YOR202W,HIS3,his3,tsa961-37C,12,77.27272727272727,75.0,94.3312801534393
YHR027C,RPN1,rpn1-821,tsa255-37C,161,77.08764665286404,77.01863354037268,95.71138881143698
YOR202W,HIS3,his3,tsa970-26C,5,76.76767676767676,80.0,89.19993578532019
YDL207W,GLE1,gle1-4,tsa920-37C,2,76.76767676767676,50.0,85.78996730120909
YFL039C,ACT1,act1-3,tsa137-37C,14,76.6955266955267,71.42857142857143,92.41523239799582
YPL076W,GPI2,gpi2-774,tsa463-37C,16,76.57828282828282,75.0,91.70515322805505
YFL045C,SEC53,sec53-6,tsa48-37C,611,76.45026368430624,76.43207855973813,95.16666244201667
YPR055W,SEC8,sec8-9,tsa122-37C,175,76.14430014430013,76.0,94.94782557265131
YOR057W,SGT1,sgt1-5,tsa427-37C,120,76.13636363636364,75.83333333333333,97.64923576081722
YGL130W,CEG1,ceg1-3,tsa94-37C,21,75.9018759018759,76.19047619047619,97.54150718612964
YBR155W,CNS1,cns1-1,tsa567-37C,26,75.75757575757575,73.07692307692308,91.07255413888959
YBR080C,SEC18,sec18-1,tsa54-37C,317,75.45167765987955,75.39432176656152,95.0683125903019
YIL134W,FLX1,,dma2373,6,75.25252525252526,66.66666666666667,92.8611019577028
