ORF,Name,Allele,Strain ID,Num_cells,Penetrance,KS_Penetrance,WT_percentile_at_threshold
YJR139C,HOM6,,dma2730,3,98.98989898989899,66.66666666666667,99.97423287752689
YGL097W,SRM1,srm1-ts,TSA955-26C,2,98.98989898989899,50.0,99.20159674358945
YOR184W,SER1,,DMA4596-26C,2,98.98989898989899,50.0,99.9886737923195
YHR178W,STB5,,DMA2213-26C,2,98.98989898989899,50.0,99.09514612223684
YLR310C,CDC25,cdc25-1,TSA23-37C,2,98.98989898989899,50.0,99.37944966586115
YMR123W,PKR1,,dma3715,234,98.98989898989899,98.71794871794872,99.72058874885991
YMR227C,TAF7,taf7-ts1,TSA638-26C,3,98.98989898989899,66.66666666666667,99.74980092616917
YER090W,TRP2,,dma1384,3,98.98989898989899,66.66666666666667,99.99937076623998
YDR123C,INO2,,DMA920-26C,2,98.98989898989899,50.0,99.53375351466381
YDR158W,HOM2,,dma938,2,98.98989898989899,50.0,99.99490320654378
YHR025W,THR1,,dma2092,2,98.98989898989899,50.0,99.93113036496501
YOR181W,LAS17,las17-13,TSA924-26C,2,98.98989898989899,50.0,99.47521904413729
YNL061W,NOP2,nop2-10,TSA941-26C,2,98.98989898989899,50.0,99.85717966731782
YOR184W,SER1,,dma4596,3,98.98989898989899,66.66666666666667,99.87475102006658
YGR208W,SER2,,dma1958,4,98.98989898989899,75.0,99.72614173679214
YER125W,RSP5,rsp5-1,TSA182-26C,2,98.98989898989899,50.0,99.11111292889753
YKL211C,TRP3,,dma2912,3,98.98989898989899,66.66666666666667,99.79000896343491
YOR128C,ADE2,,dma5352,5,97.97979797979798,80.0,98.79901298392402
YPR161C,SGV1,sgv1-23,TSA1027-26C,4,97.97979797979798,75.0,98.50692267251938
YER125W,RSP5,rsp5-sm1,TSA464-26C,6,96.96969696969697,83.33333333333333,97.96027584349572
YJL101C,GSH1,,dma2500,6,96.96969696969697,83.33333333333333,97.63754184797776
YOR329C,SCD5,scd5-d338,TSA569-37C,3,96.96969696969697,66.66666666666667,99.72493046180409
YGR105W,VMA21,,dma1867,1317,96.08154437311612,96.05163249810175,98.73421763748522
YNR043W,MVD1,mvd1-1296,TSA828-37C,3,95.95959595959596,66.66666666666667,97.04842174015225
YDL028C,MPS1,mps1-1,TSA166-26C,2,95.95959595959596,50.0,96.73795780295482
YJR057W,CDC8,cdc8-1,TSA407-26C,6,95.95959595959596,83.33333333333333,96.4812618905517
YJR076C,CDC11,cdc11-2,TSA82-26C,5,95.95959595959596,80.0,97.8142936111694
YLL003W,SFI1,sfi1-7,TSA459-26C,5,94.94949494949495,80.0,96.33295149331329
YGR216C,GPI1,gpi1-1,TSA548-26C,4,94.94949494949495,75.0,96.74509960613113
YJR073C,OPI3,,dma2664,7,93.93939393939394,85.71428571428571,96.92161540666277
YGR054W,,,dma1846,6,92.92929292929293,83.33333333333333,95.45567378508332
YPL175W,SPT14,spt14-1-10c,TSA474-37C,2,91.91919191919192,50.0,97.54809626898988
YJL081C,ARP4,arp4-g161d,TSA618-26C,6,91.91919191919192,83.33333333333333,97.15518697838488
YGL009C,LEU1,,dma1607,179,91.14609785000847,91.06145251396649,97.29830619710307
YDL008W,APC11,apc11-22,TSA719-26C,8,90.9090909090909,87.5,95.60662696411386
YPL175W,SPT14,spt14-1-10c,TSA474-26C,3,89.8989898989899,66.66666666666667,94.95939711854984
YGL091C,NBP35,nbp35-5001,TSA1120-26C,5,89.8989898989899,80.0,96.84239487627534
YJR057W,CDC8,cdc8-1,TSA407-37C,3,88.88888888888889,66.66666666666667,93.54750667695673
YLR192C,HCR1,,dma3257,11,88.88888888888889,81.81818181818181,95.92401247267159
YGL234W,"ADE5,7",,dma1759,3,87.87878787878788,66.66666666666667,93.10793970304572
YNL267W,PIK1,pik1-139,TSA116-26C,12,87.62626262626262,83.33333333333333,97.26953448342583
YPR161C,SGV1,sgv1-23,TSA1027-37C,2,85.85858585858585,50.0,98.08376296890107
YNL197C,WHI3,,dma4073,442,85.44723250605604,85.29411764705883,96.87991293921696
YGL130W,CEG1,ceg1-c354,TSA124-37C,2,82.82828282828282,50.0,99.83520367824887
YPR060C,ARO7,,dma5054,7,81.81818181818183,71.42857142857143,85.24160531375325
YAR015W,ADE1,,dma65,10,80.9090909090909,80.0,94.92565445816838
YDR235W,PRP42,prp42-5001,TSA1085-26C,250,78.69898989898991,78.4,95.53866971803092
YDL102W,POL3,cdc2-7,TSA17-26C,12,77.52525252525253,75.0,90.14808701925361
YBR160W,CDC28,cdc28-td,TSA62-26C,342,77.35247208931419,77.19298245614036,94.09376023488038
YKL212W,SAC1,,dma2911,12,77.27272727272727,75.0,98.76915584201073
YOL058W,ARG1,,dma4354,8,75.75757575757575,75.0,86.4210096118603
YGL091C,NBP35,nbp35-5001,TSA1120-37C,14,74.6031746031746,71.42857142857143,91.47256116073493
YHR178W,STB5,,dma2213,17,72.07367795603089,70.58823529411765,90.95341184702447
YLL003W,SFI1,sfi1-7,TSA459-37C,2,71.71717171717171,50.0,95.14741216604598
YDR172W,SUP35,sup35-td,TSA28-37C,52,70.1825951825952,69.23076923076923,92.11351439954267
YJL081C,ARP4,arp4-g161d,TSA618-37C,38,70.09569377990431,68.42105263157895,91.70160224938485
YLR272C,YCS4,ycs4-1,TSA432-26C,206,70.0353045013239,69.90291262135922,95.21326147903282
YOR257W,CDC31,cdc31-5,TSA152-26C,136,69.95692216280453,69.8529411764706,93.89275151023968
YFL039C,ACT1,act1-120,TSA74-26C,46,68.620992534036,67.3913043478261,94.37422545256851
YDR311W,TFB1,tfb1-6,TSA715-37C,1628,67.58121758121757,67.56756756756756,95.55506125747962
YBR080C,SEC18,sec18-1,TSA54-37C,4423,66.76189888941416,66.76463938503278,94.91108769662375
YPR181C,SEC23,sec23-1,TSA900-37C,4796,66.6319154851265,66.63886572143453,95.01818328258038
YMR123W,PKR1,,DMA3715-37C,75,66.58585858585859,66.66666666666667,98.38224000296998
YGL055W,OLE1,ole1-m2,TSA506-26C,21,66.52236652236651,66.66666666666667,87.90944634036072
YGL044C,RNA15,rna15-58,TSA652-37C,2008,66.24461748963742,66.23505976095618,94.86568848083779
YLR166C,SEC10,sec10-2,TSA63-37C,2266,65.68108267137393,65.66637246248897,94.85110598844916
YJR073C,OPI3,,DMA2664-37C,3,65.65656565656566,66.66666666666667,99.83375644060081
YDR238C,SEC26,sec26-11d26,TSA722-37C,3909,65.59687434591503,65.59222307495523,96.63929394938255
YJL115W,ASF1,,DMA2518-26C,138,65.3052261747914,65.21739130434783,93.34184162249184
YDR182W,CDC1,cdc1-1,TSA31-26C,216,64.81481481481481,64.81481481481481,93.57278614326583
YJR065C,ARP3,arp3-h161a,TSA297-26C,103,64.65627145238795,64.07766990291262,93.00581506379329
YPL085W,SEC16,sec16-2,TSA119-37C,4664,64.35820468839337,64.36535162950257,96.0418050325487
YNL138W,SRV2,srv2-2,TSA800-26C,37,64.23696423696424,64.86486486486487,91.84442258206703
YJR139C,HOM6,,DMA2730-37C,4,63.63636363636363,50.0,67.51871734473421
YDL102W,POL3,cdc2-7,TSA17-37C,78,63.24786324786324,62.82051282051282,95.9865583084183
YLR056W,ERG3,,DMA3153-26C,4,62.62626262626263,50.0,82.69297262298295
YDR182W,CDC1,cdc1-1,TSA31-37C,590,61.30970724191064,61.355932203389834,94.97080198045033
YJR017C,ESS1,ess1-h164r,TSA698-26C,71,60.66296770522123,60.563380281690144,92.22654051368757
YDL058W,USO1,uso1-1,TSA441-37C,2734,60.3817989699482,60.387710314557424,95.43772489207855
YGR009C,SEC9,sec9-4,TSA57-26C,37,59.86895986895986,59.45945945945946,90.97573391466143
YPR055W,SEC8,sec8-6,TSA364-37C,2238,59.72729980772876,59.7408400357462,94.0805305950758
YIL004C,BET1,bet1-1,TSA792-37C,2824,59.31732337539704,59.313031161473084,94.85231726343721
YDR170C,SEC7,sec7-1,TSA44-37C,4838,57.313732613443236,57.31707317073171,94.8175678290397
YOR046C,DBP5,dbp5-1,TSA641-26C,67,57.27423488617518,56.71641791044776,91.5965044806163
YDR235W,PRP42,prp42-5001,TSA1085-37C,644,56.97502980111675,56.98757763975155,93.23875740175538
YLR272C,YCS4,ycs4-1,TSA432-37C,498,56.71778021175612,56.626506024096386,93.64223781952883
YLR005W,SSL1,ssl1-t242i,TSA752-37C,1373,56.316993680431416,56.30007283321194,93.92353677194902
YER136W,GDI1,gdi1-1,TSA64-37C,5588,55.93136085262069,55.92340730136006,93.64903354413713
YER008C,SEC3,sec3-2,TSA43-37C,4568,55.87375506377257,55.86690017513135,93.17243616344851
YDR166C,SEC5,sec5-24,TSA51-37C,5724,55.60796645702306,55.60796645702306,93.95644569759844
YDR245W,MNN10,mnn10-supp1,dma1003,69,55.55555555555555,55.072463768115945,93.34272254975588
YHR107C,CDC12,cdc12-td,TSA50-26C,15,54.74747474747475,53.333333333333336,85.2704556816505
YNR026C,SEC12,sec12-4,TSA60-37C,4534,54.73816239144866,54.74194971327746,95.19918237365222
YDR126W,SWF1,,DMA917-26C,51,54.30778371954843,54.90196078431372,88.47460837277318
YDL006W,PTC1,,dma620,98,54.29808286951143,54.08163265306123,91.23205228680852
YDL195W,SEC31,sec31-1,TSA852-37C,5621,53.92476625353338,53.92278953922789,95.30934547418899
YIL048W,NEO1,neo1-2,TSA188-26C,152,53.575225943646984,53.28947368421053,91.99086100886936
YOR074C,CDC21,cdc21-1,TSA927-26C,17,52.88175876411171,52.94117647058823,86.55220485082597
YFL034C-B,MOB2,mob2-38,TSA788-26C,136,52.124183006535944,52.205882352941174,94.65827730268882
YDR189W,SLY1,sly1-ts,TSA251-37C,3003,51.54845154845156,51.548451548451546,94.69227165657428
YFR019W,FAB1,fab1-supp1,dma1552,378,51.49110149110149,51.58730158730159,93.60640295689528
YOL130W,ALR1,alr1-5001,TSA1271-26C,25,50.7070707070707,52.0,78.39462961570491
YOR260W,GCD1,gcd1-5001,TSA1200-26C,93,50.37471489084392,50.53763440860215,90.21388913970846
YDR126W,SWF1,,dma917,188,50.01074575542661,50.0,93.8561301054061
YBR193C,MED8,med8-51,TSA741-37C,857,49.88979644755608,49.941656942823805,93.72513936741242
YDL008W,APC11,apc11-22,TSA719-37C,26,49.84459984459984,50.0,84.54331314856303
YGR246C,BRF1,brf1-w107r,TSA478-26C,54,49.831649831649834,50.0,94.13444019746613
