ORF,Name,Allele,Strain ID
YAL010C,MDM10,,dma18
YAL048C,GEM1,,dma5203
YBL093C,ROX3,rox3-182,tsa1015-37C
YBR001C,NTH2,,dma170
YBR049C,REB1,reb1-5001,tsa1107-37C
YBR087W,RFC5,rfc5-1,tsa887-37C
YBR200W,BEM1,,dma360
YCL030C,HIS4,,dma499
YCR002C,CDC10,cdc10-5,tsa899-37C
YCR042C,TAF2,taf2-1,tsa802-37C
YCR053W,THR4,,dma569
YCR071C,IMG2,,dma581
YDL006W,PTC1,,dma620
YDL008W,APC11,apc11-22,tsa719-37C
YDL042C,SIR2,,dma639
YDL052C,SLC1,,dma640
YDL090C,RAM1,,dma674
YDL104C,QRI7,,dma689
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR080W,VPS41,,dma883
YDR123C,INO2,,dma920
YDR127W,ARO1,,dma916
YDR158W,HOM2,,dma938
YDR172W,SUP35,sup35-td,tsa28-37C
YDR208W,MSS4,mss4-102,tsa903-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR258C,HSP78,,dma1014
YDR354W,TRP4,,dma1082
YDR364C,CDC40,cdc40-ts,tsa18-37C
YDR392W,SPT3,,dma1125
YDR408C,ADE8,,dma1139
YDR437W,GPI19,gpi19-2,tsa1014-37C
YDR455C,,,dma1179
YDR460W,TFB3,tfb3-ts,tsa951-37C
YER052C,HOM3,,dma1350
YER061C,CEM1,,dma1363
YER069W,"ARG5,6","arg5,6",tsa1018-37C
YER069W,"ARG5,6","arg5,6",tsa183-37C
YER069W,"ARG5,6","arg5,6",tsa257-37C
YER069W,"ARG5,6","arg5,6",tsa316-37C
YER090W,TRP2,,dma1384
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa134-37C
YER090W,TRP2,trp2,tsa211-37C
YER090W,TRP2,trp2,tsa366-37C
YER090W,TRP2,trp2,tsa554-37C
YER090W,TRP2,trp2,tsa646-37C
YER090W,TRP2,trp2,tsa723-37C
YER090W,TRP2,trp2,tsa863-37C
YER093C-A,AIM11,,dma1403
YER125W,RSP5,rsp5-sm1,tsa464-37C
YER153C,PET122,,dma1445
YFL018C,LPD1,lpd1-supp1,dma1482
YFL036W,RPO41,,dma1490
YFL039C,ACT1,act1-108,tsa904-37C
YFR052W,RPN12,rpn12-1,tsa405-37C
YGL024W,,,dma1619
YGL080W,MPC1,,dma1649
YGL105W,ARC1,,dma1660
YGL130W,CEG1,ceg1-c354,tsa124-37C
YGL148W,ARO2,,dma1682
YGL154C,LYS5,lys5,tsa238-37C
YGL154C,LYS5,lys5,tsa65-37C
YGL154C,LYS5,lys5,tsa709-37C
YGL154C,LYS5,lys5,tsa815-37C
YGL173C,XRN1,,dma1708
YGL234W,"ADE5,7",,dma1759
YGL234W,"ADE5,7","ade5,7",tsa1054-37C
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa468-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGR054W,,,dma1846
YGR061C,ADE6,,dma5192
YGR092W,DBF2,,dma1850
YGR101W,PCP1,,dma1868
YGR105W,VMA21,,dma1867
YGR157W,CHO2,,dma1899
YGR158C,MTR3,mtr3-ts,tsa614-37C
YGR170W,PSD2,,dma1938
YHR025W,THR1,,dma2092
YHR067W,HTD2,,dma2135
YHR107C,CDC12,cdc12-td,tsa50-37C
YHR162W,MPC2,,dma2218
YHR178W,STB5,,dma2213
YIL020C,HIS6,,dma2267
YIL094C,LYS12,,dma5314
YIL112W,HOS4,,dma2363
YIL116W,HIS5,,dma2360
YIL126W,STH1,sth1-3,tsa931-37C
YIL128W,MET18,,dma2354
YIL134W,FLX1,,dma2373
YIR034C,LYS1,,dma2448
YJL021C,,,dma2455
YJL071W,ARG2,,dma2492
YJL204C,RCY1,,dma2604
YJR011C,,,dma2606
YJR057W,CDC8,cdc8-1,tsa407-37C
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR060W,CBF1,,dma2646
YJR065C,ARP3,arp3-h161a,tsa297-37C
YJR073C,OPI3,,dma2664
YJR074W,MOG1,,dma2663
YJR084W,,,dma2655
YJR090C,GRR1,,dma2675
YJR139C,HOM6,,dma2730
YKL048C,ELM1,,dma2781
YKL055C,OAR1,,dma2776
YKL112W,ABF1,abf1-103,tsa335-37C
YKL184W,SPE1,,dma2883
