ORF,Name,Allele,Strain ID
YAL003W,EFB1,efb1-4,tsa987-37C
YAL010C,MDM10,,dma18
YAR015W,ADE1,,dma65
YAR029W,,,dma82
YBL008W,HIR1,,dma90
YBL093C,ROX3,rox3-182,tsa1015-37C
YBL094C,,,dma158
YBR001C,NTH2,,dma170
YBR058C,UBP14,,dma217
YBR077C,SLM4,,dma246
YBR078W,ECM33,,dma5187
YBR106W,PHO88,,dma274
YBR131W,CCZ1,,dma294
YBR135W,CKS1,cks1-35,tsa923-37C
YBR189W,RPS9B,,dma342
YBR200W,BEM1,,dma360
YBR221C,PDB1,,dma364
YBR248C,HIS7,,dma411
YBR258C,SHG1,,dma430
YBR274W,CHK1,,dma439
YBR289W,SNF5,,dma449
YCL037C,SRO9,,dma516
YCR002C,CDC10,cdc10-5,tsa899-37C
YCR068W,ATG15,,dma583
YDL014W,NOP1,nop1-2,tsa803-37C
YDL017W,CDC7,cdc7-1,tsa880-37C
YDL028C,MPS1,mps1-6,tsa170-37C
YDL061C,RPS29B,,dma657
YDL140C,RPO21,rpo21-1,tsa804-37C
YDL143W,CCT4,cct4-1,tsa729-37C
YDL159W,STE7,,dma744
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR080W,VPS41,,dma883
YDR094W,,,dma898
YDR123C,INO2,,dma920
YDR126W,SWF1,,dma917
YDR157W,,,dma939
YDR172W,SUP35,sup35-td,tsa28-37C
YDR227W,SIR4,,dma987
YDR234W,LYS4,,dma1007
YDR235W,PRP42,prp42-5001,tsa1085-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR328C,SKP1,skp1-3,tsa809-37C
YDR334W,SWR1,,dma1071
YDR410C,STE14,,dma1137
YDR437W,GPI19,gpi19-2,tsa1014-37C
YDR455C,,,dma1179
YDR460W,TFB3,tfb3-ts,tsa951-37C
YEL062W,NPR2,,dma1301
YEL063C,CAN1,,dma1300
YEL065W,SIT1,,dma1298
YER069W,"ARG5,6",,dma1377
YER069W,"ARG5,6","arg5,6",tsa1018-37C
YER069W,"ARG5,6","arg5,6",tsa21-37C
YER069W,"ARG5,6","arg5,6",tsa257-37C
YER069W,"ARG5,6","arg5,6",tsa453-37C
YER069W,"ARG5,6","arg5,6",tsa502-37C
YER069W,"ARG5,6","arg5,6",tsa593-37C
YER069W,"ARG5,6","arg5,6",tsa798-37C
YER090W,TRP2,,dma1384
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa211-37C
YER090W,TRP2,trp2,tsa366-37C
YER090W,TRP2,trp2,tsa646-37C
YER090W,TRP2,trp2,tsa723-37C
YER090W,TRP2,trp2,tsa863-37C
YER093C-A,AIM11,,dma1403
YER125W,RSP5,rsp5-sm1,tsa464-37C
YER148W,SPT15,spt15-i143n,tsa812-37C
YER162C,RAD4,,dma1463
YFL018C,LPD1,lpd1-supp1,dma1482
YFL034C-B,MOB2,mob2-14,tsa935-37C
YFL034C-B,MOB2,mob2-19,tsa939-37C
YFL034C-B,MOB2,mob2-22,tsa610-37C
YFL036W,RPO41,,dma1490
YFL039C,ACT1,act1-108,tsa904-37C
YFR010W,UBP6,,dma1515
YGL009C,LEU1,,dma1607
YGL011C,SCL1,scl1-5001,tsa1084-37C
YGL024W,,,dma1619
YGL029W,CGR1,cgr1-supp1,dma5297
YGL080W,MPC1,,dma1649
YGL116W,CDC20,cdc20-1,tsa898-37C
YGL127C,SOH1,,dma1671
YGL148W,ARO2,,dma1682
YGL154C,LYS5,,dma1700
YGL154C,LYS5,lys5,tsa411-37C
YGL154C,LYS5,lys5,tsa651-37C
YGL154C,LYS5,lys5,tsa815-37C
YGL167C,PMR1,,dma1711
YGL168W,HUR1,,dma1710
YGL173C,XRN1,,dma1708
YGL234W,"ADE5,7","ade5,7",tsa1054-37C
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa310-37C
YGL234W,"ADE5,7","ade5,7",tsa39-37C
