ORF,Name,Allele,Strain ID
YAL010C,MDM10,,dma18
YBL003C,HTA2,,dma93
YBL025W,RRN10,,dma115
YBL094C,,,dma158
YBR001C,NTH2,,dma170
YBR135W,CKS1,cks1-35,tsa923-37C
YBR189W,RPS9B,,dma342
YBR289W,SNF5,,dma449
YBR294W,SUL1,,dma467
YCR002C,CDC10,cdc10-5,tsa899-37C
YCR053W,THR4,,dma569
YCR063W,BUD31,,dma586
YCR081W,SRB8,,dma597
YDL008W,APC11,apc11-22,tsa719-37C
YDL014W,NOP1,nop1-2,tsa803-37C
YDR034C,LYS14,,dma5225
YDR123C,INO2,,dma920
YDR127W,ARO1,,dma916
YDR158W,HOM2,,dma938
YDR172W,SUP35,sup35-td,tsa28-37C
YDR173C,ARG82,,dma953
YDR227W,SIR4,,dma987
YDR235W,PRP42,prp42-5001,tsa1085-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR331W,GPI8,gpi8-ts,tsa371-37C
YDR354W,TRP4,,dma1082
YDR378C,LSM6,,dma1114
YDR392W,SPT3,,dma1125
YDR437W,GPI19,gpi19-2,tsa1014-37C
YDR459C,PFA5,,dma1177
YER052C,HOM3,,dma1350
YER069W,"ARG5,6",,dma1377
YER069W,"ARG5,6","arg5,6",tsa183-37C
YER069W,"ARG5,6","arg5,6",tsa21-37C
YER069W,"ARG5,6","arg5,6",tsa257-37C
YER069W,"ARG5,6","arg5,6",tsa798-37C
YER090W,TRP2,,dma1384
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa723-37C
YER090W,TRP2,trp2,tsa863-37C
YER119C-A,,,dma1409
YER168C,CCA1,cca1-1,tsa958-37C
YER178W,PDA1,,dma1475
YFL039C,ACT1,act1-124,tsa72-37C
YFL039C,ACT1,act1-125,tsa140-37C
YFL039C,ACT1,act1-2,tsa789-37C
YGL022W,STT3,stt3-2,tsa551-37C
YGL024W,,,dma1619
YGL075C,MPS2,mps2-1,tsa443-37C
YGL080W,MPC1,,dma1649
YGL116W,CDC20,cdc20-1,tsa898-37C
YGL136C,MRM2,,dma1690
YGL154C,LYS5,lys5,tsa153-37C
YGL154C,LYS5,lys5,tsa359-37C
YGL173C,XRN1,,dma1708
YGL212W,VAM7,,dma1732
YGL214W,,,dma1730
YGL234W,"ADE5,7",,dma1759
YGL234W,"ADE5,7","ade5,7",tsa1054-37C
YGL234W,"ADE5,7","ade5,7",tsa39-37C
YGL234W,"ADE5,7","ade5,7",tsa468-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGL237C,HAP2,,dma1756
YGR054W,,,dma1846
YGR061C,ADE6,,dma5192
YGR097W,ASK10,,dma1870
YGR105W,VMA21,,dma1867
YGR119C,NUP57,nup57-e17,tsa954-37C
YGR157W,CHO2,,dma1899
YGR172C,YIP1,yip1-4,tsa980-37C
YGR208W,SER2,,dma1958
YGR246C,BRF1,brf1-w107r,tsa478-37C
YHL007C,STE20,,dma2052
YHL025W,SNF6,,dma2060
YHR021C,RPS27B,,dma2095
YHR058C,MED6,med6-ts,tsa1053-37C
YHR067W,HTD2,,dma2135
YHR160C,PEX18,,dma2220
YHR162W,MPC2,,dma2218
YHR178W,STB5,,dma2213
YHR193C,EGD2,,dma2227
YIL020C,HIS6,,dma2267
YIL048W,NEO1,neo1-2,tsa188-37C
YIL062C,ARC15,arc15-10,tsa888-37C
YIL134W,FLX1,,dma2373
YIR034C,LYS1,,dma2448
YJL019W,MPS3,mps3-1,tsa437-37C
YJL046W,AIM22,,dma2464
YJL081C,ARP4,arp4-g161d,tsa618-37C
YJL101C,GSH1,,dma2500
YJR011C,,,dma2606
YJR057W,CDC8,cdc8-1,tsa407-37C
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR065C,ARP3,arp3-h161a,tsa297-37C
YJR073C,OPI3,,dma2664
YJR084W,,,dma2655
YJR090C,GRR1,,dma2675
YJR139C,HOM6,,dma2730
YKL139W,CTK1,ctk1-supp1,dma2867
YKL211C,TRP3,,dma2912
YLR026C,SED5,sed5-1,tsa198-37C
YLR045C,STU2,stu2-10,tsa549-37C
YLR078C,BOS1,bos1-1,tsa199-37C
YLR182W,SWI6,,dma3243
YLR184W,,,dma3264
YLR192C,HCR1,,dma3257
YLR262C,YPT6,,dma3304
YLR310C,CDC25,cdc25-1,tsa23-37C
YLR318W,EST2,,dma3371
YLR357W,RSC2,,dma3387
YLR418C,CDC73,,dma3477
YML069W,POB3,pob3-l78r,tsa846-37C
YML101C-A,,,dma3591
YML106W,URA5,,dma3610
YMR224C,MRE11,,dma3806
YMR237W,BCH1,,dma3822
YMR300C,ADE4,,dma3890
YMR307W,GAS1,,dma3905
YNL003C,PET8,,dma3935
YNL006W,LST8,lst8-6,tsa466-37C
YNL102W,POL1,pol1-17,tsa345-37C
YNL106C,INP52,,dma4013
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL138W,SRV2,srv2-2,tsa800-37C
YNL138W,SRV2,srv2-ts,tsa675-37C
YNL215W,IES2,,dma4082
YNL216W,RAP1,rap1-2,tsa559-37C
YNL258C,DSL1,dsl1-dc30,tsa418-37C
YNL316C,PHA2,,dma4167
YNR010W,CSE2,,dma4207
YOL004W,SIN3,,dma4294
YOL009C,MDM12,,dma4290
YOL058W,ARG1,,dma4354
YOL108C,INO4,,dma4387
YOL123W,HRP1,hrp1-1,tsa960-37C
YOR026W,BUB3,,dma4443
YOR046C,DBP5,dbp5-1,tsa641-37C
YOR046C,DBP5,dbp5-2,tsa944-37C
YOR074C,CDC21,cdc21-1,tsa927-37C
YOR080W,DIA2,,dma4493
YOR128C,ADE2,,dma5352
YOR141C,ARP8,,dma4550
YOR151C,RPB2,rpb2-6,tsa693-37C
YOR181W,LAS17,las17-13,tsa924-37C
YOR184W,SER1,,dma4596
YOR196C,LIP5,,dma4586
YOR204W,DED1,ded1-f144c,tsa932-37C
YOR212W,STE4,ste4,tsa127-37C
YOR221C,MCT1,,dma4621
YOR236W,DFR1,dfr1-td,tsa884-37C
YOR244W,ESA1,esa1-1851,tsa565-37C
YOR257W,CDC31,cdc31-1,tsa891-37C
YOR312C,RPL20B,,dma4693
YPL022W,RAD1,,dma4782
YPL069C,BTS1,,dma4817
YPL076W,GPI2,gpi2-774,tsa463-37C
YPL190C,NAB3,nab3-11,tsa861-37C
YPL226W,NEW1,,dma4968
YPR060C,ARO7,,dma5054
YPR069C,SPE3,,dma5069
