ORF,Name,Allele,Strain ID
YAR015W,ADE1,,dma65
YAR029W,,,dma82
YBL003C,HTA2,,dma93
YBL025W,RRN10,,dma115
YBL094C,,,dma158
YBR007C,DSF2,,dma190
YBR010W,HHT1,,dma187
YBR070C,ALG14,alg14-5001,tsa1061-37C
YBR106W,PHO88,,dma274
YBR160W,CDC28,cdc28-td,tsa62-37C
YBR189W,RPS9B,,dma342
YBR200W,BEM1,,dma360
YBR289W,SNF5,,dma449
YCR002C,CDC10,cdc10-5,tsa899-37C
YDL028C,MPS1,mps1-6,tsa170-37C
YDL052C,SLC1,,dma640
YDL160C,DHH1,,dma743
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR127W,ARO1,,dma916
YDR158W,HOM2,,dma938
YDR172W,SUP35,sup35-td,tsa28-37C
YDR173C,ARG82,,dma953
YDR245W,MNN10,mnn10-supp1,dma1003
YDR354W,TRP4,,dma1082
YDR359C,EAF1,,dma1102
YDR364C,CDC40,cdc40-ts,tsa18-37C
YDR408C,ADE8,,dma1139
YDR532C,KRE28,,dma1246
YEL026W,SNU13,snu13-5001,tsa1087-37C
YEL062W,NPR2,,dma1301
YER055C,HIS1,,dma1347
YER069W,"ARG5,6",,dma1377
YER069W,"ARG5,6","arg5,6",tsa183-37C
YER069W,"ARG5,6","arg5,6",tsa21-37C
YER069W,"ARG5,6","arg5,6",tsa257-37C
YER069W,"ARG5,6","arg5,6",tsa753-37C
YER090W,TRP2,trp2,tsa554-37C
YER090W,TRP2,trp2,tsa646-37C
YFL018C,LPD1,lpd1-supp1,dma1482
YFL026W,STE2,,dma1499
YFL039C,ACT1,act1-2,tsa789-37C
YGL075C,MPS2,mps2-2,tsa444-37C
YGL080W,MPC1,,dma1649
YGL116W,CDC20,cdc20-1,tsa898-37C
YGL154C,LYS5,,dma1700
YGL154C,LYS5,lys5,tsa411-37C
YGL154C,LYS5,lys5,tsa65-37C
YGL154C,LYS5,lys5,tsa651-37C
YGL154C,LYS5,lys5,tsa815-37C
YGL212W,VAM7,,dma1732
YGL234W,"ADE5,7",,dma1759
YGR061C,ADE6,,dma5192
YHR018C,ARG4,,dma2096
YHR073W,OSH3,,dma2134
YHR107C,CDC12,cdc12-td,tsa50-37C
YHR160C,PEX18,,dma2220
YHR178W,STB5,,dma2213
YIL020C,HIS6,,dma2267
YIL104C,SHQ1,shq1-5001,tsa1100-37C
YIL116W,HIS5,,dma2360
YIL134W,FLX1,,dma2373
YJL130C,URA2,,dma2510
YJL204C,RCY1,,dma2604
YJR077C,MIR1,,dma2661
YJR139C,HOM6,,dma2730
YKL139W,CTK1,ctk1-supp1,dma2867
YKL211C,TRP3,,dma2912
YKL212W,SAC1,,dma2911
YKR037C,SPC34,spc34-7,tsa857-37C
YLL031C,GPI13,gpi13-4,tsa959-37C
YLR045C,STU2,stu2-10,tsa549-37C
YLR318W,EST2,,dma3371
YLR362W,STE11,,dma3407
YML066C,SMA2,,dma3587
YML069W,POB3,pob3-q308k,tsa847-37C
YML101C-A,,,dma3591
YML106W,URA5,,dma3610
YMR061W,RNA14,rna14-5001,tsa1106-37C
YMR198W,CIK1,,dma3800
YMR237W,BCH1,,dma3822
YMR308C,PSE1,pse1-34,tsa682-37C
YNL003C,PET8,,dma3935
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL258C,DSL1,dsl1-dc30,tsa418-37C
YNL263C,YIF1,yif1-td,tsa16-37C
YNL265C,IST1,,dma4136
YNL267W,PIK1,pik1-104,tsa115-37C
YNL316C,PHA2,,dma4167
YOL004W,SIN3,,dma4294
YOL009C,MDM12,,dma4290
YOL049W,GSH2,,dma4340
YOL115W,PAP2,,dma4403
YOL123W,HRP1,hrp1-4,tsa858-37C
YOR196C,LIP5,,dma4586
YOR212W,STE4,ste4,tsa1022-37C
YOR212W,STE4,ste4,tsa127-37C
YOR212W,STE4,ste4,tsa703-37C
YOR221C,MCT1,,dma4621
YOR236W,DFR1,dfr1-td,tsa884-37C
YOR329C,SCD5,scd5-pp1d2,tsa570-37C
YPL175W,SPT14,spt14-1-10c,tsa474-37C
YPR060C,ARO7,,dma5054
