ORF,Name,Allele,Strain ID
YBL093C,ROX3,rox3-182,tsa1015-37C
YBR070C,ALG14,alg14-5001,tsa1061-37C
YBR135W,CKS1,cks1-35,tsa923-37C
YBR160W,CDC28,cdc28-td,tsa62-37C
YBR248C,HIS7,,dma411
YBR294W,SUL1,,dma467
YCL030C,HIS4,,dma499
YCR053W,THR4,,dma569
YDL028C,MPS1,mps1-6,tsa170-37C
YDL102W,POL3,cdc2-7,tsa17-37C
YDL126C,CDC48,cdc48-1,tsa826-37C
YDL140C,RPO21,rpo21-1,tsa804-37C
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR103W,STE5,,dma907
YDR123C,INO2,,dma920
YDR150W,NUM1,,dma946
YDR157W,,,dma939
YDR173C,ARG82,,dma953
YDR245W,MNN10,mnn10-supp1,dma1003
YDR331W,GPI8,gpi8-ts,tsa371-37C
YDR359C,EAF1,,dma1102
YDR437W,GPI19,gpi19-2,tsa1014-37C
YDR460W,TFB3,tfb3-ts,tsa951-37C
YEL062W,NPR2,,dma1301
YEL063C,CAN1,,dma1300
YER055C,HIS1,,dma1347
YER069W,"ARG5,6","arg5,6",tsa1018-37C
YER069W,"ARG5,6","arg5,6",tsa183-37C
YER069W,"ARG5,6","arg5,6",tsa257-37C
YER069W,"ARG5,6","arg5,6",tsa453-37C
YER069W,"ARG5,6","arg5,6",tsa593-37C
YER069W,"ARG5,6","arg5,6",tsa753-37C
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa134-37C
YER090W,TRP2,trp2,tsa211-37C
YER090W,TRP2,trp2,tsa366-37C
YER090W,TRP2,trp2,tsa554-37C
YER090W,TRP2,trp2,tsa646-37C
YER090W,TRP2,trp2,tsa863-37C
YER093C,TSC11,tsc11-5,tsa811-37C
YER125W,RSP5,rsp5-1,tsa182-37C
YER148W,SPT15,spt15-i143n,tsa812-37C
YER166W,DNF1,,dma1460
YER178W,PDA1,,dma1475
YFL018C,LPD1,lpd1-supp1,dma1482
YFL034C-B,MOB2,mob2-28,tsa936-37C
YFL039C,ACT1,act1-111,tsa214-37C
YFL039C,ACT1,act1-124,tsa72-37C
YGL024W,,,dma1619
YGL105W,ARC1,,dma1660
YGL148W,ARO2,,dma1682
YGL154C,LYS5,lys5,tsa359-37C
YGL154C,LYS5,lys5,tsa411-37C
YGL154C,LYS5,lys5,tsa651-37C
YGL173C,XRN1,,dma1708
YGL219C,MDM34,mdm34-supp1,dma1748
YGL234W,"ADE5,7","ade5,7",tsa1054-37C
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa310-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGR061C,ADE6,,dma5192
YGR170W,PSD2,,dma1938
YHL007C,STE20,,dma2052
YHR005C,GPA1,,dma2081
YHR025W,THR1,,dma2092
YHR041C,SRB2,,dma2104
YHR067W,HTD2,,dma2135
YHR107C,CDC12,cdc12-td,tsa50-37C
YIL125W,KGD1,,dma5202
YIL126W,STH1,sth1-3,tsa931-37C
YIR034C,LYS1,,dma2448
YJL046W,AIM22,,dma2464
YJL081C,ARP4,arp4-g161d,tsa618-37C
YJL204C,RCY1,,dma2604
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR065C,ARP3,arp3-d11a,tsa341-37C
YJR065C,ARP3,arp3-g15c,tsa298-37C
YJR090C,GRR1,,dma2675
YKL018W,SWD2,swd2-1,tsa893-37C
YKL145W,RPT1,rpt1-1,tsa190-37C
YLR045C,STU2,stu2-10,tsa549-37C
YLR071C,RGR1,rgr1-100,tsa908-37C
YLR079W,SIC1,,dma3163
YLR182W,SWI6,,dma3243
YLR298C,YHC1,yhc1-6,tsa842-37C
YLR298C,YHC1,yhc1-7,tsa647-37C
YLR314C,CDC3,cdc3-1,tsa885-37C
YLR318W,EST2,,dma3371
YLR420W,URA4,,dma3476
YLR426W,TDA5,tda5-supp2,dma3471
YLR441C,RPS1A,,dma3482
YMR005W,TAF4,taf4-18,tsa942-37C
YMR038C,CCS1,,dma3654
YMR202W,ERG2,,dma3797
YMR224C,MRE11,,dma3806
YMR300C,ADE4,,dma3890
YNL102W,POL1,pol1-12,tsa897-37C
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL267W,PIK1,pik1-139,tsa116-37C
YNL271C,BNI1,,dma4132
YNL272C,SEC2,sec2-41,tsa56-37C
YOL001W,PHO80,,dma4274
YOL004W,SIN3,,dma4294
YOL009C,MDM12,,dma4290
YOL052C,SPE2,,dma4338
YOL068C,HST1,,dma4368
YOL123W,HRP1,hrp1-1,tsa960-37C
YOL123W,HRP1,hrp1-4,tsa858-37C
YOR125C,CAT5,,dma5333
YOR179C,SYC1,,dma5207
YOR181W,LAS17,las17-13,tsa924-37C
YOR202W,HIS3,his3,tsa372-37C
YOR202W,HIS3,his3,tsa963-37C
YOR202W,HIS3,his3,tsa967-37C
YOR202W,HIS3,his3,tsa985-37C
YOR212W,STE4,ste4,tsa404-37C
YOR212W,STE4,ste4,tsa631-37C
YOR221C,MCT1,,dma4621
YPL069C,BTS1,,dma4817
YPL160W,CDC60,cdc60-ts,tsa922-37C
YPL190C,NAB3,nab3-11,tsa861-37C
YPL217C,BMS1,bms1-1,tsa678-37C
YPL255W,BBP1,bbp1-2,tsa864-37C
YPR069C,SPE3,,dma5069
YPR103W,PRE2,pre2-2,tsa917-37C
YPR103W,PRE2,pre2-75,tsa918-37C
