ORF,Name,Allele,Strain ID
YAL010C,MDM10,,dma18
YAR015W,ADE1,,dma65
YBL025W,RRN10,,dma115
YBR131W,CCZ1,,dma294
YBR135W,CKS1,cks1-35,tsa923-37C
YBR200W,BEM1,,dma360
YBR231C,SWC5,,dma400
YBR274W,CHK1,,dma439
YBR289W,SNF5,,dma449
YCL030C,HIS4,,dma499
YCL037C,SRO9,,dma516
YCR002C,CDC10,cdc10-5,tsa899-37C
YCR053W,THR4,,dma569
YCR063W,BUD31,,dma586
YCR081W,SRB8,,dma597
YDL001W,RMD1,,dma622
YDL006W,PTC1,,dma620
YDL013W,SLX5,,dma616
YDL083C,RPS16B,,dma679
YDL100C,GET3,,dma690
YDL106C,PHO2,,dma688
YDL140C,RPO21,rpo21-1,tsa804-37C
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR085C,AFR1,,dma880
YDR094W,,,dma898
YDR103W,STE5,,dma907
YDR123C,INO2,,dma920
YDR126W,SWF1,,dma917
YDR127W,ARO1,,dma916
YDR159W,SAC3,,dma960
YDR173C,ARG82,,dma953
YDR182W,CDC1,cdc1-4,tsa807-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR258C,HSP78,,dma1014
YDR331W,GPI8,gpi8-ts,tsa371-37C
YDR354W,TRP4,,dma1082
YDR408C,ADE8,,dma1139
YDR410C,STE14,,dma1137
YDR437W,GPI19,gpi19-2,tsa1014-37C
YDR461W,MFA1,,dma5364
YDR477W,SNF1,snf1-supp1,dma5262
YDR497C,ITR1,,dma1223
YDR532C,KRE28,,dma1246
YEL003W,GIM4,,dma1271
YEL063C,CAN1,,dma1300
YER055C,HIS1,,dma1347
YER069W,"ARG5,6",,dma1377
YER069W,"ARG5,6","arg5,6",tsa1018-37C
YER069W,"ARG5,6","arg5,6",tsa183-37C
YER069W,"ARG5,6","arg5,6",tsa21-37C
YER069W,"ARG5,6","arg5,6",tsa257-37C
YER069W,"ARG5,6","arg5,6",tsa593-37C
YER090W,TRP2,,dma1384
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa134-37C
YER090W,TRP2,trp2,tsa211-37C
YER090W,TRP2,trp2,tsa366-37C
YER090W,TRP2,trp2,tsa554-37C
YER090W,TRP2,trp2,tsa723-37C
YER090W,TRP2,trp2,tsa863-37C
YER116C,SLX8,slx8-supp1,dma1413
YER125W,RSP5,rsp5-sm1,tsa464-37C
YER157W,COG3,cog3-1,tsa41-37C
YER162C,RAD4,,dma1463
YFL039C,ACT1,act1-2,tsa789-37C
YFL039C,ACT1,act1-3,tsa137-37C
YGL009C,LEU1,,dma1607
YGL024W,,,dma1619
YGL043W,DST1,,dma1631
YGL075C,MPS2,mps2-2,tsa444-37C
YGL130W,CEG1,ceg1-c354,tsa124-37C
YGL136C,MRM2,,dma1690
YGL154C,LYS5,,dma1700
YGL154C,LYS5,lys5,tsa153-37C
YGL154C,LYS5,lys5,tsa520-37C
YGL154C,LYS5,lys5,tsa65-37C
YGL154C,LYS5,lys5,tsa709-37C
YGL154C,LYS5,lys5,tsa979-37C
YGL173C,XRN1,,dma1708
YGL214W,,,dma1730
YGL234W,"ADE5,7",,dma1759
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa310-37C
YGL234W,"ADE5,7","ade5,7",tsa39-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGR054W,,,dma1846
YGR105W,VMA21,,dma1867
YGR135W,PRE9,,dma1892
YGR157W,CHO2,,dma1899
YGR187C,HGH1,,dma1951
