ORF,Name,Allele,Strain ID
YAL003W,EFB1,efb1-4,tsa987-37C
YBR135W,CKS1,cks1-35,tsa923-37C
YBR189W,RPS9B,,dma342
YBR200W,BEM1,,dma360
YBR248C,HIS7,,dma411
YBR274W,CHK1,,dma439
YBR294W,SUL1,,dma467
YCR002C,CDC10,cdc10-5,tsa899-37C
YCR042C,TAF2,taf2-1,tsa802-37C
YDL006W,PTC1,,dma620
YDL008W,APC11,apc11-22,tsa719-37C
YDL017W,CDC7,cdc7-1,tsa880-37C
YDL041W,,,dma645
YDL042C,SIR2,,dma639
YDL052C,SLC1,,dma640
YDL090C,RAM1,,dma674
YDL140C,RPO21,rpo21-1,tsa804-37C
YDL159W,STE7,,dma744
YDL160C,DHH1,,dma743
YDL207W,GLE1,gle1-4,tsa920-37C
YDR034C,LYS14,,dma5225
YDR103W,STE5,,dma907
YDR158W,HOM2,,dma938
YDR172W,SUP35,sup35-td,tsa28-37C
YDR182W,CDC1,cdc1-4,tsa807-37C
YDR227W,SIR4,,dma987
YDR234W,LYS4,,dma1007
YDR354W,TRP4,,dma1082
YDR356W,SPC110,spc110-221,tsa276-37C
YDR364C,CDC40,cdc40-ts,tsa18-37C
YDR408C,ADE8,,dma1139
YDR410C,STE14,,dma1137
YDR437W,GPI19,gpi19-2,tsa1014-37C
YDR455C,,,dma1179
YEL062W,NPR2,,dma1301
YER052C,HOM3,,dma1350
YER055C,HIS1,,dma1347
YER069W,"ARG5,6",,dma1377
YER069W,"ARG5,6","arg5,6",tsa183-37C
YER069W,"ARG5,6","arg5,6",tsa21-37C
YER069W,"ARG5,6","arg5,6",tsa453-37C
YER069W,"ARG5,6","arg5,6",tsa502-37C
YER069W,"ARG5,6","arg5,6",tsa593-37C
YER090W,TRP2,,dma1384
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa134-37C
YER090W,TRP2,trp2,tsa554-37C
YER090W,TRP2,trp2,tsa723-37C
YER090W,TRP2,trp2,tsa863-37C
YER125W,RSP5,rsp5-sm1,tsa464-37C
YFL018C,LPD1,lpd1-supp1,dma1482
YFL036W,RPO41,,dma1490
YFL039C,ACT1,act1-108,tsa904-37C
YFL039C,ACT1,act1-120,tsa74-37C
YFR010W,UBP6,,dma1515
YGL009C,LEU1,,dma1607
YGL022W,STT3,stt3-1,tsa790-37C
YGL026C,TRP5,,dma1618
YGL048C,RPT6,rpt6-20,tsa907-37C
YGL055W,OLE1,ole1-m2,tsa506-37C
YGL075C,MPS2,mps2-2,tsa444-37C
YGL097W,SRM1,srm1-ts,tsa955-37C
YGL105W,ARC1,,dma1660
YGL154C,LYS5,lys5,tsa359-37C
YGL154C,LYS5,lys5,tsa520-37C
YGL154C,LYS5,lys5,tsa65-37C
YGL154C,LYS5,lys5,tsa815-37C
YGL154C,LYS5,lys5,tsa979-37C
YGL234W,"ADE5,7",,dma1759
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa310-37C
YGL234W,"ADE5,7","ade5,7",tsa39-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL234W,"ADE5,7","ade5,7",tsa820-37C
YGL237C,HAP2,,dma1756
YGR054W,,,dma1846
YGR278W,CWC22,cwc22-5001,tsa1092-37C
YHL007C,STE20,,dma2052
YHR005C,GPA1,,dma2081
YHR025W,THR1,,dma2092
YHR052W,CIC1,cic1-2,tsa713-37C
YHR160C,PEX18,,dma2220
YIL011W,TIR3,,dma2252
YIL020C,HIS6,,dma2267
YIL107C,PFK26,,dma2343
YIL116W,HIS5,,dma2360
YJL019W,MPS3,mps3-7,tsa929-37C
YJL088W,ARG3,,dma2486
YJL130C,URA2,,dma2510
YJL173C,RFA3,rfa3-313,tsa653-37C
YJR057W,CDC8,cdc8-1,tsa407-37C
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR065C,ARP3,arp3-31,tsa894-37C
YJR073C,OPI3,,dma2664
YJR077C,MIR1,,dma2661
YJR090C,GRR1,,dma2675
YJR139C,HOM6,,dma2730
YKL065C,YET1,,dma2806
YKL113C,RAD27,,dma2839
YKL139W,CTK1,ctk1-supp1,dma2867
YKL176C,LST4,,dma2888
YKL184W,SPE1,,dma2883
YKR099W,BAS1,,dma3018
YLL044W,,,dma3051
YLR058C,SHM2,,dma3151
YLR071C,RGR1,rgr1-100,tsa908-37C
YLR079W,SIC1,,dma3163
YLR131C,ACE2,,dma3228
YLR182W,SWI6,,dma3243
YLR192C,HCR1,,dma3257
YLR298C,YHC1,yhc1-3,tsa840-37C
YLR310C,CDC25,cdc25-1,tsa23-37C
YLR318W,EST2,,dma3371
YLR321C,SFH1,sfh1-1,tsa952-37C
YLR420W,URA4,,dma3476
YLR448W,RPL6B,,dma3499
YML022W,APT1,,dma3537
YML069W,POB3,pob3-q308k,tsa847-37C
YMR001C,CDC5,cdc5-1,tsa879-37C
YMR049C,ERB1,erb1-5001,tsa1102-37C
YMR224C,MRE11,,dma3806
YMR300C,ADE4,,dma3890
YMR308C,PSE1,pse1-34,tsa682-37C
YNL004W,HRB1,,dma3934
YNL118C,DCP2,dcp2-7,tsa743-37C
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL138W,SRV2,srv2-ts,tsa675-37C
YNL197C,WHI3,,dma4073
YNL271C,BNI1,,dma4132
YNL272C,SEC2,sec2-41,tsa56-37C
YNR010W,CSE2,,dma4207
YOL001W,PHO80,,dma4274
YOL052C,SPE2,,dma4338
YOL058W,ARG1,,dma4354
YOL123W,HRP1,hrp1-1,tsa960-37C
