ORF,Name,Allele,Strain ID
YAL048C,GEM1,,dma5203
YAR015W,ADE1,,dma65
YBL001C,ECM15,,dma94
YBL003C,HTA2,,dma93
YBL008W,HIR1,,dma90
YBL025W,RRN10,,dma115
YBL034C,STU1,stu1-7,tsa950-37C
YBL093C,ROX3,rox3-182,tsa1015-37C
YBR049C,REB1,reb1-5001,tsa1107-37C
YBR189W,RPS9B,,dma342
YBR194W,AIM4,,dma341
YBR289W,SNF5,,dma449
YCL024W,KCC4,,dma470
YCR002C,CDC10,cdc10-5,tsa899-37C
YCR063W,BUD31,,dma586
YDL008W,APC11,apc11-22,tsa719-37C
YDL028C,MPS1,mps1-6,tsa170-37C
YDL041W,,,dma645
YDL126C,CDC48,cdc48-1,tsa826-37C
YDL140C,RPO21,rpo21-1,tsa804-37C
YDR080W,VPS41,,dma883
YDR126W,SWF1,,dma917
YDR157W,,,dma939
YDR158W,HOM2,,dma938
YDR172W,SUP35,sup35-td,tsa28-37C
YDR182W,CDC1,cdc1-4,tsa807-37C
YDR207C,UME6,,dma979
YDR208W,MSS4,mss4-102,tsa903-37C
YDR234W,LYS4,,dma1007
YDR235W,PRP42,prp42-5001,tsa1085-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR258C,HSP78,,dma1014
YDR359C,EAF1,,dma1102
YEL061C,CIN8,,dma1302
YEL063C,CAN1,,dma1300
YER090W,TRP2,,dma1384
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa134-37C
YER090W,TRP2,trp2,tsa554-37C
YER090W,TRP2,trp2,tsa723-37C
YER090W,TRP2,trp2,tsa863-37C
YER125W,RSP5,rsp5-sm1,tsa464-37C
YER162C,RAD4,,dma1463
YFL018C,LPD1,lpd1-supp1,dma1482
YFL034C-B,MOB2,mob2-20,tsa940-37C
YFR031C,SMC2,smc2-8,tsa522-37C
YGL009C,LEU1,,dma1607
YGL022W,STT3,stt3-1,tsa790-37C
YGL026C,TRP5,,dma1618
YGL055W,OLE1,ole1-m2,tsa506-37C
YGL075C,MPS2,mps2-1,tsa443-37C
YGL080W,MPC1,,dma1649
YGL105W,ARC1,,dma1660
YGL130W,CEG1,ceg1-c354,tsa124-37C
YGL154C,LYS5,lys5,tsa153-37C
YGL214W,,,dma1730
YGL234W,"ADE5,7",,dma1759
