ORF,Name,Allele,Strain ID
YAR015W,ADE1,,dma65
YAR029W,,,dma82
YBL001C,ECM15,,dma94
YBL027W,RPL19B,,dma114
YBR001C,NTH2,,dma170
YBR070C,ALG14,alg14-5001,tsa1061-37C
YBR106W,PHO88,,dma274
YBR135W,CKS1,cks1-35,tsa923-37C
YBR155W,CNS1,cns1-1,tsa567-37C
YBR160W,CDC28,cdc28-td,tsa62-37C
YBR289W,SNF5,,dma449
YCL032W,STE50,,dma498
YCR053W,THR4,,dma569
YCR081W,SRB8,,dma597
YDL006W,PTC1,,dma620
YDL008W,APC11,apc11-22,tsa719-37C
YDL035C,GPR1,,dma628
YDL077C,VAM6,,dma649
YDL102W,POL3,cdc2-1,tsa406-37C
YDL102W,POL3,cdc2-7,tsa17-37C
YDL126C,CDC48,cdc48-1,tsa826-37C
YDL140C,RPO21,rpo21-1,tsa804-37C
YDL207W,GLE1,gle1-2,tsa919-37C
YDL207W,GLE1,gle1-4,tsa920-37C
YDR006C,SOK1,,dma836
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR123C,INO2,,dma920
YDR157W,,,dma939
YDR170C,SEC7,sec7-1,tsa44-37C
YDR171W,HSP42,,dma954
YDR172W,SUP35,sup35-td,tsa28-37C
YDR174W,HMO1,,dma952
YDR182W,CDC1,cdc1-4,tsa807-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR335W,MSN5,,dma1070
YDR359C,EAF1,,dma1102
YDR408C,ADE8,,dma1139
YDR410C,STE14,,dma1137
YDR437W,GPI19,gpi19-2,tsa1014-37C
YDR455C,,,dma1179
YDR461W,MFA1,,dma5364
YEL063C,CAN1,,dma1300
YER055C,HIS1,,dma1347
YER069W,"ARG5,6",,dma1377
YER069W,"ARG5,6","arg5,6",tsa453-37C
YER069W,"ARG5,6","arg5,6",tsa593-37C
YER069W,"ARG5,6","arg5,6",tsa753-37C
YER069W,"ARG5,6","arg5,6",tsa798-37C
YER090W,TRP2,trp2,tsa1040-37C
YER090W,TRP2,trp2,tsa134-37C
YER090W,TRP2,trp2,tsa211-37C
YER090W,TRP2,trp2,tsa554-37C
YER090W,TRP2,trp2,tsa723-37C
YER090W,TRP2,trp2,tsa863-37C
YER093C,TSC11,tsc11-5,tsa811-37C
YER093C-A,AIM11,,dma1403
YER125W,RSP5,rsp5-1,tsa182-37C
YER125W,RSP5,rsp5-sm1,tsa464-37C
YFL009W,CDC4,cdc4-2,tsa415-37C
YFL018C,LPD1,lpd1-supp1,dma1482
YFL034C-B,MOB2,mob2-11,tsa609-37C
YFL034C-B,MOB2,mob2-28,tsa936-37C
YFL039C,ACT1,act1-105,tsa909-37C
YFL039C,ACT1,act1-120,tsa74-37C
YFR010W,UBP6,,dma1515
YFR025C,HIS2,,dma1568
YGL022W,STT3,stt3-1,tsa790-37C
YGL026C,TRP5,,dma1618
YGL048C,RPT6,rpt6-20,tsa907-37C
YGL075C,MPS2,mps2-1,tsa443-37C
YGL127C,SOH1,,dma1671
YGL154C,LYS5,lys5,tsa153-37C
YGL154C,LYS5,lys5,tsa238-37C
YGL154C,LYS5,lys5,tsa411-37C
YGL154C,LYS5,lys5,tsa65-37C
YGL154C,LYS5,lys5,tsa651-37C
YGL168W,HUR1,,dma1710
YGL218W,,,dma1749
YGL234W,"ADE5,7","ade5,7",tsa1054-37C
YGL234W,"ADE5,7","ade5,7",tsa178-37C
YGL234W,"ADE5,7","ade5,7",tsa310-37C
YGL234W,"ADE5,7","ade5,7",tsa39-37C
YGL234W,"ADE5,7","ade5,7",tsa536-37C
YGL234W,"ADE5,7","ade5,7",tsa579-37C
YGL237C,HAP2,,dma1756
YGR050C,,,dma1827
YGR092W,DBF2,,dma1850
YGR097W,ASK10,,dma1870
YGR105W,VMA21,,dma1867
YGR116W,SPT6,spt6-14,tsa834-37C
YGR157W,CHO2,,dma1899
YGR270W,YTA7,,dma2009
YGR292W,MAL12,,dma5298
YHR037W,PUT2,,dma2106
YHR162W,MPC2,,dma2218
YHR178W,STB5,,dma2213
YIL054W,,,dma2287
YIL062C,ARC15,arc15-10,tsa888-37C
YIL094C,LYS12,,dma5314
YIL107C,PFK26,,dma2343
YIL125W,KGD1,,dma5202
YIL128W,MET18,,dma2354
YIL134W,FLX1,,dma2373
YIL148W,RPL40A,,dma2387
YIR034C,LYS1,,dma2448
YJL029C,VPS53,vps53-supp1,dma5323
YJL157C,FAR1,,dma2555
YJL188C,BUD19,,dma2578
YJL204C,RCY1,,dma2604
YJR011C,,,dma2606
YJR053W,BFA1,,dma2650
YJR057W,CDC8,cdc8-1,tsa407-37C
YJR057W,CDC8,cdc8-2,tsa22-37C
YJR065C,ARP3,arp3-g302y,tsa296-37C
YJR068W,RFC2,rfc2-1,tsa342-37C
YJR084W,,,dma2655
YJR120W,,,dma2721
YJR139C,HOM6,,dma2730
YKL024C,URA6,ura6-5,tsa1032-37C
YKL139W,CTK1,ctk1-supp1,dma2867
YKL145W,RPT1,rpt1-1,tsa190-37C
YKL184W,SPE1,,dma2883
YKL203C,TOR2,tor2-29,tsa838-37C
YKL204W,EAP1,,dma2894
YKL211C,TRP3,,dma2912
YKL212W,SAC1,,dma2911
YKL216W,URA1,,dma2907
YKR099W,BAS1,,dma3018
YLL043W,FPS1,,dma3052
YLL044W,,,dma3051
YLR079W,SIC1,,dma3163
YLR182W,SWI6,,dma3243
YLR318W,EST2,,dma3371
YLR338W,OPI9,,dma3379
YLR357W,RSC2,,dma3387
YLR391W,,,dma3428
YLR448W,RPL6B,,dma3499
YLR459W,GAB1,gab1-2,tsa201-37C
YML008C,ERG6,,dma3527
YML010W,SPT5,spt5-194,tsa833-37C
YML012C-A,,,dma3522
YML016C,PPZ1,,dma3520
YML022W,APT1,,dma3537
YML041C,VPS71,,dma3546
YML106W,URA5,,dma3610
YMR202W,ERG2,,dma3797
YMR224C,MRE11,,dma3806
YMR233W,TRI1,,dma3824
YMR291W,TDA1,,dma3897
YMR298W,LIP1,lip1-5001,tsa1059-37C
YMR300C,ADE4,,dma3890
YNL003C,PET8,,dma3935
YNL006W,LST8,lst8-6,tsa466-37C
YNL071W,LAT1,,dma3994
YNL080C,EOS1,eos1-supp1,dma3987
YNL118C,DCP2,dcp2-7d,tsa754-37C
YNL138W,SRV2,srv2-2,tsa800-37C
YNL138W,SRV2,srv2-ts,tsa675-37C
YNL147W,LSM7,,dma5339
YNL236W,SIN4,,dma4113
YNL263C,YIF1,yif1-td,tsa16-37C
YNL265C,IST1,,dma4136
YNL271C,BNI1,,dma4132
YNL302C,RPS19B,,dma4176
YNL311C,SKP2,,dma4170
YNR010W,CSE2,,dma4207
YNR041C,COQ2,,dma5177
YOL001W,PHO80,,dma4274
YOL004W,SIN3,,dma4294
YOL009C,MDM12,,dma4290
YOL041C,NOP12,,dma4312
YOL049W,GSH2,,dma4340
YOL052C,SPE2,,dma4338
YOL058W,ARG1,,dma4354
YOL123W,HRP1,hrp1-1,tsa960-37C
YOL123W,HRP1,hrp1-4,tsa858-37C
YOR014W,RTS1,,dma4431
YOR020C,HSP10,hsp10-ts,tsa681-37C
YOR026W,BUB3,,dma4443
YOR080W,DIA2,,dma4493
YOR125C,CAT5,,dma5333
YOR151C,RPB2,rpb2-6,tsa693-37C
YOR202W,HIS3,his3,tsa1021-37C
YOR202W,HIS3,his3,tsa372-37C
YOR202W,HIS3,his3,tsa384-37C
YOR202W,HIS3,his3,tsa961-37C
YOR202W,HIS3,his3,tsa962-37C
YOR202W,HIS3,his3,tsa965-37C
YOR202W,HIS3,his3,tsa967-37C
YOR202W,HIS3,his3,tsa970-37C
YOR202W,HIS3,his3,tsa985-37C
YOR212W,STE4,ste4,tsa404-37C
YOR221C,MCT1,,dma4621
YOR257W,CDC31,cdc31-2,tsa151-37C
YOR259C,RPT4,rpt4-145,tsa263-37C
YOR360C,PDE2,,dma4742
YPL022W,RAD1,,dma4782
YPL055C,LGE1,,dma4805
YPL069C,BTS1,,dma4817
YPL160W,CDC60,cdc60-ts,tsa922-37C
YPL190C,NAB3,nab3-11,tsa861-37C
YPL255W,BBP1,bbp1-2,tsa864-37C
YPL265W,DIP5,,dma5011
YPR032W,SRO7,,dma5048
YPR069C,SPE3,,dma5069
YPR070W,MED1,,dma5068
YPR103W,PRE2,pre2-75,tsa918-37C
YPR108W,RPN7,rpn7-3,tsa1037-37C
YPR135W,CTF4,,dma5136
YPR161C,SGV1,sgv1-23,tsa1027-37C
