ORF,Name,Allele,Strain ID
YAL011W,SWC3,,DMA17-37C
YAL018C,LDS1,,dma35
YAL023C,PMT2,,dma31
YBL001C,ECM15,,dma94
YBL003C,HTA2,,dma93
YBL025W,RRN10,,dma115
YBL031W,SHE1,,dma111
YBL034C,STU1,stu1-7,TSA950-37C
YBL040C,ERD2,erd2-5001,TSA1072-37C
YBL079W,NUP170,nup170-supp1,dma146
YBR018C,GAL7,,dma203
YBR019C,GAL10,,dma202
YBR026C,ETR1,,DMA196-37C
YBR027C,,,dma195
YBR030W,RKM3,,dma193
YBR033W,EDS1,,dma213
YBR036C,CSG2,,dma211
YBR041W,FAT1,,dma209
YBR042C,CST26,,dma208
YBR043C,QDR3,,dma207
YBR044C,TCM62,,dma206
YBR047W,FMP23,,dma226
YBR048W,RPS11B,,dma225
YBR049C,REB1,reb1-5001,TSA1107-37C
YBR052C,RFS1,,dma222
YBR062C,,,dma237
YBR063C,,,dma236
YBR064W,,,dma235
YBR065C,ECM2,,dma234
YBR066C,NRG2,,dma233
YBR074W,PFF1,,dma249
YBR076W,ECM8,,dma247
YBR092C,PHO3,,dma262
YBR093C,PHO5,,dma261
YBR100W,,,dma256
YBR111C,YSA1,,dma271
YBR116C,,,dma267
YBR121C,GRS1,,dma265
YBR129C,OPY1,,dma296
YBR135W,CKS1,cks1-38,TSA332-37C
YBR164C,ARL1,,dma318
YBR166C,TYR1,,dma316
YBR171W,SEC66,,dma335
YBR175W,SWD3,,dma332
YBR177C,EHT1,,dma330
YBR180W,DTR1,,dma328
YBR181C,RPS6B,,dma327
YBR187W,GDT1,,dma344
YBR194W,AIM4,,dma341
YBR200W,BEM1,,DMA360-37C
YBR202W,MCM7,cdc47-ts,TSA125-37C
YBR205W,KTR3,,dma356
YBR219C,,,dma366
YBR221C,PDB1,,dma364
YBR236C,ABD1,abd1-5,TSA75-37C
YBR255W,MTC4,,dma431
YCR044C,PER1,per1-supp1,dma575
YCR053W,THR4,,dma569
YCR062W,,,dma587
YCR071C,IMG2,,dma581
YCR073C,SSK22,,dma580
YCR073W-A,SOL2,,dma579
YCR075C,ERS1,,dma578
YCR079W,PTC6,,dma598
YCR086W,CSM1,,dma593
YCR090C,,,dma611
YCR106W,RDS1,,dma623
YDL001W,RMD1,,dma622
YDL006W,PTC1,,dma620
YDL008W,APC11,apc11-22,TSA719-37C
YDL011C,,,dma618
YDL013W,SLX5,,dma616
YDL020C,RPN4,,dma613
YDL028C,MPS1,mps1-1,TSA166-37C
YDL028C,MPS1,mps1-6,TSA170-37C
YDL033C,SLM3,,dma630
YDL039C,PRM7,,dma647
YDL056W,MBP1,,dma659
YDL091C,UBX3,,dma696
YDL102W,POL3,cdc2-7,TSA17-37C
YDL105W,NSE4,nse4-ts2,TSA1013-37C
YDL105W,NSE4,nse4-ts4,TSA993-37C
YDL126C,CDC48,cdc48-4601,TSA851-37C
YDL127W,PCL2,,dma720
YDL136W,RPL35B,,dma732
YDL140C,RPO21,rpo21-1,TSA804-37C
YDL155W,CLB3,,dma724
YDL165W,CDC36,cdc36-16,TSA314-37C
YDL232W,OST4,ost4-supp2,dma805
YDR123C,INO2,,DMA920-37C
YDR123C,INO2,,dma920
YDR127W,ARO1,,DMA916-37C
YDR127W,ARO1,,dma916
YDR145W,TAF12,taf12-l446a,TSA806-37C
YDR157W,,,dma939
YDR158W,HOM2,,DMA938-37C
YDR158W,HOM2,,dma938
YDR159W,SAC3,,dma960
YDR167W,TAF10,taf10-ts34,TSA957-37C
YDR172W,SUP35,sup35-td,TSA28-37C
YDR182W,CDC1,cdc1-4,TSA807-37C
YDR186C,,,dma966
YDR207C,UME6,,dma979
YDR208W,MSS4,mss4-102,TSA903-37C
YDR222W,,,dma990
YDR235W,PRP42,prp42-5001,TSA1085-37C
YDR236C,FMN1,fmn1-5001,TSA1245-37C
YDR245W,MNN10,mnn10-supp1,DMA1003-37C
YDR293C,SSD1,,dma1035
YDR299W,BFR2,bfr2-5001,TSA1218-37C
YDR331W,GPI8,gpi8-ts,TSA371-37C
YDR334W,SWR1,,dma1071
YDR335W,MSN5,,dma1070
YDR354W,TRP4,,dma1082
YDR378C,LSM6,,DMA1114-37C
YDR388W,RVS167,,dma1128
YDR389W,SAC7,,dma1127
