ORF,Name,Allele,Strain ID
YAL003W,EFB1,efb1-4,tsa987-37C
YAL010C,MDM10,,dma18
YAL048C,GEM1,,dma5203
YAR015W,ADE1,,dma65
YAR019C,CDC15,cdc15-2,tsa882-37C
YAR029W,,,dma82
YBL001C,ECM15,,dma94
YBL003C,HTA2,,dma93
YBL008W,HIR1,,dma90
YBL025W,RRN10,,dma115
YBL093C,ROX3,rox3-182,tsa1015-37C
YBR001C,NTH2,,dma170
YBR049C,REB1,reb1-5001,tsa1107-37C
YBR078W,ECM33,,dma5187
YBR135W,CKS1,cks1-35,tsa923-37C
YBR155W,CNS1,cns1-1,tsa567-37C
YBR157C,ICS2,,dma324
YBR160W,CDC28,cdc28-td,tsa62-37C
YBR189W,RPS9B,,dma342
YBR193C,MED8,med8-39,tsa751-37C
YBR200W,BEM1,,dma360
YBR202W,MCM7,cdc47-ts,tsa125-37C
YBR248C,HIS7,,dma411
YBR274W,CHK1,,dma439
YBR289W,SNF5,,dma449
YCL052C,PBN1,pbn1-5001,tsa1069-37C
YCR002C,CDC10,cdc10-5,tsa899-37C
YCR042C,TAF2,taf2-1,tsa802-37C
YCR053W,THR4,,dma569
YCR071C,IMG2,,dma581
YCR081W,SRB8,,dma597
YCR102C,,,dma603
YDL006W,PTC1,,dma620
YDL007W,RPT2,rpt2-rf,tsa934-37C
YDL008W,APC11,apc11-22,tsa719-37C
YDL014W,NOP1,nop1-2,tsa803-37C
YDL028C,MPS1,mps1-6,tsa170-37C
YDL100C,GET3,,dma690
YDL102W,POL3,cdc2-1,tsa406-37C
YDL102W,POL3,cdc2-7,tsa17-37C
YDL106C,PHO2,,dma688
YDL126C,CDC48,cdc48-1,tsa826-37C
YDL140C,RPO21,rpo21-1,tsa804-37C
YDL147W,RPN5,rpn5-5001,tsa1080-37C
YDL194W,SNF3,,dma783
YDL207W,GLE1,gle1-2,tsa919-37C
YDL207W,GLE1,gle1-4,tsa920-37C
YDL242W,,,dma819
YDR006C,SOK1,,dma836
YDR007W,TRP1,,dma835
YDR034C,LYS14,,dma5225
YDR060W,MAK21,mak21-3,tsa250-37C
YDR123C,INO2,,dma920
YDR126W,SWF1,,dma917
YDR145W,TAF12,taf12-l464a,tsa517-37C
YDR162C,NBP2,,dma958
YDR167W,TAF10,taf10-ts34,tsa957-37C
YDR172W,SUP35,sup35-td,tsa28-37C
YDR173C,ARG82,,dma953
YDR182W,CDC1,cdc1-4,tsa807-37C
YDR196C,CAB5,cab5-1,tsa890-37C
YDR208W,MSS4,mss4-102,tsa903-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR258C,HSP78,,dma1014
YDR293C,SSD1,,dma1035
YDR311W,TFB1,tfb1-6,tsa715-37C
YDR315C,IPK1,,dma1059
YDR328C,SKP1,skp1-3,tsa809-37C
YDR334W,SWR1,,dma1071
YDR359C,EAF1,,dma1102
YDR441C,APT2,,dma1186
YDR460W,TFB3,tfb3-ts,tsa951-37C
YDR477W,SNF1,snf1-supp1,dma5262
YDR512C,EMI1,,dma1213
YEL002C,WBP1,wbp1-1,tsa590-37C
YEL002C,WBP1,wbp1-2,tsa581-37C
YEL030W,ECM10,,dma1275
YEL032W,MCM3,mcm3-1,tsa112-37C
YEL034W,HYP2,hyp2-1,tsa736-37C
YEL034W,HYP2,hyp2-1159-supp1,tsa749-37C
YEL034W,HYP2,hyp2-2,tsa750-37C
YEL034W,HYP2,hyp2-3,tsa737-37C
YEL038W,UTR4,,dma1294
YEL060C,PRB1,,dma1303
YEL064C,AVT2,,dma1299
YEL065W,SIT1,,dma1298
YER061C,CEM1,,dma1363
YER069W,"ARG5,6","arg5,6",tsa257-37C
YER069W,"ARG5,6","arg5,6",tsa316-37C
YER069W,"ARG5,6","arg5,6",tsa453-37C
YER069W,"ARG5,6","arg5,6",tsa502-37C
YER069W,"ARG5,6","arg5,6",tsa798-37C
YER090W,TRP2,trp2,tsa211-37C
YER090W,TRP2,trp2,tsa646-37C
