ORF,Name,Allele,Strain ID
YAR015W,ADE1,,dma65
YBL003C,HTA2,,dma93
YBR026C,ETR1,,dma196
YBR106W,PHO88,,dma274
YBR155W,CNS1,cns1-1,TSA567-37C
YBR294W,SUL1,,dma467
YCL030C,HIS4,,dma499
YCR002C,CDC10,cdc10-5,TSA899-37C
YCR053W,THR4,,dma569
YDL008W,APC11,apc11-22,TSA719-37C
YDL013W,SLX5,,dma616
YDL028C,MPS1,mps1-1,TSA166-37C
YDL102W,POL3,cdc2-7,TSA17-37C
YDL160C,DHH1,,dma743
YDR087C,RRP1,rrp1-1,TSA181-37C
YDR123C,INO2,,dma920
YDR127W,ARO1,,DMA916-37C
YDR127W,ARO1,,dma916
YDR158W,HOM2,,dma938
YDR172W,SUP35,sup35-td,TSA28-37C
YDR245W,MNN10,mnn10-supp1,dma1003
YDR331W,GPI8,gpi8-ts,TSA371-37C
YDR354W,TRP4,,dma1082
YDR359C,EAF1,,dma1102
YDR500C,RPL37B,,dma1222
YER052C,HOM3,,dma1350
YER055C,HIS1,,dma1347
YER090W,TRP2,,dma1384
YFL010C,WWM1,,dma5285
YGL009C,LEU1,,dma1607
YGL075C,MPS2,mps2-1,TSA443-37C
YGL091C,NBP35,nbp35-5001,TSA1120-37C
YGL097W,SRM1,srm1-ts,TSA955-37C
YGL105W,ARC1,,dma1660
YGL130W,CEG1,ceg1-c354,TSA124-37C
YGL147C,RPL9A,,dma1683
YGL234W,"ADE5,7",,dma1759
YGR009C,SEC9,sec9-4,TSA57-37C
YGR054W,,,dma1846
YGR061C,ADE6,,dma5192
YGR208W,SER2,,dma1958
YHL007C,STE20,,dma2052
YHR018C,ARG4,,dma2096
YHR025W,THR1,,dma2092
YHR052W,CIC1,cic1-2,TSA713-37C
YHR059W,FYV4,,dma2115
YHR107C,CDC12,cdc12-td,TSA50-37C
YHR122W,CIA2,cia2-5001,TSA1208-37C
YHR178W,STB5,,DMA2213-37C
YHR178W,STB5,,dma2213
YHR194W,MDM31,,dma2226
YIL020C,HIS6,,dma2267
YIL061C,SNP1,snp1-5001,TSA1257-37C
YJL081C,ARP4,arp4-g161d,TSA618-37C
YJL088W,ARG3,,dma2486
YJL101C,GSH1,,dma2500
YJL173C,RFA3,rfa3-313,TSA653-37C
YJL204C,RCY1,,dma2604
YJR054W,KCH1,,DMA2649-37C
YJR057W,CDC8,cdc8-1,TSA407-37C
YJR073C,OPI3,,DMA2664-37C
YJR073C,OPI3,,dma2664
YJR076C,CDC11,cdc11-2,TSA82-37C
YJR139C,HOM6,,DMA2730-37C
YJR139C,HOM6,,dma2730
YKL211C,TRP3,,dma2912
YKL212W,SAC1,,dma2911
YKL216W,URA1,,dma2907
YLL003W,SFI1,sfi1-7,TSA459-37C
YLL044W,,,dma3051
YLR182W,SWI6,,dma3243
YLR192C,HCR1,,dma3257
YLR268W,SEC22,sec22-3,TSA121-37C
YLR310C,CDC25,cdc25-1,TSA23-37C
YLR318W,EST2,,dma3371
YLR418C,CDC73,,DMA3477-37C
YML010W,SPT5,spt5-194,TSA833-37C
YML101C-A,,,dma3591
YML106W,URA5,,dma3610
YML129C,COX14,,dma5233
YMR161W,HLJ1,,dma3765
YMR237W,BCH1,,dma3822
YNL046W,,,dma3966
YNL061W,NOP2,nop2-10,TSA941-37C
YNL197C,WHI3,,dma4073
YNL216W,RAP1,rap1-2,TSA559-37C
YNL267W,PIK1,pik1-104,TSA115-37C
YNR043W,MVD1,mvd1-1296,TSA828-37C
YOL058W,ARG1,,dma4354
YOR128C,ADE2,,dma5352
YOR184W,SER1,,DMA4596-37C
YOR184W,SER1,,dma4596
YOR204W,DED1,ded1-f144c,TSA932-37C
YOR212W,STE4,,dma4627
YOR249C,APC5,apc5-ca-paps,TSA745-37C
YOR257W,CDC31,cdc31-5,TSA152-37C
YOR269W,PAC1,,dma4659
YOR270C,VPH1,vph1-supp1,dma4658
YOR329C,SCD5,scd5-d338,TSA569-37C
YPL175W,SPT14,spt14-1-10c,TSA474-37C
YPR060C,ARO7,,dma5054
YPR086W,SUA7,sua7-5001,TSA1274-37C
YPR161C,SGV1,sgv1-23,TSA1027-37C
