"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
12867091,"YBL008W","HIR1","","dma90","Dad2_R1_Plate01",15,12,1389,5,38.1172515926792,"True"
12867094,"YBL008W","HIR1","","dma90","Dad2_R1_Plate01",15,12,1390,4,38.2712888959686,"True"
12873363,"YBR001C","NTH2","","dma170","Dad2_R1_Plate01",13,3,1162,7,35.8546328889104,"True"
12878348,"YAR029W","","","dma82","Dad2_R1_Plate01",13,20,1231,9,40.8535088279715,"True"
12878350,"YAR029W","","","dma82","Dad2_R1_Plate01",13,20,1231,11,39.8134215438216,"True"
12878357,"YAR029W","","","dma82","Dad2_R1_Plate01",13,20,1231,18,49.5825873369148,"True"
12883872,"YBL094C","","","dma158","Dad2_R1_Plate01",11,3,970,2,50.6222742929121,"True"
12883874,"YBL094C","","","dma158","Dad2_R1_Plate01",11,3,970,4,41.42983226512,"True"
12883875,"YBL094C","","","dma158","Dad2_R1_Plate01",11,3,970,5,45.2518859455814,"True"
12883877,"YBL094C","","","dma158","Dad2_R1_Plate01",11,3,970,7,41.5584429290055,"True"
12883882,"YBL094C","","","dma158","Dad2_R1_Plate01",11,3,971,6,42.7332688870783,"True"
12883884,"YBL094C","","","dma158","Dad2_R1_Plate01",11,3,971,8,47.2756995669809,"True"
12889369,"YBR200W","BEM1","","dma360","Dad2_R1_Plate01",12,23,1146,2,46.5152620085131,"True"
13498588,"YBR200W","BEM1","","dma360","Dad2_R2_Plate01",12,23,1141,4,40.8107865467009,"True"
13498589,"YBR200W","BEM1","","dma360","Dad2_R2_Plate01",12,23,1141,5,53.0556232538938,"True"
13498601,"YBR200W","BEM1","","dma360","Dad2_R2_Plate01",12,23,1142,6,77.9780010354301,"True"
13498605,"YBR200W","BEM1","","dma360","Dad2_R2_Plate01",12,23,1142,11,48.9679338747224,"True"
13498612,"YBR200W","BEM1","","dma360","Dad2_R2_Plate01",12,23,1142,18,43.7488494995514,"True"
13498613,"YBR200W","BEM1","","dma360","Dad2_R2_Plate01",12,23,1142,19,73.346636161299,"True"
13498621,"YBR200W","BEM1","","dma360","Dad2_R2_Plate01",12,23,1144,4,45.2583889297903,"True"
14755937,"YBR200W","BEM1","","dma360","Dad2_R3_Plate01",12,23,1145,7,46.2094181456969,"True"
14755941,"YBR200W","BEM1","","dma360","Dad2_R3_Plate01",12,23,1146,3,44.7551768294307,"True"
14755942,"YBR200W","BEM1","","dma360","Dad2_R3_Plate01",12,23,1146,4,43.2079662165072,"True"
12949172,"YBR289W","SNF5","","dma449","Dad2_R1_Plate02",11,10,997,6,43.6902991484454,"True"
