"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
18259491,"YBR189W","RPS9B","","dma342","Heh2_R1_Plate01",10,11,905,3,81.0148016394979,"True"
18259497,"YBR189W","RPS9B","","dma342","Heh2_R1_Plate01",10,11,905,9,41.1568161483735,"True"
18259499,"YBR189W","RPS9B","","dma342","Heh2_R1_Plate01",10,11,905,11,54.0797804259294,"True"
18259501,"YBR189W","RPS9B","","dma342","Heh2_R1_Plate01",10,11,906,3,41.4308403295041,"True"
18259516,"YBR189W","RPS9B","","dma342","Heh2_R1_Plate01",10,11,908,3,44.0252875029529,"True"
18259517,"YBR189W","RPS9B","","dma342","Heh2_R1_Plate01",10,11,908,4,42.8220825366435,"True"
18259537,"YBR189W","RPS9B","","dma342","Heh2_R1_Plate01",10,11,908,24,40.0856097979298,"True"
18264279,"YBL094C","","","dma158","Heh2_R1_Plate01",11,3,972,60,66.2358826708931,"True"
18305625,"YCR081W","SRB8","","dma597","Heh2_R1_Plate02",4,18,360,3,46.7631811092324,"True"
18305631,"YCR081W","SRB8","","dma597","Heh2_R1_Plate02",4,18,360,9,40.8122207765529,"True"
18357167,"YBR294W","SUL1","","dma467","Heh2_R1_Plate02",13,22,1237,18,55.9609000497608,"True"
18357293,"YBR294W","SUL1","","dma467","Heh2_R1_Plate02",13,22,1238,49,49.4070979345098,"True"
18357300,"YBR294W","SUL1","","dma467","Heh2_R1_Plate02",13,22,1238,56,49.1331301404416,"True"
18357328,"YBR294W","SUL1","","dma467","Heh2_R1_Plate02",13,22,1238,84,52.8857347308601,"True"
18357384,"YBR294W","SUL1","","dma467","Heh2_R1_Plate02",13,22,1239,34,61.4304519522668,"True"
18357616,"YBR294W","SUL1","","dma467","Heh2_R1_Plate02",13,22,1240,120,53.3555564067701,"True"
18364582,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1378,7,39.7415131935392,"True"
18364588,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1378,13,42.0286101678794,"True"
18364598,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1379,5,41.4223499347461,"True"
18364609,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1380,2,40.8971787259206,"True"
18364613,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1380,6,38.5667338897359,"True"
18364614,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1380,7,46.7785752465248,"True"
18364615,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1380,8,41.4996470618539,"True"
18364618,"YCR053W","THR4","","dma569","Heh2_R1_Plate02",15,9,1380,11,43.2059305337114,"True"
18430966,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,8,42.7043416512497,"True"
18430969,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,11,43.5727464436281,"True"
18430972,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,14,40.00550695697,"True"
18430986,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,29,45.0123695226048,"True"
18430994,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,37,42.6120847295542,"True"
18430996,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,39,40.526910407534,"True"
18430997,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,40,46.6829276090253,"True"
18430999,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1121,42,43.0174891021787,"True"
18431001,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,2,42.4266398869585,"True"
18431008,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,9,43.1522210012124,"True"
18431014,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,15,45.9729005282518,"True"
18431018,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,19,84.073597372658,"True"
18431024,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,27,45.6154303098023,"True"
18431044,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,47,40.5817737926261,"True"
18431047,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,50,41.2512448688118,"True"
18431048,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,51,46.9313131288701,"True"
18431054,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1122,57,43.6821289170463,"True"
18431060,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,7,42.4326256334384,"True"
18431065,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,12,52.437376901673,"True"
18431069,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,16,46.0339814791174,"True"
18431072,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,19,43.9028211155829,"True"
18431074,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,21,42.5581657429953,"True"
18431075,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,22,42.5619118147755,"True"
18431079,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,26,40.1304866695317,"True"
18431086,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1123,33,41.5060238503156,"True"
18431089,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1124,4,44.640107360663,"True"
18431096,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1124,11,45.8784785297308,"True"
18431098,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1124,13,41.2367867655433,"True"
18431101,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1124,16,39.8459311011112,"True"
18431106,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1124,21,41.8592286963862,"True"
18431112,"YDR392W","SPT3","","dma1125","Heh2_R1_Plate03",12,17,1124,30,40.2072707483707,"True"
18436695,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,7,42.3401258908502,"True"
18436700,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,12,43.3446213560176,"True"
18436704,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,16,54.8893954554571,"True"
18436732,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,45,41.5887710083963,"True"
18436758,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,73,42.2462807887636,"True"
18436789,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,104,70.0209018017473,"True"
18436791,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,106,63.3615267854783,"True"
18436793,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,241,108,41.2523511708577,"True"
18436816,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,242,13,40.9021111665418,"True"
18436820,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,242,17,45.1485238557318,"True"
18436851,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,242,48,40.9013809084317,"True"
18436869,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,242,66,55.5758566872033,"True"
18436907,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,242,105,42.718997071551,"True"
18436969,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,243,38,42.7273408139496,"True"
18436970,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,243,39,58.4450630707569,"True"
18436974,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,243,43,41.5886557238486,"True"
18437014,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,243,83,43.7937682548257,"True"
18437015,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,243,84,52.63088023505,"True"
18437016,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,243,85,53.3769680651516,"True"
18437063,"YDR080W","VPS41","","dma883","Heh2_R1_Plate03",3,13,243,134,40.9044339118633,"True"
22525933,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,241,9,45.2411655878994,"True"
22525934,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,241,10,43.2835504135633,"True"
22525939,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,241,15,64.8229574594106,"True"
22525940,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,241,16,45.3547539036451,"True"
22525942,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,241,18,51.0672711289895,"True"
22525943,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,241,19,41.6993114027243,"True"
22525945,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,3,40.2703156062976,"True"
22525947,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,5,49.6442885431852,"True"
22525948,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,6,45.5742561866522,"True"
22525952,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,10,40.8297339160009,"True"
22525959,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,17,42.0818614751626,"True"
22525961,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,19,50.0732348038703,"True"
22525962,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,20,46.1555726048012,"True"
22525967,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,25,54.4713844735014,"True"
22525970,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,242,28,55.9593198509076,"True"
22525979,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,243,3,46.2311605581775,"True"
22525982,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,243,6,40.934531679408,"True"
22525985,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,243,9,41.4504643317294,"True"
22525987,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,243,11,44.7571147411385,"True"
22525988,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,243,12,47.8945402945957,"True"
22525990,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,243,14,56.5453271176429,"True"
22525992,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,243,16,62.5624253149296,"True"
22525996,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,244,4,41.7030811842404,"True"
22526000,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,244,8,62.5733040077353,"True"
22526005,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,244,13,46.7655211882825,"True"
22526009,"YDR080W","VPS41","","dma883","Heh2_R3_Plate03",3,13,244,17,40.6997741492793,"True"
18448820,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1013,5,41.7523340709216,"True"
18448842,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1014,7,40.0894824696208,"True"
18448843,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1014,8,39.9278634664964,"True"
18448852,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1015,7,45.9343061675271,"True"
18448862,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1015,17,47.9298090297277,"True"
18448871,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1015,26,38.6915949613465,"True"
18448877,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1015,32,46.9484232943653,"True"
18448878,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1015,33,40.2513516924763,"True"
18448906,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1016,26,39.7664317711654,"True"
18448913,"YDR007W","TRP1","","dma835","Heh2_R1_Plate03",11,14,1016,33,42.1917528020227,"True"
22539074,"YDR007W","TRP1","","dma835","Heh2_R3_Plate03",11,14,1013,5,42.3772169129817,"True"
22539091,"YDR007W","TRP1","","dma835","Heh2_R3_Plate03",11,14,1014,6,42.4137972697455,"True"
20393397,"YDR359C","EAF1","","dma1102","Heh2_R2_Plate03",8,19,745,7,46.2656203083981,"True"
20393403,"YDR359C","EAF1","","dma1102","Heh2_R2_Plate03",8,19,745,14,44.2955853091351,"True"
20393404,"YDR359C","EAF1","","dma1102","Heh2_R2_Plate03",8,19,745,15,41.4687456759425,"True"
20393412,"YDR359C","EAF1","","dma1102","Heh2_R2_Plate03",8,19,746,8,46.5625771601039,"True"
20393431,"YDR359C","EAF1","","dma1102","Heh2_R2_Plate03",8,19,748,3,41.4237851454885,"True"
18518378,"YDR127W","ARO1","","dma916","Heh2_R1_Plate03",9,7,794,49,101.141491845028,"True"
18544226,"YER162C","RAD4","","dma1463","Heh2_R1_Plate04",4,21,369,4,39.7076988173279,"True"
18544241,"YER162C","RAD4","","dma1463","Heh2_R1_Plate04",4,21,369,19,47.9360049746004,"True"
