"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
18217103,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1161,10,50.429123235353,"True"
18217114,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1161,21,48.1278066883767,"True"
18217117,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1161,25,44.8385754390368,"True"
18217120,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1161,29,41.0033810474366,"True"
18217123,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1162,4,44.8913738477428,"True"
18217124,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1162,5,46.6537548305394,"True"
18217131,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1162,12,51.6891371694929,"True"
18217134,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1162,15,43.3345299623374,"True"
18217138,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1162,19,41.7806798127999,"True"
18217141,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1162,22,43.301671447183,"True"
18217156,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1163,7,50.348878717115,"True"
18217158,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1163,9,56.4980213013547,"True"
18217167,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1163,18,42.0808170827886,"True"
18217172,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1164,3,45.4209381880827,"True"
18217174,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1164,5,44.1076795648494,"True"
18217179,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1164,11,45.8780181139444,"True"
18217182,"YBR001C","NTH2","","dma170","Heh2_R1_Plate01",13,3,1164,14,50.9121912659874,"True"
