"cell_id","ORF","Name","Allele","Strain.ID","Plate","Row","Column","ImageNumber","ObjectNumber","Score","Is_outlier"
26757766,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,22,45.7239866020633,"True"
26757823,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,81,46.4487792196604,"True"
26757846,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,104,40.341274783367,"True"
26757875,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,133,45.125898300768,"True"
26757888,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,146,43.6540271608845,"True"
26757938,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,196,42.8880301317125,"True"
26757969,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,229,42.184639149638,"True"
26757982,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,243,42.0570140216347,"True"
26757998,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,260,54.1545338682882,"True"
26758003,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,265,42.9729666937948,"True"
26758019,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,281,41.47243371428,"True"
26758023,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,285,41.4054482685016,"True"
26758042,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,305,41.5671088073886,"True"
26758061,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,325,48.3875440866493,"True"
26758072,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,336,46.0148695547172,"True"
26758131,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4913,395,46.6987407659135,"True"
26758209,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4914,62,40.4058251299221,"True"
26758333,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4915,10,44.0783755870682,"True"
26758404,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4915,81,61.226598550136,"True"
26758434,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4915,111,48.0186309677043,"True"
26758464,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4915,142,48.1798290090055,"True"
26758477,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4915,155,42.2390096540271,"True"
26758493,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4915,172,44.520622112435,"True"
26758945,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4917,87,40.7719787389791,"True"
26759109,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4917,253,43.6796477649667,"True"
26759301,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,89,43.9705551517801,"True"
26759323,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,112,43.0762740440644,"True"
26759324,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,113,41.7869945572272,"True"
26759406,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,197,40.9345267404597,"True"
26759415,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,206,43.9775204821936,"True"
26759420,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,212,40.4043352889379,"True"
26759446,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,238,40.8864223799184,"True"
26759460,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,252,41.3557725450248,"True"
26759466,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,258,42.6652082395265,"True"
26759498,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4918,291,40.2669151982503,"True"
26759515,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,18,51.2982727989719,"True"
26759584,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,87,46.8460795325034,"True"
26759636,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,141,41.728459320124,"True"
26759661,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,166,74.396645597482,"True"
26759662,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,167,76.8713893879039,"True"
26759671,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,176,44.7464820948506,"True"
26759727,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,232,53.7185913996598,"True"
26759745,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,251,45.1164796395404,"True"
26759791,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,300,43.3616230200126,"True"
26759795,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4919,304,41.4843151119916,"True"
26759816,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,6,45.3367133276613,"True"
26759886,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,76,40.76186210632,"True"
26759895,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,85,57.2535909206333,"True"
26759902,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,92,43.8048037650075,"True"
26759977,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,169,48.0001070893268,"True"
26760040,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,232,45.8805781600544,"True"
26760072,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,264,48.8317959884812,"True"
26760086,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,278,40.9443362680905,"True"
26760099,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,291,43.426966651049,"True"
26760111,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,303,42.7875934476764,"True"
26760154,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4920,347,42.1435052582764,"True"
26760339,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4921,140,41.9696838313268,"True"
26760506,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4922,38,47.1123301308619,"True"
26760554,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4922,87,49.5259556691963,"True"
26760667,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4922,201,47.1772085425878,"True"
26760672,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4922,206,64.6843730190131,"True"
26760856,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4922,391,43.948616154153,"True"
26760890,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4922,426,81.6411097009329,"True"
26760952,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4922,489,47.7467794679896,"True"
26761039,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,76,96.6947898930879,"True"
26761110,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,149,40.0961331133306,"True"
26761142,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,183,50.4969139263126,"True"
26761148,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,191,39.9436387510736,"True"
26761229,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,272,40.3378453068708,"True"
26761244,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,287,42.1326645030718,"True"
26761268,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,311,48.0279631131153,"True"
26761298,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4923,341,46.2523540831855,"True"
26761415,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,16,51.1346215857151,"True"
26761423,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,24,55.1295123714399,"True"
26761430,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,31,41.9167035591682,"True"
26761586,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,188,40.1281145469422,"True"
26761589,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,191,41.3827831923008,"True"
26761618,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,221,45.7874443372026,"True"
26761640,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,245,48.5983090518165,"True"
26761658,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,263,45.7632740390581,"True"
26761660,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,265,41.2234048355463,"True"
26761702,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,308,50.164327069533,"True"
26761752,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,358,45.918238666321,"True"
26761766,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,372,44.2600134554598,"True"
26761820,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,426,40.4256057406515,"True"
26761827,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,433,39.9797513599887,"True"
26761870,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4924,476,42.8489483584409,"True"
26762055,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4925,103,41.385666160222,"True"
26762142,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4925,192,74.0072676606689,"True"
26762179,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4925,229,43.1691485417863,"True"
26762241,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4925,297,45.228456934985,"True"
26762322,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4925,381,40.6364919143897,"True"
26762395,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4925,454,43.6651909703173,"True"
26762453,"YAR029W","","","dma82","Nop10_R1_Plate01",13,20,4926,20,42.3267347793838,"True"
